Direct capture reaction on target Y89 (Z = 39) with projectile n (Qvalue=  6.857 MeV)

Characteristics of the Direct Radiative Capture calculation:
  ldmodelracap=3: spin-, parity-dependent total NLDs used for racap calculation (ldmodel=5)
  racopt=1: Woods-Saxon potential KD used for racap calculation
  Total number of transitions from  0.5- GS to  90Y  experimental levels: 31
  Total number of transitions from  0.5- GS to  90Y  levels: 40

  Spectroscopic factors 

   0.000      2.0  -   1.000    
  0.2025      3.0  -   1.000    
  0.6820      7.0  +   1.000    
  0.7766      2.0  +   1.000    
  0.9535      3.0  +   1.000    
   1.047      5.0  +   1.000    
   1.190      4.0  -   1.000    
   1.212      0.0  -   1.000    
   1.298      5.0  +   1.000    
   1.371      1.0  -   1.000    
   1.417      3.0  -   1.000    
   1.562      3.0  -   1.000    
   1.572      2.0  -   1.000    
   1.641      1.0  -   1.000    
   1.647      4.0  -   1.000    
   1.761      2.0  -   1.000    
   1.811      2.0  -   1.000    
   1.815      1.0  +   1.000    
   1.962      5.0  +   1.000    
   2.021      8.0  -   1.000    
   2.089      5.0  +   1.000    
   2.134      1.0  -   1.000    
   2.179      2.0  -   1.000    
   2.196      2.0  -   1.000    
   2.217      8.0  +   1.000    
   2.241      6.0  +   1.000    
   2.244      2.0  -   1.000    
   2.313      1.0  +   1.000    
   2.327      4.0  +   1.000    
   2.366      1.0  -   1.000    
   2.455      9.0  +   1.000    
   2.476      2.0  -   1.000    
   2.495      1.0  -   1.000    
   2.505      2.0  -   1.000    
   2.521      6.0  +   1.000    
   2.558      3.0  -   1.000    
   2.590      4.0  -   1.000    
   2.624      1.0  -   1.000    
   2.632      1.0  -   1.000    
   2.663      1.0  -   1.000    
   2.678      3.0  -   1.000    
   2.703      3.0  +   1.000    
   2.719      2.0  -   1.000    
   2.746      4.0  +   1.000    
   2.749      3.0  -   1.000    
   2.755      3.0  -   1.000    
   2.758      1.0  -   1.000    
   2.785      0.0  +   1.000    
   2.820      1.0  -   1.000    
   2.838      1.0  -   1.000    
   2.847      1.0  -   1.000    
   2.859      9.0  +   1.000    
   2.865      2.0  -   1.000    
   2.870      4.0  -   1.000    
   2.905      2.0  -   1.000    
   2.933      4.0  -   1.000    
   2.938      3.0  +   1.000    
   2.986      2.0  -   1.000    
   2.992      2.0  -   1.000    
   3.002      3.0  -   1.000    
   3.023      2.0  -   1.000    
   3.043      1.0  -   1.000    
   3.048      4.0  -   1.000    
   3.097     10.0  +   1.000    
   3.119      0.0  +   1.000    
   3.137      3.0  +   1.000    
   3.144      5.0  +   1.000    
   3.160      1.0  -   1.000    
   3.204      4.0  +   1.000    
   3.270      3.0  +   1.000    
   3.309      3.0  -   1.000    
   3.312      0.0  +   1.000    
   3.342      4.0  +   1.000    
   3.354      5.0  +   1.000    
   3.405      6.0  +   1.000    
   3.413      3.0  +   1.000    
   3.439      1.0  +   1.000    
   3.469      4.0  +   1.000    
   3.476      2.0  +   1.000    
