                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 1  *
 170.00  3.350  2.63E+36 2.45E+35 6.34E+36 2.28E+33 4.50E+33 6.60E+33 8.52E+33 1.02E+34 1.16E+34 1.28E+34 1.36E+34 1.41E+34 1.44E+34 1.43E+34 1.40E+34 1.35E+34 1.28E+34 1.20E+34 1.11E+34 1.01E+34 9.07E+33 8.05E+33 7.06E+33 6.12E+33 5.24E+33 4.44E+33 3.72E+33 3.08E+33 2.52E+33 2.04E+33 1.64E+33 1.30E+33 1.02E+33
 180.00  3.447  3.67E+37 3.40E+36 8.93E+37 3.08E+34 6.08E+34 8.92E+34 1.15E+35 1.38E+35 1.58E+35 1.73E+35 1.85E+35 1.93E+35 1.97E+35 1.96E+35 1.93E+35 1.87E+35 1.78E+35 1.67E+35 1.55E+35 1.41E+35 1.28E+35 1.14E+35 1.00E+35 8.75E+34 7.54E+34 6.42E+34 5.41E+34 4.51E+34 3.72E+34 3.04E+34 2.45E+34 1.96E+34 1.55E+34
 190.00  3.541  4.78E+38 4.41E+37 1.17E+39 3.89E+35 7.68E+35 1.13E+36 1.46E+36 1.75E+36 2.00E+36 2.20E+36 2.35E+36 2.46E+36 2.51E+36 2.51E+36 2.48E+36 2.40E+36 2.30E+36 2.16E+36 2.01E+36 1.85E+36 1.67E+36 1.50E+36 1.33E+36 1.16E+36 1.01E+36 8.63E+35 7.32E+35 6.13E+35 5.09E+35 4.18E+35 3.40E+35 2.73E+35 2.18E+35
 200.00  3.633  5.84E+39 5.36E+38 1.44E+40 4.61E+36 9.10E+36 1.34E+37 1.73E+37 2.08E+37 2.38E+37 2.62E+37 2.81E+37 2.94E+37 3.01E+37 3.02E+37 2.98E+37 2.90E+37 2.78E+37 2.63E+37 2.45E+37 2.26E+37 2.06E+37 1.85E+37 1.65E+37 1.45E+37 1.26E+37 1.08E+37 9.24E+36 7.79E+36 6.50E+36 5.37E+36 4.39E+36 3.56E+36 2.85E+36

                    ************************************************************************************************
                    *  Z= 43 A= 99: Negative-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.128  2.06E+00 8.26E+00 5.17E+01 1.22E+00 1.92E+00 1.93E+00 1.47E+00 8.91E-01 4.43E-01 1.82E-01 6.24E-02 1.80E-02 4.34E-03 8.86E-04 1.53E-04 2.23E-05 2.75E-06 2.88E-07 2.55E-08 1.92E-09 1.23E-10 6.65E-12 3.07E-13 1.20E-14 3.99E-16 1.13E-17 2.71E-19 5.55E-21 9.65E-23 1.43E-24 1.79E-26 1.92E-28 1.75E-30
   0.50  0.182  4.92E+00 1.14E+01 7.16E+01 1.69E+00 2.66E+00 2.67E+00 2.03E+00 1.24E+00 6.13E-01 2.52E-01 8.65E-02 2.49E-02 6.02E-03 1.23E-03 2.12E-04 3.09E-05 3.81E-06 3.99E-07 3.54E-08 2.66E-09 1.70E-10 9.22E-12 4.25E-13 1.66E-14 5.53E-16 1.56E-17 3.76E-19 7.69E-21 1.34E-22 1.98E-24 2.48E-26 2.66E-28 2.42E-30
   0.75  0.222  8.89E+00 1.59E+01 9.92E+01 2.35E+00 3.69E+00 3.71E+00 2.82E+00 1.71E+00 8.50E-01 3.49E-01 1.20E-01 3.45E-02 8.34E-03 1.70E-03 2.93E-04 4.28E-05 5.28E-06 5.52E-07 4.90E-08 3.69E-09 2.36E-10 1.28E-11 5.89E-13 2.30E-14 7.67E-16 2.17E-17 5.21E-19 1.07E-20 1.85E-22 2.74E-24 3.44E-26 3.68E-28 3.35E-30
   1.00  0.257  1.44E+01 2.20E+01 1.40E+02 3.16E+00 5.01E+00 5.09E+00 3.94E+00 2.44E+00 1.24E+00 5.28E-01 1.88E-01 5.62E-02 1.42E-02 3.05E-03 5.56E-04 8.61E-05 1.13E-05 1.27E-06 1.21E-07 9.88E-09 6.86E-10 4.06E-11 2.05E-12 8.87E-14 3.27E-15 1.03E-16 2.77E-18 6.36E-20 1.25E-21 2.09E-23 3.00E-25 3.68E-27 3.85E-29
   1.25  0.287  2.20E+01 3.04E+01 2.03E+02 4.03E+00 6.51E+00 6.84E+00 5.55E+00 3.66E+00 2.01E+00 9.33E-01 3.68E-01 1.24E-01 3.57E-02 8.84E-03 1.88E-03 3.46E-04 5.48E-05 7.50E-06 8.85E-07 9.04E-08 7.98E-09 6.09E-10 4.02E-11 2.30E-12 1.14E-13 4.87E-15 1.81E-16 5.81E-18 1.62E-19 3.90E-21 8.16E-23 1.48E-24 2.32E-26
   1.50  0.315  3.25E+01 4.22E+01 2.93E+02 5.16E+00 8.48E+00 9.18E+00 7.75E+00 5.39E+00 3.15E+00 1.58E+00 6.76E-01 2.51E-01 8.07E-02 2.26E-02 5.49E-03 1.16E-03 2.15E-04 3.48E-05 4.90E-06 6.05E-07 6.53E-08 6.16E-09 5.09E-10 3.68E-11 2.33E-12 1.29E-13 6.29E-15 2.68E-16 1.00E-17 3.27E-19 9.37E-21 2.35E-22 5.18E-24
   1.75  0.340  4.71E+01 5.85E+01 4.22E+02 6.64E+00 1.11E+01 1.23E+01 1.07E+01 7.80E+00 4.82E+00 2.57E+00 1.19E+00 4.78E-01 1.69E-01 5.22E-02 1.42E-02 3.40E-03 7.18E-04 1.34E-04 2.19E-05 3.18E-06 4.07E-07 4.61E-08 4.60E-09 4.07E-10 3.18E-11 2.20E-12 1.34E-13 7.27E-15 3.48E-16 1.47E-17 5.52E-19 1.83E-20 5.38E-22
   2.00  0.363  6.74E+01 8.10E+01 6.06E+02 8.60E+00 1.45E+01 1.65E+01 1.48E+01 1.12E+01 7.23E+00 4.06E+00 2.00E+00 8.66E-01 3.31E-01 1.12E-01 3.36E-02 8.93E-03 2.11E-03 4.44E-04 8.30E-05 1.38E-05 2.05E-06 2.71E-07 3.19E-08 3.35E-09 3.13E-10 2.62E-11 1.95E-12 1.30E-13 7.68E-15 4.07E-16 1.92E-17 8.10E-19 3.05E-20
   2.25  0.385  9.55E+01 1.12E+02 8.68E+02 1.12E+01 1.91E+01 2.20E+01 2.04E+01 1.59E+01 1.07E+01 6.30E+00 3.27E+00 1.51E+00 6.18E-01 2.26E-01 7.36E-02 2.15E-02 5.60E-03 1.31E-03 2.74E-04 5.15E-05 8.68E-06 1.31E-06 1.78E-07 2.17E-08 2.38E-09 2.34E-10 2.07E-11 1.65E-12 1.18E-13 7.57E-15 4.37E-16 2.27E-17 1.06E-18
   2.50  0.406  1.34E+02 1.56E+02 1.24E+03 1.46E+01 2.52E+01 2.95E+01 2.79E+01 2.24E+01 1.56E+01 9.59E+00 5.23E+00 2.55E+00 1.11E+00 4.33E-01 1.52E-01 4.80E-02 1.37E-02 3.50E-03 8.11E-04 1.69E-04 3.19E-05 5.44E-06 8.37E-07 1.16E-07 1.46E-08 1.67E-09 1.71E-10 1.59E-11 1.34E-12 1.02E-13 7.04E-15 4.39E-16 2.48E-17
   2.75  0.426  1.88E+02 2.16E+02 1.77E+03 1.91E+01 3.33E+01 3.96E+01 3.81E+01 3.13E+01 2.26E+01 1.44E+01 8.19E+00 4.18E+00 1.92E+00 7.97E-01 2.99E-01 1.01E-01 3.11E-02 8.67E-03 2.19E-03 5.02E-04 1.05E-04 1.98E-05 3.40E-06 5.32E-07 7.56E-08 9.77E-09 1.15E-09 1.23E-10 1.19E-11 1.06E-12 8.51E-14 6.24E-15 4.16E-16
   3.00  0.445  2.63E+02 2.99E+02 2.53E+03 2.51E+01 4.40E+01 5.30E+01 5.20E+01 4.38E+01 3.24E+01 2.13E+01 1.26E+01 6.73E+00 3.24E+00 1.42E+00 5.64E-01 2.04E-01 6.70E-02 2.01E-02 5.48E-03 1.37E-03 3.11E-04 6.46E-05 1.23E-05 2.13E-06 3.37E-07 4.88E-08 6.46E-09 7.82E-10 8.65E-11 8.76E-12 8.11E-13 6.87E-14 5.32E-15
   3.25  0.463  3.66E+02 4.14E+02 3.59E+03 3.31E+01 5.84E+01 7.11E+01 7.08E+01 6.09E+01 4.62E+01 3.13E+01 1.92E+01 1.06E+01 5.35E+00 2.45E+00 1.03E+00 3.93E-01 1.37E-01 4.39E-02 1.29E-02 3.46E-03 8.53E-04 1.93E-04 4.00E-05 7.60E-06 1.33E-06 2.13E-07 3.14E-08 4.24E-09 5.27E-10 6.02E-11 6.31E-12 6.08E-13 5.39E-14
   3.50  0.481  5.10E+02 5.74E+02 5.11E+03 4.37E+01 7.76E+01 9.54E+01 9.64E+01 8.44E+01 6.55E+01 4.57E+01 2.88E+01 1.65E+01 8.65E+00 4.14E+00 1.82E+00 7.31E-01 2.70E-01 9.17E-02 2.87E-02 8.24E-03 2.18E-03 5.31E-04 1.19E-04 2.47E-05 4.71E-06 8.28E-07 1.34E-07 2.01E-08 2.77E-09 3.52E-10 4.13E-11 4.48E-12 4.47E-13
   3.75  0.497  7.08E+02 7.95E+02 7.25E+03 5.78E+01 1.03E+02 1.28E+02 1.31E+02 1.17E+02 9.25E+01 6.60E+01 4.28E+01 2.54E+01 1.38E+01 6.85E+00 3.13E+00 1.32E+00 5.13E-01 1.84E-01 6.09E-02 1.86E-02 5.25E-03 1.37E-03 3.31E-04 7.39E-05 1.53E-05 2.92E-06 5.16E-07 8.45E-08 1.28E-08 1.80E-09 2.34E-10 2.81E-11 3.14E-12
   4.00  0.514  9.84E+02 1.10E+03 1.03E+04 7.66E+01 1.38E+02 1.72E+02 1.78E+02 1.61E+02 1.30E+02 9.50E+01 6.32E+01 3.85E+01 2.16E+01 1.11E+01 5.29E+00 2.33E+00 9.46E-01 3.56E-01 1.24E-01 4.01E-02 1.20E-02 3.34E-03 8.61E-04 2.06E-04 4.57E-05 9.43E-06 1.81E-06 3.21E-07 5.31E-08 8.15E-09 1.16E-09 1.54E-10 1.90E-11
   4.25  0.530  1.37E+03 1.53E+03 1.46E+04 1.02E+02 1.84E+02 2.32E+02 2.43E+02 2.22E+02 1.82E+02 1.36E+02 9.25E+01 5.79E+01 3.34E+01 1.78E+01 8.76E+00 4.00E+00 1.70E+00 6.68E-01 2.44E-01 8.31E-02 2.63E-02 7.73E-03 2.12E-03 5.40E-04 1.28E-04 2.83E-05 5.83E-06 1.12E-06 2.00E-07 3.33E-08 5.17E-09 7.49E-10 1.01E-10
   4.50  0.545  1.89E+03 2.11E+03 2.06E+04 1.35E+02 2.45E+02 3.12E+02 3.30E+02 3.06E+02 2.55E+02 1.94E+02 1.35E+02 8.63E+01 5.11E+01 2.80E+01 1.43E+01 6.76E+00 2.98E+00 1.22E+00 4.67E-01 1.66E-01 5.53E-02 1.71E-02 4.96E-03 1.34E-03 3.38E-04 7.96E-05 1.75E-05 3.61E-06 6.93E-07 1.24E-07 2.09E-08 3.28E-09 4.81E-10
   4.75  0.560  2.63E+03 2.93E+03 2.91E+04 1.81E+02 3.28E+02 4.20E+02 4.48E+02 4.21E+02 3.56E+02 2.75E+02 1.95E+02 1.28E+02 7.75E+01 4.37E+01 2.29E+01 1.12E+01 5.12E+00 2.18E+00 8.68E-01 3.23E-01 1.12E-01 3.65E-02 1.11E-02 3.17E-03 8.46E-04 2.12E-04 4.95E-05 1.09E-05 2.23E-06 4.29E-07 7.74E-08 1.31E-08 2.07E-09
   5.00  0.574  3.64E+03 4.06E+03 4.11E+04 2.41E+02 4.40E+02 5.66E+02 6.09E+02 5.78E+02 4.96E+02 3.88E+02 2.81E+02 1.88E+02 1.17E+02 6.74E+01 3.64E+01 1.83E+01 8.65E+00 3.81E+00 1.58E+00 6.10E-01 2.21E-01 7.53E-02 2.40E-02 7.20E-03 2.02E-03 5.34E-04 1.32E-04 3.08E-05 6.72E-06 1.38E-06 2.66E-07 4.81E-08 8.18E-09
   5.50  0.602  7.54E+03 7.80E+03 8.20E+04 4.31E+02 7.92E+02 1.03E+03 1.13E+03 1.09E+03 9.56E+02 7.71E+02 5.75E+02 3.99E+02 2.58E+02 1.56E+02 8.86E+01 4.71E+01 2.36E+01 1.11E+01 4.89E+00 2.03E+00 7.95E-01 2.93E-01 1.02E-01 3.33E-02 1.03E-02 2.98E-03 8.18E-04 2.11E-04 5.15E-05 1.19E-05 2.57E-06 5.27E-07 1.02E-07
   6.00  0.629  1.50E+04 1.50E+04 1.63E+05 7.75E+02 1.43E+03 1.88E+03 2.08E+03 2.05E+03 1.83E+03 1.52E+03 1.16E+03 8.33E+02 5.58E+02 3.52E+02 2.08E+02 1.16E+02 6.10E+01 3.03E+01 1.42E+01 6.26E+00 2.62E+00 1.03E+00 3.86E-01 1.36E-01 4.56E-02 1.44E-02 4.32E-03 1.22E-03 3.28E-04 8.33E-05 2.00E-05 4.57E-06 9.85E-07
   6.50  0.655  2.94E+04 2.88E+04 3.23E+05 1.40E+03 2.59E+03 3.44E+03 3.85E+03 3.84E+03 3.51E+03 2.96E+03 2.33E+03 1.71E+03 1.19E+03 7.73E+02 4.75E+02 2.76E+02 1.52E+02 7.89E+01 3.88E+01 1.81E+01 8.02E+00 3.37E+00 1.34E+00 5.07E-01 1.82E-01 6.19E-02 2.00E-02 6.15E-03 1.79E-03 4.97E-04 1.31E-04 3.27E-05 7.78E-06
   7.00  0.680  5.70E+04 5.52E+04 6.39E+05 2.53E+03 4.72E+03 6.30E+03 7.12E+03 7.21E+03 6.68E+03 5.74E+03 4.62E+03 3.48E+03 2.48E+03 1.67E+03 1.06E+03 6.38E+02 3.64E+02 1.98E+02 1.02E+02 4.99E+01 2.32E+01 1.03E+01 4.33E+00 1.74E+00 6.63E-01 2.41E-01 8.35E-02 2.75E-02 8.65E-03 2.59E-03 7.38E-04 2.00E-04 5.19E-05
   7.50  0.704  1.10E+05 1.05E+05 1.24E+06 4.62E+03 8.64E+03 1.16E+04 1.32E+04 1.35E+04 1.26E+04 1.10E+04 8.95E+03 6.87E+03 4.97E+03 3.41E+03 2.22E+03 1.37E+03 8.02E+02 4.47E+02 2.37E+02 1.20E+02 5.77E+01 2.65E+01 1.16E+01 4.83E+00 1.92E+00 7.29E-01 2.64E-01 9.13E-02 3.01E-02 9.47E-03 2.85E-03 8.17E-04 2.24E-04
   8.00  0.727  2.07E+05 1.95E+05 2.35E+06 8.29E+03 1.55E+04 2.09E+04 2.39E+04 2.46E+04 2.33E+04 2.05E+04 1.69E+04 1.31E+04 9.66E+03 6.74E+03 4.46E+03 2.81E+03 1.68E+03 9.61E+02 5.23E+02 2.71E+02 1.34E+02 6.36E+01 2.87E+01 1.24E+01 5.10E+00 2.01E+00 7.55E-01 2.71E-01 9.33E-02 3.06E-02 9.63E-03 2.89E-03 8.32E-04
   8.50  0.749  3.85E+05 3.55E+05 4.34E+06 1.46E+04 2.74E+04 3.70E+04 4.26E+04 4.41E+04 4.20E+04 3.73E+04 3.11E+04 2.45E+04 1.83E+04 1.29E+04 8.71E+03 5.59E+03 3.41E+03 1.99E+03 1.11E+03 5.89E+02 2.99E+02 1.45E+02 6.75E+01 3.00E+01 1.27E+01 5.18E+00 2.02E+00 7.51E-01 2.68E-01 9.15E-02 2.99E-02 9.37E-03 2.81E-03
   9.00  0.771  7.02E+05 6.34E+05 7.88E+06 2.53E+04 4.75E+04 6.44E+04 7.45E+04 7.75E+04 7.44E+04 6.66E+04 5.61E+04 4.47E+04 3.38E+04 2.42E+04 1.66E+04 1.08E+04 6.71E+03 3.99E+03 2.27E+03 1.23E+03 6.40E+02 3.18E+02 1.52E+02 6.92E+01 3.02E+01 1.27E+01 5.08E+00 1.96E+00 7.21E-01 2.55E-01 8.64E-02 2.81E-02 8.76E-03
   9.50  0.792  1.26E+06 1.11E+06 1.40E+07 4.30E+04 8.11E+04 1.10E+05 1.28E+05 1.34E+05 1.29E+05 1.17E+05 9.93E+04 7.99E+04 6.10E+04 4.43E+04 3.07E+04 2.03E+04 1.28E+04 7.77E+03 4.49E+03 2.49E+03 1.32E+03 6.72E+02 3.28E+02 1.53E+02 6.87E+01 2.95E+01 1.22E+01 4.83E+00 1.84E+00 6.70E-01 2.35E-01 7.89E-02 2.55E-02
  10.00  0.812  2.22E+06 1.92E+06 2.46E+07 7.23E+04 1.37E+05 1.86E+05 2.17E+05 2.28E+05 2.22E+05 2.02E+05 1.73E+05 1.40E+05 1.08E+05 7.95E+04 5.58E+04 3.74E+04 2.40E+04 1.47E+04 8.67E+03 4.89E+03 2.64E+03 1.37E+03 6.83E+02 3.27E+02 1.50E+02 6.61E+01 2.80E+01 1.14E+01 4.45E+00 1.67E+00 6.03E-01 2.09E-01 6.97E-02
  11.00  0.852  7.70E+06 5.49E+06 7.20E+07 1.96E+05 3.72E+05 5.09E+05 5.98E+05 6.34E+05 6.23E+05 5.73E+05 4.98E+05 4.11E+05 3.23E+05 2.42E+05 1.74E+05 1.19E+05 7.85E+04 4.96E+04 3.01E+04 1.75E+04 9.79E+03 5.26E+03 2.72E+03 1.35E+03 6.47E+02 2.98E+02 1.32E+02 5.62E+01 2.31E+01 9.11E+00 3.46E+00 1.27E+00 4.48E-01
  12.00  0.890  2.26E+07 1.49E+07 2.00E+08 5.10E+05 9.68E+05 1.33E+06 1.57E+06 1.68E+06 1.66E+06 1.55E+06 1.36E+06 1.14E+06 9.09E+05 6.94E+05 5.07E+05 3.55E+05 2.39E+05 1.55E+05 9.61E+04 5.75E+04 3.31E+04 1.83E+04 9.79E+03 5.03E+03 2.49E+03 1.19E+03 5.48E+02 2.43E+02 1.04E+02 4.29E+01 1.71E+01 6.56E+00 2.43E+00
  13.00  0.926  6.13E+07 3.87E+07 5.31E+08 1.27E+06 2.42E+06 3.33E+06 3.96E+06 4.25E+06 4.25E+06 3.99E+06 3.55E+06 3.01E+06 2.43E+06 1.88E+06 1.40E+06 9.99E+05 6.85E+05 4.52E+05 2.88E+05 1.76E+05 1.04E+05 5.91E+04 3.24E+04 1.72E+04 8.78E+03 4.33E+03 2.06E+03 9.47E+02 4.20E+02 1.80E+02 7.45E+01 2.98E+01 1.15E+01
  14.00  0.961  1.58E+08 9.66E+07 1.35E+09 3.06E+06 5.83E+06 8.06E+06 9.61E+06 1.04E+07 1.04E+07 9.89E+06 8.88E+06 7.60E+06 6.23E+06 4.89E+06 3.68E+06 2.67E+06 1.86E+06 1.25E+06 8.12E+05 5.08E+05 3.06E+05 1.78E+05 1.00E+05 5.45E+04 2.86E+04 1.45E+04 7.12E+03 3.37E+03 1.55E+03 6.85E+02 2.93E+02 1.22E+02 4.87E+01
  15.00  0.995  3.91E+08 2.33E+08 3.32E+09 7.12E+06 1.36E+07 1.89E+07 2.26E+07 2.45E+07 2.48E+07 2.37E+07 2.14E+07 1.85E+07 1.53E+07 1.22E+07 9.30E+06 6.84E+06 4.84E+06 3.31E+06 2.18E+06 1.39E+06 8.55E+05 5.09E+05 2.92E+05 1.63E+05 8.74E+04 4.55E+04 2.29E+04 1.11E+04 5.26E+03 2.40E+03 1.06E+03 4.53E+02 1.88E+02
  16.00  1.028  9.37E+08 5.46E+08 7.90E+09 1.61E+07 3.09E+07 4.29E+07 5.15E+07 5.63E+07 5.73E+07 5.50E+07 5.02E+07 4.37E+07 3.65E+07 2.93E+07 2.26E+07 1.69E+07 1.21E+07 8.39E+06 5.62E+06 3.64E+06 2.28E+06 1.38E+06 8.09E+05 4.59E+05 2.52E+05 1.34E+05 6.92E+04 3.45E+04 1.67E+04 7.83E+03 3.56E+03 1.57E+03 6.68E+02
  17.00  1.059  2.18E+09 1.24E+09 1.82E+10 3.56E+07 6.82E+07 9.52E+07 1.15E+08 1.26E+08 1.28E+08 1.24E+08 1.14E+08 1.00E+08 8.44E+07 6.84E+07 5.34E+07 4.02E+07 2.92E+07 2.05E+07 1.39E+07 9.16E+06 5.83E+06 3.59E+06 2.14E+06 1.24E+06 6.94E+05 3.77E+05 1.98E+05 1.01E+05 5.01E+04 2.41E+04 1.12E+04 5.07E+03 2.22E+03
  18.00  1.090  4.94E+09 2.76E+09 4.11E+10 7.69E+07 1.47E+08 2.06E+08 2.49E+08 2.74E+08 2.81E+08 2.73E+08 2.52E+08 2.23E+08 1.90E+08 1.55E+08 1.22E+08 9.29E+07 6.83E+07 4.85E+07 3.34E+07 2.23E+07 1.44E+07 8.99E+06 5.45E+06 3.20E+06 1.83E+06 1.01E+06 5.43E+05 2.83E+05 1.43E+05 7.02E+04 3.34E+04 1.55E+04 6.95E+03
  19.00  1.120  1.09E+10 5.98E+09 9.03E+10 1.62E+08 3.12E+08 4.36E+08 5.28E+08 5.83E+08 6.02E+08 5.87E+08 5.46E+08 4.86E+08 4.16E+08 3.42E+08 2.72E+08 2.09E+08 1.55E+08 1.12E+08 7.77E+07 5.24E+07 3.43E+07 2.17E+07 1.34E+07 7.99E+06 4.63E+06 2.61E+06 1.42E+06 7.56E+05 3.90E+05 1.95E+05 9.50E+04 4.49E+04 2.06E+04
  20.00  1.149  2.36E+10 1.27E+10 1.94E+11 3.36E+08 6.46E+08 9.06E+08 1.10E+09 1.22E+09 1.26E+09 1.24E+09 1.16E+09 1.03E+09 8.91E+08 7.39E+08 5.92E+08 4.59E+08 3.44E+08 2.50E+08 1.76E+08 1.20E+08 7.95E+07 5.11E+07 3.19E+07 1.93E+07 1.14E+07 6.49E+06 3.61E+06 1.95E+06 1.02E+06 5.21E+05 2.58E+05 1.25E+05 5.84E+04
  22.50  1.219  2.16E+11 7.70E+10 1.21E+12 1.92E+09 3.70E+09 5.22E+09 6.36E+09 7.10E+09 7.41E+09 7.34E+09 6.93E+09 6.29E+09 5.50E+09 4.64E+09 3.78E+09 2.99E+09 2.28E+09 1.70E+09 1.22E+09 8.55E+08 5.82E+08 3.84E+08 2.47E+08 1.54E+08 9.39E+07 5.56E+07 3.20E+07 1.79E+07 9.78E+06 5.19E+06 2.69E+06 1.35E+06 6.63E+05
  25.00  1.285  1.27E+12 4.22E+11 6.83E+12 1.00E+10 1.93E+10 2.73E+10 3.35E+10 3.76E+10 3.95E+10 3.94E+10 3.76E+10 3.45E+10 3.05E+10 2.61E+10 2.16E+10 1.73E+10 1.35E+10 1.02E+10 7.50E+09 5.36E+09 3.73E+09 2.52E+09 1.66E+09 1.07E+09 6.67E+08 4.06E+08 2.41E+08 1.39E+08 7.86E+07 4.32E+07 2.31E+07 1.21E+07 6.15E+06
  30.00  1.407  5.13E+13 1.00E+13 1.69E+14 2.17E+11 4.21E+11 5.97E+11 7.38E+11 8.35E+11 8.88E+11 8.99E+11 8.71E+11 8.13E+11 7.33E+11 6.40E+11 5.43E+11 4.47E+11 3.58E+11 2.79E+11 2.12E+11 1.56E+11 1.13E+11 7.93E+10 5.44E+10 3.64E+10 2.38E+10 1.52E+10 9.45E+09 5.75E+09 3.41E+09 1.98E+09 1.12E+09 6.22E+08 3.37E+08
  40.00  1.625  2.81E+16 2.81E+15 5.09E+16 5.30E+13 1.03E+14 1.47E+14 1.84E+14 2.11E+14 2.28E+14 2.35E+14 2.33E+14 2.22E+14 2.06E+14 1.86E+14 1.63E+14 1.39E+14 1.16E+14 9.38E+13 7.45E+13 5.78E+13 4.38E+13 3.25E+13 2.36E+13 1.67E+13 1.16E+13 7.91E+12 5.27E+12 3.44E+12 2.20E+12 1.38E+12 8.46E+11 5.09E+11 3.00E+11
  50.00  1.817  4.17E+18 4.15E+17 7.94E+18 7.03E+15 1.37E+16 1.97E+16 2.47E+16 2.86E+16 3.13E+16 3.26E+16 3.28E+16 3.19E+16 3.01E+16 2.77E+16 2.48E+16 2.17E+16 1.86E+16 1.55E+16 1.27E+16 1.02E+16 7.98E+15 6.14E+15 4.63E+15 3.42E+15 2.48E+15 1.77E+15 1.23E+15 8.44E+14 5.68E+14 3.75E+14 2.43E+14 1.54E+14 9.64E+13
  60.00  1.990  3.95E+20 3.91E+19 7.83E+20 6.06E+17 1.18E+18 1.71E+18 2.16E+18 2.51E+18 2.77E+18 2.92E+18 2.96E+18 2.92E+18 2.79E+18 2.61E+18 2.38E+18 2.12E+18 1.85E+18 1.58E+18 1.32E+18 1.08E+18 8.72E+17 6.89E+17 5.34E+17 4.07E+17 3.05E+17 2.24E+17 1.62E+17 1.15E+17 8.02E+16 5.50E+16 3.71E+16 2.46E+16 1.60E+16
  70.00  2.149  2.65E+22 2.61E+21 5.44E+22 3.77E+19 7.37E+19 1.07E+20 1.35E+20 1.58E+20 1.75E+20 1.86E+20 1.91E+20 1.90E+20 1.84E+20 1.73E+20 1.60E+20 1.45E+20 1.28E+20 1.11E+20 9.48E+19 7.93E+19 6.51E+19 5.25E+19 4.17E+19 3.25E+19 2.49E+19 1.88E+19 1.39E+19 1.02E+19 7.32E+18 5.17E+18 3.60E+18 2.46E+18 1.66E+18
  80.00  2.298  1.36E+24 1.33E+23 2.87E+24 1.80E+21 3.53E+21 5.11E+21 6.50E+21 7.64E+21 8.51E+21 9.09E+21 9.38E+21 9.41E+21 9.19E+21 8.76E+21 8.17E+21 7.47E+21 6.70E+21 5.89E+21 5.09E+21 4.32E+21 3.61E+21 2.96E+21 2.39E+21 1.90E+21 1.49E+21 1.15E+21 8.69E+20 6.49E+20 4.77E+20 3.46E+20 2.47E+20 1.73E+20 1.20E+20
  90.00  2.437  5.57E+25 5.44E+24 1.20E+26 6.92E+22 1.36E+23 1.97E+23 2.52E+23 2.97E+23 3.32E+23 3.56E+23 3.70E+23 3.73E+23 3.67E+23 3.53E+23 3.32E+23 3.07E+23 2.78E+23 2.47E+23 2.16E+23 1.86E+23 1.57E+23 1.31E+23 1.07E+23 8.66E+22 6.89E+22 5.40E+22 4.17E+22 3.17E+22 2.38E+22 1.76E+22 1.28E+22 9.21E+21 6.53E+21
 100.00  2.569  1.89E+27 1.83E+26 4.17E+27 2.22E+24 4.36E+24 6.34E+24 8.10E+24 9.59E+24 1.08E+25 1.16E+25 1.21E+25 1.23E+25 1.21E+25 1.18E+25 1.12E+25 1.04E+25 9.48E+24 8.51E+24 7.52E+24 6.54E+24 5.59E+24 4.71E+24 3.91E+24 3.20E+24 2.58E+24 2.05E+24 1.61E+24 1.24E+24 9.48E+23 7.13E+23 5.29E+23 3.88E+23 2.80E+23
 110.00  2.694  5.45E+28 5.26E+27 1.22E+29 6.07E+25 1.19E+26 1.74E+26 2.23E+26 2.64E+26 2.97E+26 3.22E+26 3.37E+26 3.43E+26 3.42E+26 3.33E+26 3.18E+26 2.98E+26 2.74E+26 2.48E+26 2.21E+26 1.94E+26 1.68E+26 1.43E+26 1.20E+26 9.91E+25 8.09E+25 6.51E+25 5.17E+25 4.05E+25 3.14E+25 2.39E+25 1.80E+25 1.34E+25 9.86E+24
 120.00  2.814  1.36E+30 1.31E+29 3.11E+30 1.45E+27 2.85E+27 4.16E+27 5.33E+27 6.34E+27 7.15E+27 7.76E+27 8.16E+27 8.36E+27 8.35E+27 8.18E+27 7.85E+27 7.40E+27 6.86E+27 6.25E+27 5.61E+27 4.96E+27 4.33E+27 3.72E+27 3.15E+27 2.63E+27 2.17E+27 1.77E+27 1.42E+27 1.13E+27 8.82E+26 6.82E+26 5.21E+26 3.93E+26 2.93E+26
