                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 2  *
 170.00  3.728  5.19E+32 4.74E+31 1.29E+33 3.98E+29 7.85E+29 1.15E+30 1.49E+30 1.80E+30 2.06E+30 2.27E+30 2.44E+30 2.55E+30 2.62E+30 2.64E+30 2.61E+30 2.55E+30 2.45E+30 2.32E+30 2.17E+30 2.01E+30 1.84E+30 1.66E+30 1.48E+30 1.31E+30 1.14E+30 9.89E+29 8.46E+29 7.17E+29 6.02E+29 5.00E+29 4.11E+29 3.35E+29 2.70E+29
 180.00  3.836  5.55E+33 5.03E+32 1.39E+34 4.10E+30 8.10E+30 1.19E+31 1.54E+31 1.86E+31 2.13E+31 2.36E+31 2.53E+31 2.66E+31 2.73E+31 2.76E+31 2.74E+31 2.68E+31 2.58E+31 2.46E+31 2.31E+31 2.14E+31 1.97E+31 1.78E+31 1.60E+31 1.42E+31 1.25E+31 1.08E+31 9.34E+30 7.96E+30 6.71E+30 5.61E+30 4.65E+30 3.81E+30 3.09E+30
 190.00  3.941  5.57E+34 5.01E+33 1.40E+35 3.98E+31 7.87E+31 1.16E+32 1.50E+32 1.81E+32 2.08E+32 2.30E+32 2.48E+32 2.61E+32 2.68E+32 2.71E+32 2.70E+32 2.65E+32 2.56E+32 2.44E+32 2.30E+32 2.15E+32 1.98E+32 1.80E+32 1.62E+32 1.45E+32 1.28E+32 1.11E+32 9.65E+31 8.26E+31 7.01E+31 5.89E+31 4.91E+31 4.05E+31 3.31E+31
 200.00  4.044  5.28E+35 4.72E+34 1.34E+36 3.66E+32 7.23E+32 1.06E+33 1.38E+33 1.67E+33 1.92E+33 2.13E+33 2.29E+33 2.41E+33 2.49E+33 2.52E+33 2.52E+33 2.48E+33 2.40E+33 2.30E+33 2.17E+33 2.03E+33 1.88E+33 1.71E+33 1.55E+33 1.39E+33 1.23E+33 1.08E+33 9.38E+32 8.08E+32 6.89E+32 5.82E+32 4.88E+32 4.05E+32 3.33E+32

                    ************************************************************************************************
                    *  Z= 43 A= 99: Negative-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.143  1.23E+00 4.90E+00 3.25E+01 6.51E-01 1.05E+00 1.10E+00 8.93E-01 5.87E-01 3.21E-01 1.48E-01 5.81E-02 1.94E-02 5.56E-03 1.37E-03 2.88E-04 5.25E-05 8.22E-06 1.11E-06 1.30E-07 1.31E-08 1.14E-09 8.56E-11 5.57E-12 3.13E-13 1.52E-14 6.42E-16 2.34E-17 7.37E-19 2.01E-20 4.75E-22 9.73E-24 1.72E-25 2.64E-27
   0.50  0.202  3.43E+00 8.83E+00 5.86E+01 1.17E+00 1.89E+00 1.99E+00 1.61E+00 1.06E+00 5.79E-01 2.67E-01 1.05E-01 3.50E-02 1.00E-02 2.46E-03 5.20E-04 9.45E-05 1.48E-05 2.00E-06 2.34E-07 2.35E-08 2.05E-09 1.54E-10 1.00E-11 5.65E-13 2.75E-14 1.16E-15 4.21E-17 1.33E-18 3.63E-20 8.57E-22 1.75E-23 3.10E-25 4.76E-27
   0.75  0.248  7.27E+00 1.54E+01 1.02E+02 2.04E+00 3.30E+00 3.46E+00 2.80E+00 1.84E+00 1.01E+00 4.65E-01 1.82E-01 6.09E-02 1.74E-02 4.28E-03 9.04E-04 1.64E-04 2.58E-05 3.48E-06 4.07E-07 4.10E-08 3.57E-09 2.68E-10 1.75E-11 9.82E-13 4.78E-14 2.01E-15 7.33E-17 2.31E-18 6.31E-20 1.49E-21 3.05E-23 5.40E-25 8.28E-27
   1.00  0.286  1.35E+01 2.48E+01 1.72E+02 3.05E+00 5.01E+00 5.42E+00 4.56E+00 3.16E+00 1.84E+00 9.18E-01 3.92E-01 1.45E-01 4.63E-02 1.28E-02 3.10E-03 6.53E-04 1.20E-04 1.91E-05 2.68E-06 3.27E-07 3.49E-08 3.25E-09 2.65E-10 1.90E-11 1.18E-12 6.48E-14 3.10E-15 1.30E-16 4.77E-18 1.53E-19 4.32E-21 1.07E-22 2.30E-24
   1.25  0.320  2.33E+01 3.91E+01 2.83E+02 4.42E+00 7.38E+00 8.20E+00 7.18E+00 5.23E+00 3.24E+00 1.73E+00 8.03E-01 3.25E-01 1.15E-01 3.60E-02 9.86E-03 2.38E-03 5.06E-04 9.49E-05 1.57E-05 2.30E-06 2.98E-07 3.40E-08 3.44E-09 3.08E-10 2.43E-11 1.70E-12 1.06E-13 5.79E-15 2.81E-16 1.21E-17 4.61E-19 1.56E-20 4.65E-22
   1.50  0.350  3.83E+01 6.02E+01 4.54E+02 6.32E+00 1.07E+01 1.22E+01 1.10E+01 8.35E+00 5.45E+00 3.09E+00 1.54E+00 6.74E-01 2.61E-01 8.98E-02 2.74E-02 7.41E-03 1.79E-03 3.84E-04 7.34E-05 1.25E-05 1.91E-06 2.59E-07 3.13E-08 3.39E-09 3.27E-10 2.83E-11 2.18E-12 1.50E-13 9.24E-15 5.08E-16 2.50E-17 1.10E-18 4.31E-20
   1.75  0.378  6.11E+01 9.13E+01 7.13E+02 8.92E+00 1.53E+01 1.77E+01 1.65E+01 1.30E+01 8.84E+00 5.28E+00 2.79E+00 1.31E+00 5.47E-01 2.04E-01 6.82E-02 2.04E-02 5.48E-03 1.32E-03 2.86E-04 5.56E-05 9.72E-06 1.53E-06 2.16E-07 2.75E-08 3.16E-09 3.26E-10 3.03E-11 2.53E-12 1.91E-13 1.30E-14 7.94E-16 4.38E-17 2.17E-18
   2.00  0.404  9.52E+01 1.36E+02 1.10E+03 1.25E+01 2.16E+01 2.55E+01 2.43E+01 1.97E+01 1.39E+01 8.71E+00 4.84E+00 2.41E+00 1.07E+00 4.31E-01 1.56E-01 5.09E-02 1.50E-02 3.99E-03 9.61E-04 2.09E-04 4.13E-05 7.37E-06 1.19E-06 1.75E-07 2.33E-08 2.80E-09 3.06E-10 3.03E-11 2.73E-12 2.22E-13 1.64E-14 1.10E-15 6.71E-17
   2.25  0.429  1.45E+02 2.00E+02 1.67E+03 1.72E+01 3.01E+01 3.61E+01 3.51E+01 2.93E+01 2.14E+01 1.39E+01 8.10E+00 4.24E+00 2.00E+00 8.56E-01 3.32E-01 1.17E-01 3.73E-02 1.08E-02 2.86E-03 6.89E-04 1.51E-04 3.02E-05 5.49E-06 9.11E-07 1.38E-07 1.90E-08 2.39E-09 2.75E-10 2.88E-11 2.75E-12 2.40E-13 1.91E-14 1.39E-15
   2.50  0.452  2.18E+02 2.91E+02 2.51E+03 2.36E+01 4.16E+01 5.05E+01 5.01E+01 4.28E+01 3.22E+01 2.17E+01 1.31E+01 7.19E+00 3.57E+00 1.61E+00 6.65E-01 2.50E-01 8.58E-02 2.69E-02 7.73E-03 2.03E-03 4.88E-04 1.08E-04 2.17E-05 4.02E-06 6.81E-07 1.06E-07 1.51E-08 1.98E-09 2.37E-10 2.61E-11 2.64E-12 2.44E-13 2.08E-14
   2.75  0.474  3.23E+02 4.18E+02 3.71E+03 3.21E+01 5.70E+01 7.00E+01 7.05E+01 6.15E+01 4.75E+01 3.30E+01 2.07E+01 1.18E+01 6.13E+00 2.91E+00 1.27E+00 5.05E-01 1.85E-01 6.21E-02 1.92E-02 5.45E-03 1.42E-03 3.42E-04 7.57E-05 1.54E-05 2.90E-06 5.01E-07 7.98E-08 1.17E-08 1.59E-09 1.98E-10 2.27E-11 2.41E-12 2.36E-13
   3.00  0.495  4.71E+02 5.94E+02 5.41E+03 4.33E+01 7.74E+01 9.60E+01 9.82E+01 8.73E+01 6.91E+01 4.92E+01 3.19E+01 1.88E+01 1.02E+01 5.06E+00 2.31E+00 9.71E-01 3.76E-01 1.34E-01 4.43E-02 1.35E-02 3.80E-03 9.87E-04 2.37E-04 5.27E-05 1.08E-05 2.06E-06 3.62E-07 5.90E-08 8.89E-09 1.24E-09 1.60E-10 1.92E-11 2.12E-12
   3.25  0.515  6.80E+02 8.36E+02 7.81E+03 5.80E+01 1.04E+02 1.31E+02 1.35E+02 1.22E+02 9.89E+01 7.23E+01 4.81E+01 2.94E+01 1.65E+01 8.52E+00 4.06E+00 1.79E+00 7.30E-01 2.76E-01 9.63E-02 3.12E-02 9.39E-03 2.62E-03 6.78E-04 1.63E-04 3.63E-05 7.52E-06 1.45E-06 2.59E-07 4.29E-08 6.62E-09 9.50E-10 1.27E-10 1.57E-11
   3.50  0.535  9.72E+02 1.17E+03 1.12E+04 7.72E+01 1.39E+02 1.76E+02 1.85E+02 1.70E+02 1.40E+02 1.04E+02 7.14E+01 4.49E+01 2.60E+01 1.39E+01 6.91E+00 3.18E+00 1.36E+00 5.39E-01 1.99E-01 6.82E-02 2.18E-02 6.47E-03 1.79E-03 4.61E-04 1.11E-04 2.48E-05 5.17E-06 1.01E-06 1.82E-07 3.08E-08 4.85E-09 7.13E-10 9.77E-11
   3.75  0.554  1.38E+03 1.61E+03 1.58E+04 1.02E+02 1.85E+02 2.36E+02 2.50E+02 2.33E+02 1.95E+02 1.49E+02 1.04E+02 6.72E+01 4.01E+01 2.22E+01 1.14E+01 5.47E+00 2.43E+00 1.01E+00 3.91E-01 1.41E-01 4.77E-02 1.50E-02 4.41E-03 1.21E-03 3.11E-04 7.48E-05 1.68E-05 3.52E-06 6.91E-07 1.27E-07 2.18E-08 3.50E-09 5.26E-10
   4.00  0.572  1.93E+03 2.22E+03 2.22E+04 1.34E+02 2.45E+02 3.14E+02 3.36E+02 3.17E+02 2.70E+02 2.10E+02 1.50E+02 9.91E+01 6.08E+01 3.47E+01 1.84E+01 9.13E+00 4.23E+00 1.83E+00 7.40E-01 2.80E-01 9.93E-02 3.30E-02 1.02E-02 2.99E-03 8.15E-04 2.09E-04 5.01E-05 1.13E-05 2.38E-06 4.71E-07 8.75E-08 1.52E-08 2.49E-09
   4.25  0.589  2.68E+03 3.02E+03 3.09E+04 1.76E+02 3.21E+02 4.15E+02 4.48E+02 4.28E+02 3.69E+02 2.92E+02 2.13E+02 1.44E+02 9.05E+01 5.30E+01 2.90E+01 1.49E+01 7.13E+00 3.21E+00 1.35E+00 5.34E-01 1.98E-01 6.90E-02 2.26E-02 6.94E-03 2.00E-03 5.44E-04 1.39E-04 3.33E-05 7.51E-06 1.59E-06 3.18E-07 5.97E-08 1.05E-08
   4.50  0.607  3.71E+03 4.09E+03 4.28E+04 2.29E+02 4.19E+02 5.45E+02 5.94E+02 5.73E+02 5.01E+02 4.02E+02 2.99E+02 2.06E+02 1.33E+02 7.97E+01 4.49E+01 2.37E+01 1.17E+01 5.46E+00 2.39E+00 9.82E-01 3.80E-01 1.38E-01 4.74E-02 1.53E-02 4.66E-03 1.33E-03 3.60E-04 9.17E-05 2.20E-05 4.97E-06 1.06E-06 2.13E-07 4.04E-08
   4.75  0.623  5.08E+03 5.50E+03 5.87E+04 2.96E+02 5.45E+02 7.12E+02 7.82E+02 7.62E+02 6.75E+02 5.50E+02 4.15E+02 2.92E+02 1.92E+02 1.18E+02 6.81E+01 3.70E+01 1.89E+01 9.06E+00 4.10E+00 1.75E+00 7.04E-01 2.67E-01 9.56E-02 3.23E-02 1.03E-02 3.10E-03 8.83E-04 2.37E-04 6.02E-05 1.44E-05 3.27E-06 7.01E-07 1.42E-07
   5.00  0.639  6.92E+03 7.36E+03 8.00E+04 3.82E+02 7.05E+02 9.25E+02 1.02E+03 1.01E+03 9.02E+02 7.44E+02 5.71E+02 4.08E+02 2.73E+02 1.72E+02 1.02E+02 5.66E+01 2.97E+01 1.47E+01 6.87E+00 3.03E+00 1.26E+00 4.98E-01 1.86E-01 6.54E-02 2.18E-02 6.88E-03 2.05E-03 5.80E-04 1.55E-04 3.93E-05 9.42E-06 2.14E-06 4.60E-07
   5.50  0.671  1.34E+04 1.30E+04 1.46E+05 6.26E+02 1.16E+03 1.54E+03 1.73E+03 1.73E+03 1.58E+03 1.33E+03 1.05E+03 7.76E+02 5.38E+02 3.52E+02 2.17E+02 1.27E+02 6.98E+01 3.64E+01 1.80E+01 8.45E+00 3.76E+00 1.59E+00 6.35E-01 2.41E-01 8.70E-02 2.98E-02 9.71E-03 3.00E-03 8.82E-04 2.46E-04 6.53E-05 1.65E-05 3.95E-06
   6.00  0.700  2.46E+04 2.23E+04 2.60E+05 1.01E+03 1.89E+03 2.52E+03 2.86E+03 2.90E+03 2.70E+03 2.33E+03 1.88E+03 1.43E+03 1.02E+03 6.89E+02 4.41E+02 2.68E+02 1.54E+02 8.43E+01 4.38E+01 2.17E+01 1.02E+01 4.56E+00 1.94E+00 7.89E-01 3.05E-01 1.12E-01 3.94E-02 1.32E-02 4.20E-03 1.28E-03 3.70E-04 1.02E-04 2.69E-05
   6.50  0.729  4.35E+04 3.78E+04 4.54E+05 1.61E+03 3.02E+03 4.06E+03 4.65E+03 4.78E+03 4.51E+03 3.97E+03 3.27E+03 2.54E+03 1.87E+03 1.30E+03 8.59E+02 5.40E+02 3.23E+02 1.84E+02 9.99E+01 5.18E+01 2.56E+01 1.21E+01 5.43E+00 2.33E+00 9.59E-01 3.76E-01 1.41E-01 5.05E-02 1.73E-02 5.67E-03 1.77E-03 5.31E-04 1.52E-04
   7.00  0.756  7.50E+04 6.30E+04 7.79E+05 2.53E+03 4.77E+03 6.45E+03 7.45E+03 7.74E+03 7.41E+03 6.62E+03 5.56E+03 4.41E+03 3.32E+03 2.37E+03 1.61E+03 1.05E+03 6.48E+02 3.83E+02 2.16E+02 1.17E+02 6.01E+01 2.97E+01 1.40E+01 6.35E+00 2.75E+00 1.14E+00 4.54E-01 1.73E-01 6.31E-02 2.21E-02 7.40E-03 2.38E-03 7.33E-04
   7.50  0.783  1.27E+05 1.03E+05 1.31E+06 3.94E+03 7.43E+03 1.01E+04 1.18E+04 1.24E+04 1.20E+04 1.09E+04 9.27E+03 7.49E+03 5.76E+03 4.21E+03 2.94E+03 1.96E+03 1.25E+03 7.62E+02 4.45E+02 2.49E+02 1.34E+02 6.88E+01 3.40E+01 1.61E+01 7.31E+00 3.19E+00 1.34E+00 5.38E-01 2.08E-01 7.70E-02 2.75E-02 9.40E-03 3.09E-03
   8.00  0.809  2.10E+05 1.67E+05 2.18E+06 6.05E+03 1.14E+04 1.57E+04 1.84E+04 1.94E+04 1.90E+04 1.75E+04 1.52E+04 1.25E+04 9.76E+03 7.30E+03 5.21E+03 3.56E+03 2.33E+03 1.46E+03 8.82E+02 5.10E+02 2.84E+02 1.51E+02 7.77E+01 3.83E+01 1.82E+01 8.30E+00 3.64E+00 1.54E+00 6.26E-01 2.45E-01 9.21E-02 3.34E-02 1.16E-02
   8.50  0.834  3.44E+05 2.67E+05 3.58E+06 9.20E+03 1.75E+04 2.40E+04 2.83E+04 3.02E+04 2.99E+04 2.78E+04 2.44E+04 2.04E+04 1.62E+04 1.24E+04 9.01E+03 6.30E+03 4.23E+03 2.72E+03 1.69E+03 1.01E+03 5.77E+02 3.18E+02 1.69E+02 8.66E+01 4.27E+01 2.03E+01 9.30E+00 4.10E+00 1.75E+00 7.16E-01 2.83E-01 1.08E-01 3.98E-02
   9.00  0.858  5.55E+05 4.22E+05 5.78E+06 1.39E+04 2.64E+04 3.64E+04 4.32E+04 4.65E+04 4.64E+04 4.35E+04 3.87E+04 3.28E+04 2.65E+04 2.05E+04 1.52E+04 1.09E+04 7.45E+03 4.91E+03 3.12E+03 1.91E+03 1.12E+03 6.39E+02 3.50E+02 1.85E+02 9.46E+01 4.66E+01 2.21E+01 1.02E+01 4.50E+00 1.93E+00 7.96E-01 3.18E-01 1.22E-01
   9.50  0.881  8.88E+05 6.66E+05 9.24E+06 2.14E+04 4.07E+04 5.63E+04 6.70E+04 7.23E+04 7.25E+04 6.84E+04 6.12E+04 5.22E+04 4.25E+04 3.32E+04 2.49E+04 1.79E+04 1.24E+04 8.28E+03 5.32E+03 3.30E+03 1.97E+03 1.14E+03 6.34E+02 3.41E+02 1.77E+02 8.87E+01 4.29E+01 2.01E+01 9.09E+00 3.97E+00 1.68E+00 6.85E-01 2.71E-01
  10.00  0.904  1.41E+06 1.04E+06 1.46E+07 3.27E+04 6.23E+04 8.62E+04 1.03E+05 1.11E+05 1.12E+05 1.06E+05 9.56E+04 8.20E+04 6.73E+04 5.29E+04 4.00E+04 2.91E+04 2.04E+04 1.37E+04 8.93E+03 5.61E+03 3.40E+03 1.99E+03 1.12E+03 6.13E+02 3.23E+02 1.65E+02 8.12E+01 3.87E+01 1.78E+01 7.95E+00 3.43E+00 1.43E+00 5.77E-01
  11.00  0.948  3.87E+06 2.46E+06 3.53E+07 7.41E+04 1.42E+05 1.97E+05 2.36E+05 2.57E+05 2.60E+05 2.49E+05 2.26E+05 1.96E+05 1.63E+05 1.30E+05 1.00E+05 7.39E+04 5.27E+04 3.62E+04 2.41E+04 1.54E+04 9.57E+03 5.74E+03 3.33E+03 1.87E+03 1.01E+03 5.33E+02 2.71E+02 1.34E+02 6.37E+01 2.94E+01 1.32E+01 5.70E+00 2.39E+00
  12.00  0.990  9.50E+06 5.63E+06 8.23E+07 1.63E+05 3.12E+05 4.35E+05 5.23E+05 5.73E+05 5.85E+05 5.63E+05 5.17E+05 4.53E+05 3.80E+05 3.07E+05 2.39E+05 1.79E+05 1.30E+05 9.09E+04 6.15E+04 4.02E+04 2.55E+04 1.56E+04 9.26E+03 5.32E+03 2.96E+03 1.60E+03 8.36E+02 4.24E+02 2.08E+02 9.93E+01 4.59E+01 2.06E+01 8.94E+00
  13.00  1.031  2.20E+07 1.25E+07 1.86E+08 3.48E+05 6.68E+05 9.33E+05 1.13E+06 1.24E+06 1.27E+06 1.24E+06 1.14E+06 1.01E+06 8.57E+05 7.00E+05 5.51E+05 4.19E+05 3.08E+05 2.18E+05 1.50E+05 1.00E+05 6.45E+04 4.03E+04 2.44E+04 1.43E+04 8.16E+03 4.51E+03 2.42E+03 1.26E+03 6.34E+02 3.11E+02 1.48E+02 6.82E+01 3.06E+01
  14.00  1.070  4.88E+07 2.69E+07 4.07E+08 7.26E+05 1.39E+06 1.95E+06 2.37E+06 2.61E+06 2.70E+06 2.63E+06 2.45E+06 2.18E+06 1.87E+06 1.54E+06 1.23E+06 9.44E+05 7.03E+05 5.06E+05 3.53E+05 2.38E+05 1.56E+05 9.94E+04 6.13E+04 3.67E+04 2.13E+04 1.20E+04 6.59E+03 3.51E+03 1.81E+03 9.11E+02 4.45E+02 2.11E+02 9.72E+01
  15.00  1.107  1.05E+08 5.65E+07 8.68E+08 1.48E+06 2.84E+06 3.99E+06 4.85E+06 5.38E+06 5.58E+06 5.48E+06 5.13E+06 4.60E+06 3.97E+06 3.31E+06 2.66E+06 2.07E+06 1.55E+06 1.13E+06 8.01E+05 5.49E+05 3.65E+05 2.36E+05 1.48E+05 9.00E+04 5.33E+04 3.06E+04 1.71E+04 9.31E+03 4.92E+03 2.53E+03 1.26E+03 6.13E+02 2.90E+02
  16.00  1.144  2.21E+08 1.16E+08 1.81E+09 2.95E+06 5.68E+06 7.99E+06 9.73E+06 1.08E+07 1.13E+07 1.11E+07 1.05E+07 9.47E+06 8.24E+06 6.91E+06 5.60E+06 4.40E+06 3.34E+06 2.46E+06 1.76E+06 1.22E+06 8.25E+05 5.40E+05 3.44E+05 2.13E+05 1.28E+05 7.49E+04 4.26E+04 2.36E+04 1.27E+04 6.67E+03 3.40E+03 1.69E+03 8.16E+02
  17.00  1.179  4.55E+08 2.33E+08 3.69E+09 5.78E+06 1.11E+07 1.57E+07 1.92E+07 2.14E+07 2.24E+07 2.22E+07 2.10E+07 1.91E+07 1.67E+07 1.41E+07 1.15E+07 9.13E+06 7.01E+06 5.22E+06 3.77E+06 2.65E+06 1.81E+06 1.20E+06 7.74E+05 4.86E+05 2.97E+05 1.77E+05 1.02E+05 5.75E+04 3.16E+04 1.69E+04 8.77E+03 4.44E+03 2.19E+03
  18.00  1.213  9.15E+08 4.61E+08 7.38E+09 1.11E+07 2.14E+07 3.03E+07 3.70E+07 4.15E+07 4.35E+07 4.33E+07 4.12E+07 3.76E+07 3.32E+07 2.82E+07 2.32E+07 1.85E+07 1.44E+07 1.08E+07 7.88E+06 5.59E+06 3.86E+06 2.59E+06 1.69E+06 1.08E+06 6.68E+05 4.03E+05 2.37E+05 1.35E+05 7.55E+04 4.10E+04 2.17E+04 1.12E+04 5.64E+03
  19.00  1.246  1.81E+09 8.93E+08 1.45E+10 2.11E+07 4.06E+07 5.74E+07 7.04E+07 7.91E+07 8.32E+07 8.32E+07 7.95E+07 7.30E+07 6.47E+07 5.54E+07 4.59E+07 3.69E+07 2.88E+07 2.18E+07 1.61E+07 1.15E+07 8.05E+06 5.47E+06 3.61E+06 2.33E+06 1.46E+06 8.92E+05 5.32E+05 3.09E+05 1.75E+05 9.65E+04 5.19E+04 2.72E+04 1.39E+04
  20.00  1.279  3.51E+09 1.71E+09 2.80E+10 3.93E+07 7.58E+07 1.07E+08 1.32E+08 1.48E+08 1.57E+08 1.57E+08 1.51E+08 1.39E+08 1.24E+08 1.07E+08 8.91E+07 7.21E+07 5.67E+07 4.33E+07 3.22E+07 2.33E+07 1.64E+07 1.13E+07 7.53E+06 4.90E+06 3.11E+06 1.93E+06 1.16E+06 6.84E+05 3.93E+05 2.20E+05 1.20E+05 6.41E+04 3.33E+04
  22.50  1.356  2.37E+10 8.06E+09 1.36E+11 1.76E+08 3.40E+08 4.83E+08 5.97E+08 6.75E+08 7.18E+08 7.25E+08 7.02E+08 6.55E+08 5.90E+08 5.15E+08 4.36E+08 3.58E+08 2.86E+08 2.23E+08 1.69E+08 1.25E+08 8.96E+07 6.29E+07 4.30E+07 2.87E+07 1.87E+07 1.19E+07 7.40E+06 4.49E+06 2.66E+06 1.54E+06 8.70E+05 4.80E+05 2.59E+05
  25.00  1.430  1.12E+11 3.52E+10 6.09E+11 7.33E+08 1.42E+09 2.02E+09 2.50E+09 2.85E+09 3.04E+09 3.10E+09 3.02E+09 2.84E+09 2.59E+09 2.28E+09 1.96E+09 1.63E+09 1.32E+09 1.04E+09 8.03E+08 6.03E+08 4.42E+08 3.16E+08 2.21E+08 1.51E+08 1.00E+08 6.54E+07 4.16E+07 2.59E+07 1.58E+07 9.37E+06 5.45E+06 3.10E+06 1.72E+06
  30.00  1.566  2.89E+12 5.55E+11 1.00E+13 1.06E+10 2.07E+10 2.95E+10 3.68E+10 4.22E+10 4.55E+10 4.68E+10 4.63E+10 4.42E+10 4.08E+10 3.67E+10 3.20E+10 2.72E+10 2.26E+10 1.83E+10 1.45E+10 1.12E+10 8.43E+09 6.22E+09 4.49E+09 3.17E+09 2.19E+09 1.49E+09 9.84E+08 6.38E+08 4.05E+08 2.52E+08 1.54E+08 9.18E+07 5.37E+07
  40.00  1.808  7.84E+14 7.81E+13 1.51E+15 1.31E+12 2.55E+12 3.67E+12 4.62E+12 5.35E+12 5.85E+12 6.11E+12 6.15E+12 6.00E+12 5.67E+12 5.23E+12 4.69E+12 4.12E+12 3.53E+12 2.96E+12 2.43E+12 1.95E+12 1.54E+12 1.19E+12 8.98E+11 6.67E+11 4.86E+11 3.47E+11 2.43E+11 1.68E+11 1.13E+11 7.51E+10 4.89E+10 3.13E+10 1.97E+10
  50.00  2.022  6.52E+16 6.44E+15 1.31E+17 9.73E+13 1.90E+14 2.75E+14 3.47E+14 4.05E+14 4.47E+14 4.73E+14 4.82E+14 4.76E+14 4.58E+14 4.29E+14 3.93E+14 3.52E+14 3.09E+14 2.65E+14 2.23E+14 1.85E+14 1.50E+14 1.19E+14 9.33E+13 7.17E+13 5.42E+13 4.02E+13 2.93E+13 2.10E+13 1.48E+13 1.03E+13 7.03E+12 4.72E+12 3.11E+12
  60.00  2.215  3.69E+18 3.62E+17 7.68E+18 5.02E+15 9.83E+15 1.42E+16 1.81E+16 2.12E+16 2.36E+16 2.51E+16 2.59E+16 2.58E+16 2.51E+16 2.39E+16 2.22E+16 2.02E+16 1.80E+16 1.58E+16 1.35E+16 1.14E+16 9.48E+15 7.73E+15 6.19E+15 4.88E+15 3.79E+15 2.89E+15 2.18E+15 1.61E+15 1.17E+15 8.41E+14 5.94E+14 4.13E+14 2.83E+14
  70.00  2.392  1.55E+20 1.52E+19 3.34E+20 1.96E+17 3.84E+17 5.57E+17 7.10E+17 8.37E+17 9.35E+17 1.00E+18 1.04E+18 1.05E+18 1.03E+18 9.88E+17 9.29E+17 8.55E+17 7.73E+17 6.86E+17 5.99E+17 5.14E+17 4.33E+17 3.60E+17 2.94E+17 2.37E+17 1.88E+17 1.47E+17 1.13E+17 8.55E+16 6.39E+16 4.70E+16 3.41E+16 2.44E+16 1.72E+16
  80.00  2.557  5.19E+21 5.03E+20 1.14E+22 6.08E+18 1.19E+19 1.74E+19 2.22E+19 2.63E+19 2.95E+19 3.18E+19 3.32E+19 3.37E+19 3.33E+19 3.23E+19 3.06E+19 2.85E+19 2.60E+19 2.34E+19 2.06E+19 1.79E+19 1.54E+19 1.29E+19 1.07E+19 8.80E+18 7.09E+18 5.64E+18 4.42E+18 3.42E+18 2.61E+18 1.96E+18 1.46E+18 1.07E+18 7.70E+17
  90.00  2.713  1.43E+23 1.37E+22 3.21E+23 1.57E+20 3.09E+20 4.50E+20 5.76E+20 6.84E+20 7.70E+20 8.34E+20 8.74E+20 8.92E+20 8.89E+20 8.66E+20 8.28E+20 7.77E+20 7.17E+20 6.50E+20 5.80E+20 5.10E+20 4.42E+20 3.77E+20 3.17E+20 2.63E+20 2.15E+20 1.74E+20 1.38E+20 1.09E+20 8.44E+19 6.46E+19 4.89E+19 3.65E+19 2.69E+19
 100.00  2.859  3.32E+24 3.18E+23 7.62E+24 3.45E+21 6.79E+21 9.92E+21 1.27E+22 1.51E+22 1.71E+22 1.86E+22 1.96E+22 2.01E+22 2.01E+22 1.97E+22 1.90E+22 1.79E+22 1.67E+22 1.52E+22 1.37E+22 1.22E+22 1.07E+22 9.19E+21 7.82E+21 6.56E+21 5.44E+21 4.45E+21 3.59E+21 2.86E+21 2.25E+21 1.75E+21 1.34E+21 1.02E+21 7.65E+20
 110.00  2.999  6.72E+25 6.39E+24 1.57E+26 6.62E+22 1.30E+23 1.91E+23 2.45E+23 2.92E+23 3.31E+23 3.61E+23 3.82E+23 3.93E+23 3.95E+23 3.90E+23 3.77E+23 3.59E+23 3.36E+23 3.09E+23 2.80E+23 2.51E+23 2.21E+23 1.93E+23 1.65E+23 1.40E+23 1.17E+23 9.72E+22 7.93E+22 6.40E+22 5.10E+22 4.02E+22 3.13E+22 2.41E+22 1.83E+22
 120.00  3.132  1.20E+27 1.13E+26 2.84E+27 1.13E+24 2.22E+24 3.25E+24 4.18E+24 5.00E+24 5.67E+24 6.20E+24 6.58E+24 6.80E+24 6.87E+24 6.80E+24 6.62E+24 6.33E+24 5.95E+24 5.52E+24 5.04E+24 4.54E+24 4.04E+24 3.54E+24 3.07E+24 2.63E+24 2.22E+24 1.85E+24 1.53E+24 1.25E+24 1.00E+24 8.01E+23 6.31E+23 4.91E+23 3.79E+23
