                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 2  *
 180.00  3.576  7.48E+35 6.86E+34 1.86E+36 2.90E+32 8.62E+32 1.41E+33 1.93E+33 2.40E+33 2.81E+33 3.15E+33 3.43E+33 3.63E+33 3.76E+33 3.82E+33 3.81E+33 3.74E+33 3.62E+33 3.46E+33 3.26E+33 3.03E+33 2.78E+33 2.52E+33 2.27E+33 2.01E+33 1.77E+33 1.53E+33 1.32E+33 1.12E+33 9.46E+32 7.89E+32 6.52E+32 5.33E+32 4.32E+32
 190.00  3.674  8.45E+36 7.70E+35 2.12E+37 3.17E+33 9.43E+33 1.55E+34 2.11E+34 2.63E+34 3.08E+34 3.46E+34 3.77E+34 4.00E+34 4.16E+34 4.23E+34 4.23E+34 4.17E+34 4.04E+34 3.87E+34 3.66E+34 3.41E+34 3.15E+34 2.87E+34 2.58E+34 2.30E+34 2.03E+34 1.77E+34 1.53E+34 1.31E+34 1.11E+34 9.33E+33 7.75E+33 6.38E+33 5.20E+33
 200.00  3.769  8.99E+37 8.15E+36 2.27E+38 3.27E+34 9.73E+34 1.60E+35 2.18E+35 2.72E+35 3.19E+35 3.59E+35 3.92E+35 4.16E+35 4.33E+35 4.41E+35 4.43E+35 4.37E+35 4.25E+35 4.08E+35 3.87E+35 3.62E+35 3.35E+35 3.06E+35 2.77E+35 2.48E+35 2.20E+35 1.93E+35 1.67E+35 1.44E+35 1.23E+35 1.03E+35 8.64E+34 7.15E+34 5.86E+34

                    ************************************************************************************************
                    *  Z= 43 A=100: Negative-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.133  6.44E+00 2.58E+01 1.95E+02 1.39E+00 3.74E+00 5.01E+00 5.05E+00 4.19E+00 2.96E+00 1.81E+00 9.71E-01 4.58E-01 1.91E-01 7.05E-02 2.31E-02 6.75E-03 1.75E-03 4.06E-04 8.39E-05 1.55E-05 2.54E-06 3.74E-07 4.91E-08 5.77E-09 6.06E-10 5.69E-11 4.78E-12 3.59E-13 2.41E-14 1.45E-15 7.80E-17 3.76E-18 1.62E-19
   0.50  0.188  1.76E+01 4.45E+01 3.45E+02 2.29E+00 6.19E+00 8.37E+00 8.57E+00 7.26E+00 5.26E+00 3.33E+00 1.85E+00 9.10E-01 3.98E-01 1.55E-01 5.38E-02 1.67E-02 4.66E-03 1.16E-03 2.60E-04 5.21E-05 9.37E-06 1.52E-06 2.20E-07 2.87E-08 3.37E-09 3.55E-10 3.37E-11 2.87E-12 2.20E-13 1.52E-14 9.43E-16 5.26E-17 2.65E-18
   0.75  0.231  3.60E+01 7.37E+01 5.92E+02 3.54E+00 9.65E+00 1.32E+01 1.38E+01 1.20E+01 9.05E+00 5.96E+00 3.48E+00 1.81E+00 8.41E-01 3.51E-01 1.32E-01 4.45E-02 1.36E-02 3.72E-03 9.24E-04 2.07E-04 4.19E-05 7.68E-06 1.27E-06 1.91E-07 2.59E-08 3.18E-09 3.53E-10 3.56E-11 3.25E-12 2.68E-13 2.01E-14 1.36E-15 8.36E-17
   1.00  0.267  6.58E+01 1.19E+02 9.89E+02 5.38E+00 1.47E+01 2.05E+01 2.18E+01 1.94E+01 1.50E+01 1.03E+01 6.26E+00 3.42E+00 1.68E+00 7.44E-01 2.99E-01 1.08E-01 3.57E-02 1.07E-02 2.90E-03 7.17E-04 1.61E-04 3.29E-05 6.12E-06 1.04E-06 1.60E-07 2.24E-08 2.86E-09 3.34E-10 3.54E-11 3.43E-12 3.02E-13 2.43E-14 1.78E-15
   1.25  0.298  1.13E+02 1.89E+02 1.61E+03 8.03E+00 2.21E+01 3.10E+01 3.36E+01 3.06E+01 2.43E+01 1.72E+01 1.09E+01 6.18E+00 3.19E+00 1.49E+00 6.35E-01 2.46E-01 8.69E-02 2.80E-02 8.24E-03 2.22E-03 5.46E-04 1.23E-04 2.53E-05 4.76E-06 8.21E-07 1.30E-07 1.87E-08 2.48E-09 3.01E-10 3.35E-11 3.41E-12 3.19E-13 2.73E-14
   1.50  0.326  1.86E+02 2.94E+02 2.58E+03 1.18E+01 3.26E+01 4.63E+01 5.08E+01 4.72E+01 3.84E+01 2.79E+01 1.82E+01 1.08E+01 5.81E+00 2.85E+00 1.28E+00 5.24E-01 1.97E-01 6.79E-02 2.15E-02 6.23E-03 1.66E-03 4.07E-04 9.18E-05 1.90E-05 3.63E-06 6.36E-07 1.03E-07 1.52E-08 2.08E-09 2.62E-10 3.04E-11 3.24E-12 3.18E-13
   1.75  0.353  2.99E+02 4.49E+02 4.06E+03 1.71E+01 4.75E+01 6.79E+01 7.55E+01 7.14E+01 5.94E+01 4.42E+01 2.98E+01 1.82E+01 1.02E+01 5.22E+00 2.45E+00 1.06E+00 4.21E-01 1.54E-01 5.19E-02 1.61E-02 4.63E-03 1.22E-03 2.99E-04 6.75E-05 1.41E-05 2.71E-06 4.83E-07 7.94E-08 1.21E-08 1.70E-09 2.21E-10 2.65E-11 2.95E-12
   2.00  0.377  4.68E+02 6.77E+02 6.28E+03 2.45E+01 6.84E+01 9.85E+01 1.11E+02 1.06E+02 9.01E+01 6.87E+01 4.75E+01 3.00E+01 1.74E+01 9.24E+00 4.53E+00 2.05E+00 8.55E-01 3.30E-01 1.18E-01 3.90E-02 1.19E-02 3.38E-03 8.89E-04 2.17E-04 4.89E-05 1.03E-05 1.99E-06 3.60E-07 6.02E-08 9.35E-09 1.35E-09 1.81E-10 2.24E-11
   2.25  0.400  7.20E+02 1.01E+03 9.57E+03 3.48E+01 9.72E+01 1.41E+02 1.60E+02 1.56E+02 1.35E+02 1.05E+02 7.42E+01 4.82E+01 2.88E+01 1.59E+01 8.07E+00 3.81E+00 1.66E+00 6.74E-01 2.53E-01 8.85E-02 2.88E-02 8.68E-03 2.44E-03 6.36E-04 1.55E-04 3.50E-05 7.37E-06 1.44E-06 2.64E-07 4.48E-08 7.10E-09 1.05E-09 1.44E-10
   2.50  0.421  1.09E+03 1.48E+03 1.44E+04 4.88E+01 1.37E+02 2.00E+02 2.29E+02 2.26E+02 1.98E+02 1.57E+02 1.14E+02 7.57E+01 4.65E+01 2.65E+01 1.39E+01 6.83E+00 3.11E+00 1.32E+00 5.19E-01 1.91E-01 6.54E-02 2.09E-02 6.23E-03 1.73E-03 4.50E-04 1.09E-04 2.47E-05 5.23E-06 1.03E-06 1.91E-07 3.29E-08 5.30E-09 7.98E-10
   2.75  0.442  1.63E+03 2.15E+03 2.14E+04 6.78E+01 1.91E+02 2.80E+02 3.24E+02 3.23E+02 2.87E+02 2.32E+02 1.71E+02 1.17E+02 7.37E+01 4.31E+01 2.35E+01 1.19E+01 5.62E+00 2.48E+00 1.02E+00 3.93E-01 1.41E-01 4.76E-02 1.50E-02 4.42E-03 1.22E-03 3.15E-04 7.62E-05 1.73E-05 3.67E-06 7.29E-07 1.36E-07 2.38E-08 3.89E-09
   3.00  0.462  2.40E+03 3.09E+03 3.14E+04 9.34E+01 2.64E+02 3.89E+02 4.54E+02 4.57E+02 4.12E+02 3.38E+02 2.54E+02 1.77E+02 1.14E+02 6.87E+01 3.85E+01 2.01E+01 9.85E+00 4.51E+00 1.93E+00 7.76E-01 2.92E-01 1.03E-01 3.41E-02 1.06E-02 3.09E-03 8.47E-04 2.18E-04 5.26E-05 1.19E-05 2.54E-06 5.09E-07 9.58E-08 1.69E-08
   3.25  0.480  3.50E+03 4.40E+03 4.56E+04 1.28E+02 3.62E+02 5.36E+02 6.30E+02 6.41E+02 5.85E+02 4.86E+02 3.73E+02 2.64E+02 1.75E+02 1.07E+02 6.18E+01 3.33E+01 1.68E+01 7.96E+00 3.54E+00 1.48E+00 5.79E-01 2.14E-01 7.41E-02 2.42E-02 7.42E-03 2.14E-03 5.83E-04 1.49E-04 3.60E-05 8.17E-06 1.75E-06 3.52E-07 6.68E-08
   3.50  0.499  5.05E+03 6.21E+03 6.57E+04 1.74E+02 4.92E+02 7.33E+02 8.67E+02 8.90E+02 8.21E+02 6.92E+02 5.39E+02 3.89E+02 2.62E+02 1.65E+02 9.74E+01 5.39E+01 2.80E+01 1.37E+01 6.29E+00 2.72E+00 1.11E+00 4.26E-01 1.54E-01 5.26E-02 1.69E-02 5.14E-03 1.47E-03 3.98E-04 1.01E-04 2.44E-05 5.54E-06 1.19E-06 2.41E-07
   3.75  0.516  7.23E+03 8.70E+03 9.37E+04 2.34E+02 6.65E+02 9.95E+02 1.18E+03 1.23E+03 1.14E+03 9.75E+02 7.70E+02 5.66E+02 3.88E+02 2.50E+02 1.51E+02 8.55E+01 4.57E+01 2.30E+01 1.09E+01 4.87E+00 2.06E+00 8.20E-01 3.09E-01 1.10E-01 3.69E-02 1.17E-02 3.52E-03 1.00E-03 2.69E-04 6.83E-05 1.64E-05 3.73E-06 8.03E-07
   4.00  0.533  1.02E+04 1.21E+04 1.33E+05 3.14E+02 8.93E+02 1.34E+03 1.60E+03 1.67E+03 1.58E+03 1.36E+03 1.09E+03 8.13E+02 5.68E+02 3.72E+02 2.29E+02 1.33E+02 7.29E+01 3.77E+01 1.84E+01 8.49E+00 3.71E+00 1.53E+00 5.97E-01 2.21E-01 7.73E-02 2.56E-02 8.05E-03 2.40E-03 6.75E-04 1.80E-04 4.57E-05 1.10E-05 2.49E-06
   4.25  0.549  1.44E+04 1.67E+04 1.86E+05 4.18E+02 1.19E+03 1.80E+03 2.16E+03 2.27E+03 2.16E+03 1.88E+03 1.53E+03 1.16E+03 8.20E+02 5.47E+02 3.44E+02 2.04E+02 1.14E+02 6.07E+01 3.04E+01 1.44E+01 6.50E+00 2.77E+00 1.12E+00 4.29E-01 1.56E-01 5.38E-02 1.76E-02 5.47E-03 1.61E-03 4.52E-04 1.20E-04 3.03E-05 7.26E-06
   4.50  0.565  2.01E+04 2.28E+04 2.59E+05 5.54E+02 1.58E+03 2.39E+03 2.89E+03 3.06E+03 2.93E+03 2.58E+03 2.12E+03 1.63E+03 1.17E+03 7.95E+02 5.09E+02 3.08E+02 1.77E+02 9.59E+01 4.93E+01 2.41E+01 1.11E+01 4.89E+00 2.04E+00 8.09E-01 3.05E-01 1.09E-01 3.71E-02 1.20E-02 3.69E-03 1.08E-03 3.00E-04 7.94E-05 2.00E-05
   4.75  0.581  2.79E+04 3.11E+04 3.59E+05 7.30E+02 2.09E+03 3.17E+03 3.85E+03 4.10E+03 3.95E+03 3.52E+03 2.92E+03 2.27E+03 1.66E+03 1.14E+03 7.45E+02 4.59E+02 2.69E+02 1.49E+02 7.85E+01 3.92E+01 1.87E+01 8.43E+00 3.63E+00 1.48E+00 5.77E-01 2.14E-01 7.54E-02 2.53E-02 8.10E-03 2.47E-03 7.16E-04 1.98E-04 5.21E-05
   5.00  0.596  3.84E+04 4.21E+04 4.93E+05 9.57E+02 2.74E+03 4.17E+03 5.09E+03 5.45E+03 5.30E+03 4.76E+03 3.99E+03 3.14E+03 2.32E+03 1.62E+03 1.08E+03 6.76E+02 4.03E+02 2.28E+02 1.23E+02 6.29E+01 3.07E+01 1.42E+01 6.29E+00 2.65E+00 1.06E+00 4.07E-01 1.49E-01 5.17E-02 1.71E-02 5.43E-03 1.64E-03 4.72E-04 1.30E-04
   5.50  0.625  7.63E+04 7.58E+04 9.16E+05 1.62E+03 4.66E+03 7.13E+03 8.77E+03 9.49E+03 9.36E+03 8.54E+03 7.29E+03 5.86E+03 4.44E+03 3.19E+03 2.18E+03 1.41E+03 8.72E+02 5.13E+02 2.87E+02 1.54E+02 7.84E+01 3.82E+01 1.78E+01 7.90E+00 3.35E+00 1.36E+00 5.29E-01 1.96E-01 6.96E-02 2.36E-02 7.67E-03 2.38E-03 7.08E-04
   6.00  0.653  1.43E+05 1.34E+05 1.66E+06 2.70E+03 7.79E+03 1.20E+04 1.48E+04 1.62E+04 1.62E+04 1.50E+04 1.30E+04 1.06E+04 8.25E+03 6.07E+03 4.25E+03 2.84E+03 1.81E+03 1.10E+03 6.38E+02 3.54E+02 1.88E+02 9.58E+01 4.66E+01 2.17E+01 9.71E+00 4.15E+00 1.70E+00 6.69E-01 2.52E-01 9.10E-02 3.15E-02 1.05E-02 3.33E-03
   6.50  0.679  2.59E+05 2.32E+05 2.96E+06 4.44E+03 1.28E+04 1.98E+04 2.47E+04 2.72E+04 2.74E+04 2.57E+04 2.26E+04 1.89E+04 1.49E+04 1.12E+04 8.03E+03 5.50E+03 3.60E+03 2.26E+03 1.35E+03 7.78E+02 4.28E+02 2.26E+02 1.15E+02 5.59E+01 2.61E+01 1.17E+01 5.04E+00 2.09E+00 8.29E-01 3.16E-01 1.16E-01 4.09E-02 1.39E-02
   7.00  0.705  4.57E+05 3.96E+05 5.17E+06 7.29E+03 2.11E+04 3.26E+04 4.09E+04 4.53E+04 4.60E+04 4.36E+04 3.88E+04 3.27E+04 2.62E+04 2.00E+04 1.46E+04 1.02E+04 6.81E+03 4.36E+03 2.68E+03 1.58E+03 8.94E+02 4.86E+02 2.54E+02 1.27E+02 6.15E+01 2.85E+01 1.27E+01 5.47E+00 2.26E+00 8.99E-01 3.44E-01 1.27E-01 4.49E-02
   7.50  0.730  7.92E+05 6.71E+05 8.87E+06 1.20E+04 3.47E+04 5.38E+04 6.77E+04 7.54E+04 7.70E+04 7.33E+04 6.58E+04 5.60E+04 4.53E+04 3.49E+04 2.58E+04 1.82E+04 1.23E+04 8.01E+03 4.99E+03 2.99E+03 1.72E+03 9.54E+02 5.08E+02 2.61E+02 1.29E+02 6.10E+01 2.79E+01 1.23E+01 5.21E+00 2.13E+00 8.37E-01 3.17E-01 1.16E-01
   8.00  0.754  1.35E+06 1.12E+06 1.50E+07 1.95E+04 5.65E+04 8.77E+04 1.11E+05 1.24E+05 1.27E+05 1.22E+05 1.10E+05 9.41E+04 7.68E+04 5.98E+04 4.46E+04 3.19E+04 2.18E+04 1.44E+04 9.09E+03 5.53E+03 3.24E+03 1.82E+03 9.89E+02 5.17E+02 2.60E+02 1.26E+02 5.89E+01 2.65E+01 1.15E+01 4.82E+00 1.95E+00 7.58E-01 2.85E-01
   8.50  0.777  2.27E+06 1.84E+06 2.50E+07 3.13E+04 9.07E+04 1.41E+05 1.78E+05 2.00E+05 2.06E+05 1.99E+05 1.81E+05 1.56E+05 1.28E+05 1.01E+05 7.58E+04 5.47E+04 3.79E+04 2.53E+04 1.62E+04 1.00E+04 5.94E+03 3.40E+03 1.87E+03 9.97E+02 5.11E+02 2.52E+02 1.20E+02 5.54E+01 2.46E+01 1.05E+01 4.35E+00 1.74E+00 6.68E-01
   9.00  0.800  3.77E+06 3.00E+06 4.12E+07 4.97E+04 1.44E+05 2.25E+05 2.85E+05 3.20E+05 3.32E+05 3.21E+05 2.93E+05 2.55E+05 2.11E+05 1.67E+05 1.27E+05 9.25E+04 6.48E+04 4.37E+04 2.84E+04 1.77E+04 1.07E+04 6.20E+03 3.47E+03 1.87E+03 9.77E+02 4.92E+02 2.39E+02 1.12E+02 5.07E+01 2.22E+01 9.37E+00 3.82E+00 1.51E+00
   9.50  0.821  6.18E+06 4.82E+06 6.69E+07 7.80E+04 2.27E+05 3.54E+05 4.49E+05 5.07E+05 5.27E+05 5.12E+05 4.71E+05 4.11E+05 3.43E+05 2.74E+05 2.10E+05 1.54E+05 1.09E+05 7.43E+04 4.87E+04 3.08E+04 1.88E+04 1.11E+04 6.28E+03 3.45E+03 1.83E+03 9.34E+02 4.61E+02 2.20E+02 1.02E+02 4.53E+01 1.95E+01 8.14E+00 3.28E+00
  10.00  0.843  1.00E+07 7.65E+06 1.08E+08 1.21E+05 3.53E+05 5.52E+05 7.02E+05 7.94E+05 8.28E+05 8.08E+05 7.46E+05 6.56E+05 5.50E+05 4.42E+05 3.41E+05 2.53E+05 1.81E+05 1.24E+05 8.24E+04 5.27E+04 3.25E+04 1.94E+04 1.12E+04 6.21E+03 3.34E+03 1.73E+03 8.70E+02 4.22E+02 1.98E+02 9.01E+01 3.96E+01 1.68E+01 6.91E+00
  11.00  0.884  2.88E+07 1.88E+07 2.69E+08 2.86E+05 8.32E+05 1.30E+06 1.67E+06 1.89E+06 1.99E+06 1.96E+06 1.82E+06 1.62E+06 1.37E+06 1.12E+06 8.74E+05 6.58E+05 4.78E+05 3.34E+05 2.26E+05 1.47E+05 9.30E+04 5.67E+04 3.34E+04 1.91E+04 1.05E+04 5.62E+03 2.90E+03 1.45E+03 7.04E+02 3.31E+02 1.50E+02 6.61E+01 2.82E+01
  12.00  0.923  7.32E+07 4.44E+07 6.48E+08 6.51E+05 1.90E+06 2.98E+06 3.82E+06 4.37E+06 4.61E+06 4.56E+06 4.28E+06 3.83E+06 3.29E+06 2.71E+06 2.14E+06 1.64E+06 1.20E+06 8.57E+05 5.89E+05 3.91E+05 2.51E+05 1.56E+05 9.42E+04 5.49E+04 3.10E+04 1.70E+04 9.01E+03 4.63E+03 2.31E+03 1.11E+03 5.22E+02 2.37E+02 1.04E+02
  13.00  0.961  1.75E+08 1.02E+08 1.51E+09 1.44E+06 4.20E+06 6.62E+06 8.51E+06 9.76E+06 1.03E+07 1.03E+07 9.75E+06 8.80E+06 7.61E+06 6.33E+06 5.07E+06 3.91E+06 2.92E+06 2.10E+06 1.47E+06 9.91E+05 6.48E+05 4.10E+05 2.52E+05 1.50E+05 8.64E+04 4.84E+04 2.62E+04 1.38E+04 7.06E+03 3.50E+03 1.68E+03 7.87E+02 3.57E+02
  14.00  0.997  4.01E+08 2.26E+08 3.41E+09 3.11E+06 9.07E+06 1.43E+07 1.84E+07 2.12E+07 2.26E+07 2.26E+07 2.15E+07 1.96E+07 1.71E+07 1.43E+07 1.16E+07 9.05E+06 6.83E+06 4.98E+06 3.52E+06 2.41E+06 1.60E+06 1.03E+06 6.44E+05 3.90E+05 2.29E+05 1.31E+05 7.24E+04 3.90E+04 2.04E+04 1.03E+04 5.09E+03 2.44E+03 1.14E+03
  15.00  1.032  8.91E+08 4.90E+08 7.52E+09 6.54E+06 1.91E+07 3.02E+07 3.90E+07 4.50E+07 4.82E+07 4.85E+07 4.64E+07 4.24E+07 3.73E+07 3.15E+07 2.57E+07 2.03E+07 1.55E+07 1.14E+07 8.17E+06 5.67E+06 3.82E+06 2.49E+06 1.58E+06 9.73E+05 5.82E+05 3.38E+05 1.91E+05 1.05E+05 5.58E+04 2.89E+04 1.46E+04 7.14E+03 3.40E+03
  16.00  1.066  1.93E+09 1.04E+09 1.61E+10 1.35E+07 3.94E+07 6.23E+07 8.06E+07 9.34E+07 1.00E+08 1.01E+08 9.75E+07 8.97E+07 7.94E+07 6.76E+07 5.56E+07 4.42E+07 3.41E+07 2.54E+07 1.84E+07 1.29E+07 8.80E+06 5.83E+06 3.75E+06 2.34E+06 1.42E+06 8.39E+05 4.82E+05 2.69E+05 1.46E+05 7.72E+04 3.97E+04 1.99E+04 9.66E+03
  17.00  1.099  4.08E+09 2.15E+09 3.39E+10 2.72E+07 7.95E+07 1.26E+08 1.63E+08 1.90E+08 2.04E+08 2.08E+08 2.01E+08 1.86E+08 1.65E+08 1.42E+08 1.17E+08 9.42E+07 7.32E+07 5.51E+07 4.03E+07 2.86E+07 1.97E+07 1.32E+07 8.60E+06 5.45E+06 3.36E+06 2.01E+06 1.17E+06 6.66E+05 3.68E+05 1.98E+05 1.04E+05 5.28E+04 2.62E+04
  18.00  1.131  8.46E+09 4.37E+09 6.98E+10 5.39E+07 1.58E+08 2.50E+08 3.25E+08 3.79E+08 4.09E+08 4.17E+08 4.05E+08 3.76E+08 3.37E+08 2.91E+08 2.43E+08 1.96E+08 1.54E+08 1.17E+08 8.61E+07 6.17E+07 4.30E+07 2.91E+07 1.92E+07 1.23E+07 7.69E+06 4.67E+06 2.76E+06 1.59E+06 8.93E+05 4.88E+05 2.60E+05 1.35E+05 6.82E+04
  19.00  1.162  1.72E+10 8.73E+09 1.41E+11 1.05E+08 3.08E+08 4.88E+08 6.36E+08 7.43E+08 8.04E+08 8.22E+08 8.02E+08 7.49E+08 6.74E+08 5.85E+08 4.91E+08 4.00E+08 3.15E+08 2.42E+08 1.80E+08 1.30E+08 9.16E+07 6.27E+07 4.18E+07 2.71E+07 1.71E+07 1.05E+07 6.32E+06 3.69E+06 2.10E+06 1.17E+06 6.31E+05 3.33E+05 1.71E+05
  20.00  1.192  3.43E+10 1.71E+10 2.80E+11 2.02E+08 5.90E+08 9.39E+08 1.22E+09 1.43E+09 1.56E+09 1.60E+09 1.56E+09 1.47E+09 1.32E+09 1.16E+09 9.77E+08 8.00E+08 6.36E+08 4.91E+08 3.68E+08 2.69E+08 1.91E+08 1.32E+08 8.88E+07 5.82E+07 3.72E+07 2.32E+07 1.41E+07 8.33E+06 4.80E+06 2.70E+06 1.48E+06 7.94E+05 4.15E+05
  22.50  1.264  2.51E+11 8.66E+10 1.45E+12 9.67E+08 2.84E+09 4.52E+09 5.92E+09 6.96E+09 7.60E+09 7.85E+09 7.75E+09 7.34E+09 6.71E+09 5.92E+09 5.07E+09 4.21E+09 3.40E+09 2.67E+09 2.04E+09 1.52E+09 1.10E+09 7.77E+08 5.35E+08 3.59E+08 2.35E+08 1.51E+08 9.39E+07 5.72E+07 3.40E+07 1.97E+07 1.12E+07 6.19E+06 3.35E+06
  25.00  1.333  1.26E+12 4.03E+11 6.92E+12 4.30E+09 1.26E+10 2.02E+10 2.65E+10 3.13E+10 3.43E+10 3.57E+10 3.55E+10 3.39E+10 3.12E+10 2.79E+10 2.41E+10 2.03E+10 1.66E+10 1.32E+10 1.03E+10 7.75E+09 5.72E+09 4.11E+09 2.89E+09 1.98E+09 1.33E+09 8.67E+08 5.54E+08 3.46E+08 2.11E+08 1.26E+08 7.33E+07 4.17E+07 2.32E+07
  30.00  1.460  3.72E+13 7.18E+12 1.28E+14 7.05E+10 2.07E+11 3.32E+11 4.39E+11 5.21E+11 5.77E+11 6.06E+11 6.09E+11 5.90E+11 5.52E+11 5.01E+11 4.42E+11 3.79E+11 3.17E+11 2.59E+11 2.06E+11 1.60E+11 1.21E+11 8.99E+10 6.52E+10 4.62E+10 3.20E+10 2.17E+10 1.44E+10 9.37E+09 5.96E+09 3.71E+09 2.26E+09 1.35E+09 7.90E+08
  40.00  1.686  1.26E+16 1.26E+15 2.40E+16 1.09E+13 3.21E+13 5.16E+13 6.86E+13 8.23E+13 9.23E+13 9.83E+13 1.01E+14 9.92E+13 9.49E+13 8.82E+13 7.99E+13 7.06E+13 6.09E+13 5.13E+13 4.23E+13 3.42E+13 2.70E+13 2.09E+13 1.59E+13 1.18E+13 8.61E+12 6.16E+12 4.32E+12 2.98E+12 2.01E+12 1.33E+12 8.67E+11 5.54E+11 3.47E+11
  50.00  1.885  1.28E+18 1.27E+17 2.55E+18 9.90E+14 2.93E+15 4.73E+15 6.31E+15 7.63E+15 8.62E+15 9.28E+15 9.60E+15 9.60E+15 9.32E+15 8.82E+15 8.13E+15 7.33E+15 6.46E+15 5.58E+15 4.72E+15 3.92E+15 3.19E+15 2.54E+15 1.99E+15 1.53E+15 1.16E+15 8.60E+14 6.28E+14 4.50E+14 3.17E+14 2.20E+14 1.50E+14 1.00E+14 6.59E+13
  60.00  2.064  8.77E+19 8.64E+18 1.81E+20 6.18E+16 1.83E+17 2.96E+17 3.97E+17 4.82E+17 5.48E+17 5.95E+17 6.21E+17 6.27E+17 6.16E+17 5.90E+17 5.52E+17 5.05E+17 4.53E+17 3.98E+17 3.43E+17 2.90E+17 2.41E+17 1.97E+17 1.58E+17 1.25E+17 9.70E+16 7.41E+16 5.56E+16 4.11E+16 2.99E+16 2.14E+16 1.51E+16 1.05E+16 7.15E+15
  70.00  2.230  4.42E+21 4.33E+20 9.41E+21 2.88E+18 8.54E+18 1.39E+19 1.86E+19 2.27E+19 2.60E+19 2.83E+19 2.98E+19 3.03E+19 3.01E+19 2.91E+19 2.75E+19 2.55E+19 2.31E+19 2.06E+19 1.81E+19 1.55E+19 1.31E+19 1.09E+19 8.94E+18 7.20E+18 5.70E+18 4.45E+18 3.42E+18 2.59E+18 1.93E+18 1.42E+18 1.03E+18 7.34E+17 5.16E+17
  80.00  2.384  1.75E+23 1.70E+22 3.82E+23 1.06E+20 3.15E+20 5.12E+20 6.91E+20 8.45E+20 9.70E+20 1.06E+21 1.12E+21 1.15E+21 1.15E+21 1.12E+21 1.07E+21 1.00E+21 9.20E+20 8.29E+20 7.35E+20 6.40E+20 5.49E+20 4.63E+20 3.85E+20 3.15E+20 2.54E+20 2.02E+20 1.58E+20 1.22E+20 9.30E+19 6.98E+19 5.17E+19 3.77E+19 2.72E+19
  90.00  2.528  5.64E+24 5.47E+23 1.26E+25 3.23E+21 9.57E+21 1.56E+22 2.11E+22 2.58E+22 2.97E+22 3.27E+22 3.48E+22 3.59E+22 3.60E+22 3.54E+22 3.40E+22 3.21E+22 2.97E+22 2.70E+22 2.42E+22 2.13E+22 1.85E+22 1.58E+22 1.33E+22 1.10E+22 9.04E+21 7.29E+21 5.80E+21 4.55E+21 3.53E+21 2.69E+21 2.03E+21 1.51E+21 1.11E+21
 100.00  2.665  1.54E+26 1.48E+25 3.50E+26 8.31E+22 2.46E+23 4.02E+23 5.44E+23 6.68E+23 7.72E+23 8.53E+23 9.09E+23 9.42E+23 9.51E+23 9.40E+23 9.10E+23 8.64E+23 8.06E+23 7.40E+23 6.68E+23 5.94E+23 5.20E+23 4.49E+23 3.82E+23 3.21E+23 2.66E+23 2.17E+23 1.75E+23 1.39E+23 1.10E+23 8.50E+22 6.51E+22 4.93E+22 3.68E+22
 110.00  2.795  3.61E+27 3.45E+26 8.35E+27 1.85E+24 5.50E+24 8.96E+24 1.22E+25 1.50E+25 1.73E+25 1.92E+25 2.06E+25 2.14E+25 2.17E+25 2.15E+25 2.10E+25 2.00E+25 1.88E+25 1.74E+25 1.58E+25 1.42E+25 1.25E+25 1.09E+25 9.38E+24 7.96E+24 6.66E+24 5.50E+24 4.49E+24 3.62E+24 2.88E+24 2.26E+24 1.76E+24 1.35E+24 1.02E+24
 120.00  2.920  7.44E+28 7.08E+27 1.75E+29 3.64E+25 1.08E+26 1.77E+26 2.40E+26 2.96E+26 3.43E+26 3.81E+26 4.09E+26 4.27E+26 4.35E+26 4.34E+26 4.24E+26 4.08E+26 3.85E+26 3.58E+26 3.28E+26 2.96E+26 2.64E+26 2.31E+26 2.01E+26 1.72E+26 1.45E+26 1.21E+26 9.97E+25 8.12E+25 6.53E+25 5.19E+25 4.08E+25 3.17E+25 2.43E+25
 130.00  3.039  1.37E+30 1.29E+29 3.26E+30 6.41E+26 1.90E+27 3.11E+27 4.23E+27 5.22E+27 6.07E+27 6.76E+27 7.28E+27 7.62E+27 7.79E+27 7.80E+27 7.66E+27 7.39E+27 7.02E+27 6.56E+27 6.05E+27 5.49E+27 4.92E+27 4.35E+27 3.80E+27 3.28E+27 2.79E+27 2.35E+27 1.95E+27 1.61E+27 1.31E+27 1.05E+27 8.33E+26 6.54E+26 5.08E+26
 140.00  3.153  2.27E+31 2.14E+30 5.47E+31 1.02E+28 3.03E+28 4.96E+28 6.74E+28 8.35E+28 9.73E+28 1.09E+29 1.17E+29 1.23E+29 1.26E+29 1.27E+29 1.25E+29 1.21E+29 1.15E+29 1.08E+29 1.00E+29 9.18E+28 8.27E+28 7.36E+28 6.47E+28 5.62E+28 4.82E+28 4.09E+28 3.43E+28 2.84E+28 2.33E+28 1.89E+28 1.51E+28 1.20E+28 9.42E+27
