                    ************************************************************************************************
                    *  Z= 40 A= 91: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 91 and ldmodel= 1  *
 170.00  4.027  4.18E+33 3.87E+32 9.57E+33 3.94E+30 7.76E+30 1.14E+31 1.46E+31 1.74E+31 1.98E+31 2.16E+31 2.28E+31 2.35E+31 2.37E+31 2.34E+31 2.27E+31 2.17E+31 2.03E+31 1.88E+31 1.71E+31 1.53E+31 1.36E+31 1.18E+31 1.02E+31 8.68E+30 7.30E+30 6.06E+30 4.97E+30 4.03E+30 3.22E+30 2.55E+30 2.00E+30 1.54E+30 1.18E+30
 180.00  4.144  5.12E+34 4.70E+33 1.18E+35 4.66E+31 9.18E+31 1.34E+32 1.73E+32 2.07E+32 2.35E+32 2.57E+32 2.72E+32 2.81E+32 2.85E+32 2.82E+32 2.74E+32 2.62E+32 2.47E+32 2.29E+32 2.09E+32 1.89E+32 1.68E+32 1.47E+32 1.28E+32 1.09E+32 9.25E+31 7.73E+31 6.39E+31 5.21E+31 4.20E+31 3.35E+31 2.64E+31 2.06E+31 1.59E+31
 190.00  4.258  5.86E+35 5.35E+34 1.36E+36 5.15E+32 1.02E+33 1.49E+33 1.92E+33 2.29E+33 2.61E+33 2.86E+33 3.04E+33 3.15E+33 3.19E+33 3.17E+33 3.09E+33 2.97E+33 2.81E+33 2.61E+33 2.40E+33 2.17E+33 1.94E+33 1.71E+33 1.49E+33 1.28E+33 1.09E+33 9.19E+32 7.63E+32 6.27E+32 5.10E+32 4.09E+32 3.25E+32 2.56E+32 1.99E+32
 200.00  4.368  6.30E+36 5.71E+35 1.47E+37 5.37E+33 1.06E+34 1.55E+34 2.00E+34 2.40E+34 2.73E+34 3.00E+34 3.19E+34 3.31E+34 3.36E+34 3.35E+34 3.28E+34 3.16E+34 2.99E+34 2.80E+34 2.58E+34 2.34E+34 2.10E+34 1.87E+34 1.63E+34 1.41E+34 1.21E+34 1.02E+34 8.54E+33 7.06E+33 5.77E+33 4.67E+33 3.73E+33 2.95E+33 2.31E+33

                    ************************************************************************************************
                    *  Z= 40 A= 91: Negative-Parity Spin-dependent Level Density [MeV-1] for Zr 91 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.154  2.39E-01 9.54E-01 7.32E+00 9.66E-02 1.65E-01 1.89E-01 1.73E-01 1.34E-01 8.95E-02 5.22E-02 2.68E-02 1.22E-02 4.90E-03 1.76E-03 5.62E-04 1.60E-04 4.09E-05 9.31E-06 1.90E-06 3.47E-07 5.67E-08 8.31E-09 1.09E-09 1.28E-10 1.36E-11 1.28E-12 1.09E-13 8.31E-15 5.68E-16 3.49E-17 1.92E-18 9.50E-20 4.22E-21
   0.50  0.218  5.58E-01 1.28E+00 9.79E+00 1.29E-01 2.20E-01 2.53E-01 2.32E-01 1.79E-01 1.20E-01 6.98E-02 3.58E-02 1.63E-02 6.55E-03 2.35E-03 7.51E-04 2.14E-04 5.46E-05 1.25E-05 2.54E-06 4.64E-07 7.58E-08 1.11E-08 1.46E-09 1.72E-10 1.81E-11 1.72E-12 1.46E-13 1.11E-14 7.60E-16 4.66E-17 2.57E-18 1.27E-19 5.64E-21
   0.75  0.267  9.84E-01 1.71E+00 1.31E+01 1.73E-01 2.94E-01 3.38E-01 3.10E-01 2.40E-01 1.60E-01 9.33E-02 4.79E-02 2.17E-02 8.76E-03 3.14E-03 1.00E-03 2.87E-04 7.31E-05 1.67E-05 3.40E-06 6.20E-07 1.01E-07 1.49E-08 1.95E-09 2.30E-10 2.42E-11 2.30E-12 1.95E-13 1.49E-14 1.02E-15 6.24E-17 3.44E-18 1.70E-19 7.54E-21
   1.00  0.309  1.55E+00 2.28E+00 1.75E+01 2.31E-01 3.94E-01 4.52E-01 4.15E-01 3.21E-01 2.14E-01 1.25E-01 6.40E-02 2.91E-02 1.17E-02 4.20E-03 1.34E-03 3.83E-04 9.77E-05 2.23E-05 4.54E-06 8.29E-07 1.36E-07 1.99E-08 2.61E-09 3.07E-10 3.24E-11 3.07E-12 2.61E-13 1.99E-14 1.36E-15 8.34E-17 4.59E-18 2.27E-19 1.01E-20
   1.25  0.345  2.32E+00 3.05E+00 2.34E+01 3.09E-01 5.26E-01 6.05E-01 5.55E-01 4.29E-01 2.86E-01 1.67E-01 8.56E-02 3.89E-02 1.57E-02 5.62E-03 1.80E-03 5.13E-04 1.31E-04 2.98E-05 6.07E-06 1.11E-06 1.81E-07 2.66E-08 3.49E-09 4.11E-10 4.34E-11 4.11E-12 3.49E-13 2.66E-14 1.82E-15 1.12E-16 6.14E-18 3.04E-19 1.35E-20
   1.50  0.378  3.34E+00 4.08E+00 3.13E+01 4.13E-01 7.04E-01 8.09E-01 7.42E-01 5.74E-01 3.83E-01 2.23E-01 1.15E-01 5.20E-02 2.10E-02 7.52E-03 2.40E-03 6.86E-04 1.75E-04 3.98E-05 8.12E-06 1.48E-06 2.43E-07 3.55E-08 4.67E-09 5.49E-10 5.80E-11 5.49E-12 4.67E-13 3.56E-14 2.43E-15 1.49E-16 8.22E-18 4.06E-19 1.80E-20
   1.75  0.409  4.70E+00 5.46E+00 4.19E+01 5.52E-01 9.41E-01 1.08E+00 9.92E-01 7.67E-01 5.12E-01 2.98E-01 1.53E-01 6.95E-02 2.80E-02 1.01E-02 3.21E-03 9.17E-04 2.34E-04 5.33E-05 1.09E-05 1.98E-06 3.24E-07 4.75E-08 6.24E-09 7.35E-10 7.76E-11 7.34E-12 6.24E-13 4.75E-14 3.25E-15 2.00E-16 1.10E-17 5.43E-19 2.41E-20
   2.00  0.437  6.53E+00 7.30E+00 5.60E+01 7.39E-01 1.26E+00 1.45E+00 1.33E+00 1.03E+00 6.85E-01 3.99E-01 2.05E-01 9.30E-02 3.75E-02 1.34E-02 4.30E-03 1.23E-03 3.13E-04 7.12E-05 1.45E-05 2.65E-06 4.34E-07 6.36E-08 8.35E-09 9.83E-10 1.04E-10 9.82E-12 8.34E-13 6.36E-14 4.35E-15 2.67E-16 1.47E-17 7.27E-19 3.23E-20
   2.25  0.463  8.97E+00 9.76E+00 7.49E+01 9.88E-01 1.68E+00 1.93E+00 1.77E+00 1.37E+00 9.16E-01 5.34E-01 2.74E-01 1.24E-01 5.01E-02 1.80E-02 5.75E-03 1.64E-03 4.18E-04 9.53E-05 1.94E-05 3.55E-06 5.80E-07 8.50E-08 1.12E-08 1.31E-09 1.39E-10 1.31E-11 1.12E-12 8.50E-14 5.81E-15 3.57E-16 1.97E-17 9.72E-19 4.31E-20
   2.50  0.488  1.22E+01 1.31E+01 1.00E+02 1.32E+00 2.25E+00 2.59E+00 2.37E+00 1.84E+00 1.22E+00 7.14E-01 3.66E-01 1.66E-01 6.71E-02 2.40E-02 7.69E-03 2.19E-03 5.59E-04 1.27E-04 2.60E-05 4.74E-06 7.76E-07 1.14E-07 1.49E-08 1.76E-09 1.86E-10 1.76E-11 1.49E-12 1.14E-13 7.78E-15 4.77E-16 2.63E-17 1.30E-18 5.77E-20
   2.75  0.512  1.66E+01 1.75E+01 1.35E+02 1.74E+00 2.97E+00 3.43E+00 3.17E+00 2.47E+00 1.66E+00 9.79E-01 5.09E-01 2.35E-01 9.61E-02 3.51E-02 1.14E-02 3.33E-03 8.69E-04 2.03E-04 4.25E-05 7.98E-06 1.34E-06 2.03E-07 2.76E-08 3.36E-09 3.68E-10 3.62E-11 3.20E-12 2.54E-13 1.82E-14 1.17E-15 6.73E-17 3.49E-18 1.63E-19
   3.00  0.535  2.24E+01 2.34E+01 1.85E+02 2.23E+00 3.83E+00 4.47E+00 4.20E+00 3.34E+00 2.31E+00 1.41E+00 7.59E-01 3.64E-01 1.56E-01 6.00E-02 2.07E-02 6.41E-03 1.78E-03 4.47E-04 1.01E-04 2.05E-05 3.77E-06 6.23E-07 9.30E-08 1.25E-08 1.52E-09 1.67E-10 1.66E-11 1.48E-12 1.20E-13 8.75E-15 5.77E-16 3.44E-17 1.85E-18
   3.25  0.557  3.02E+01 3.12E+01 2.53E+02 2.85E+00 4.94E+00 5.83E+00 5.56E+00 4.52E+00 3.20E+00 2.00E+00 1.12E+00 5.57E-01 2.49E-01 1.00E-01 3.64E-02 1.19E-02 3.52E-03 9.42E-04 2.28E-04 4.98E-05 9.88E-06 1.77E-06 2.89E-07 4.26E-08 5.69E-09 6.90E-10 7.59E-11 7.57E-12 6.85E-13 5.63E-14 4.20E-15 2.84E-16 1.74E-17
   3.50  0.578  4.07E+01 4.18E+01 3.46E+02 3.66E+00 6.38E+00 7.61E+00 7.36E+00 6.09E+00 4.41E+00 2.84E+00 1.63E+00 8.41E-01 3.91E-01 1.64E-01 6.24E-02 2.15E-02 6.71E-03 1.90E-03 4.90E-04 1.15E-04 2.44E-05 4.73E-06 8.32E-07 1.33E-07 1.95E-08 2.59E-09 3.13E-10 3.45E-11 3.46E-12 3.16E-13 2.64E-14 2.00E-15 1.38E-16
   3.75  0.598  5.47E+01 5.59E+01 4.72E+02 4.70E+00 8.24E+00 9.92E+00 9.72E+00 8.18E+00 6.05E+00 3.99E+00 2.36E+00 1.25E+00 6.04E-01 2.64E-01 1.05E-01 3.78E-02 1.24E-02 3.71E-03 1.01E-03 2.52E-04 5.73E-05 1.19E-05 2.25E-06 3.89E-07 6.15E-08 8.89E-09 1.17E-09 1.42E-10 1.56E-11 1.58E-12 1.46E-13 1.23E-14 9.51E-16
   4.00  0.618  7.33E+01 7.47E+01 6.44E+02 6.05E+00 1.07E+01 1.30E+01 1.28E+01 1.10E+01 8.27E+00 5.57E+00 3.38E+00 1.85E+00 9.22E-01 4.18E-01 1.72E-01 6.49E-02 2.23E-02 7.03E-03 2.02E-03 5.33E-04 1.28E-04 2.84E-05 5.75E-06 1.07E-06 1.82E-07 2.84E-08 4.06E-09 5.33E-10 6.42E-11 7.10E-12 7.21E-13 6.71E-14 5.74E-15
   4.25  0.637  9.83E+01 9.99E+01 8.78E+02 7.80E+00 1.38E+01 1.69E+01 1.70E+01 1.47E+01 1.13E+01 7.75E+00 4.81E+00 2.71E+00 1.39E+00 6.52E-01 2.79E-01 1.09E-01 3.93E-02 1.29E-02 3.91E-03 1.09E-03 2.77E-04 6.49E-05 1.40E-05 2.77E-06 5.05E-07 8.46E-08 1.30E-08 1.85E-09 2.42E-10 2.91E-11 3.22E-12 3.29E-13 3.09E-14
   4.50  0.655  1.32E+02 1.34E+02 1.20E+03 1.01E+01 1.79E+01 2.21E+01 2.24E+01 1.97E+01 1.53E+01 1.07E+01 6.82E+00 3.94E+00 2.08E+00 1.00E+00 4.45E-01 1.81E-01 6.75E-02 2.32E-02 7.35E-03 2.14E-03 5.75E-04 1.42E-04 3.25E-05 6.84E-06 1.33E-06 2.38E-07 3.93E-08 6.00E-09 8.45E-10 1.10E-10 1.32E-11 1.46E-12 1.50E-13
   4.75  0.673  1.76E+02 1.79E+02 1.63E+03 1.30E+01 2.32E+01 2.89E+01 2.95E+01 2.63E+01 2.08E+01 1.48E+01 9.61E+00 5.68E+00 3.08E+00 1.53E+00 6.99E-01 2.94E-01 1.14E-01 4.08E-02 1.35E-02 4.11E-03 1.16E-03 3.01E-04 7.25E-05 1.61E-05 3.33E-06 6.34E-07 1.12E-07 1.82E-08 2.75E-09 3.85E-10 4.99E-11 5.98E-12 6.64E-13
   5.00  0.691  2.36E+02 2.39E+02 2.22E+03 1.68E+01 3.02E+01 3.77E+01 3.89E+01 3.50E+01 2.81E+01 2.04E+01 1.35E+01 8.14E+00 4.52E+00 2.31E+00 1.09E+00 4.72E-01 1.89E-01 7.03E-02 2.41E-02 7.68E-03 2.26E-03 6.17E-04 1.56E-04 3.67E-05 7.98E-06 1.61E-06 3.01E-07 5.24E-08 8.45E-09 1.26E-09 1.76E-10 2.26E-11 2.71E-12
   5.50  0.724  4.50E+02 4.27E+02 4.09E+03 2.83E+01 5.10E+01 6.45E+01 6.77E+01 6.22E+01 5.12E+01 3.83E+01 2.62E+01 1.65E+01 9.54E+00 5.11E+00 2.54E+00 1.17E+00 4.99E-01 1.98E-01 7.31E-02 2.51E-02 8.02E-03 2.38E-03 6.60E-04 1.70E-04 4.09E-05 9.17E-06 1.91E-06 3.73E-07 6.76E-08 1.14E-08 1.80E-09 2.65E-10 3.64E-11
   6.00  0.757  8.32E+02 7.64E+02 7.55E+03 4.77E+01 8.66E+01 1.11E+02 1.18E+02 1.10E+02 9.27E+01 7.11E+01 5.02E+01 3.26E+01 1.97E+01 1.10E+01 5.72E+00 2.77E+00 1.25E+00 5.27E-01 2.07E-01 7.61E-02 2.61E-02 8.37E-03 2.51E-03 7.04E-04 1.85E-04 4.53E-05 1.04E-05 2.24E-06 4.51E-07 8.50E-08 1.50E-08 2.48E-09 3.84E-10
   6.50  0.787  1.52E+03 1.37E+03 1.39E+04 8.07E+01 1.47E+02 1.90E+02 2.04E+02 1.94E+02 1.67E+02 1.31E+02 9.50E+01 6.37E+01 3.97E+01 2.31E+01 1.25E+01 6.32E+00 3.00E+00 1.33E+00 5.52E-01 2.15E-01 7.84E-02 2.69E-02 8.63E-03 2.60E-03 7.37E-04 1.96E-04 4.90E-05 1.15E-05 2.53E-06 5.24E-07 1.02E-07 1.86E-08 3.21E-09
   7.00  0.817  2.72E+03 2.42E+03 2.51E+04 1.36E+02 2.50E+02 3.24E+02 3.53E+02 3.39E+02 2.96E+02 2.37E+02 1.75E+02 1.20E+02 7.69E+01 4.60E+01 2.57E+01 1.35E+01 6.63E+00 3.06E+00 1.33E+00 5.41E-01 2.07E-01 7.47E-02 2.54E-02 8.09E-03 2.43E-03 6.89E-04 1.84E-04 4.61E-05 1.09E-05 2.43E-06 5.10E-07 1.01E-07 1.88E-08
   7.50  0.846  4.82E+03 4.20E+03 4.46E+04 2.27E+02 4.18E+02 5.45E+02 5.98E+02 5.82E+02 5.15E+02 4.18E+02 3.15E+02 2.21E+02 1.45E+02 8.87E+01 5.10E+01 2.76E+01 1.40E+01 6.70E+00 3.02E+00 1.28E+00 5.12E-01 1.93E-01 6.87E-02 2.30E-02 7.30E-03 2.18E-03 6.16E-04 1.64E-04 4.13E-05 9.82E-06 2.21E-06 4.68E-07 9.38E-08
   8.00  0.874  8.41E+03 7.18E+03 7.78E+04 3.74E+02 6.90E+02 9.05E+02 1.00E+03 9.84E+02 8.80E+02 7.25E+02 5.55E+02 3.96E+02 2.65E+02 1.66E+02 9.80E+01 5.44E+01 2.85E+01 1.40E+01 6.54E+00 2.87E+00 1.19E+00 4.69E-01 1.74E-01 6.10E-02 2.02E-02 6.35E-03 1.89E-03 5.30E-04 1.41E-04 3.55E-05 8.45E-06 1.91E-06 4.07E-07
   8.50  0.901  1.45E+04 1.21E+04 1.34E+05 6.08E+02 1.13E+03 1.48E+03 1.65E+03 1.64E+03 1.48E+03 1.24E+03 9.59E+02 6.96E+02 4.74E+02 3.04E+02 1.83E+02 1.04E+02 5.59E+01 2.84E+01 1.36E+01 6.18E+00 2.65E+00 1.08E+00 4.16E-01 1.52E-01 5.25E-02 1.72E-02 5.35E-03 1.58E-03 4.40E-04 1.17E-04 2.93E-05 6.98E-06 1.58E-06
   9.00  0.927  2.45E+04 2.02E+04 2.26E+05 9.79E+02 1.82E+03 2.41E+03 2.70E+03 2.69E+03 2.46E+03 2.07E+03 1.63E+03 1.20E+03 8.32E+02 5.43E+02 3.34E+02 1.94E+02 1.07E+02 5.55E+01 2.74E+01 1.28E+01 5.66E+00 2.38E+00 9.48E-01 3.58E-01 1.29E-01 4.39E-02 1.42E-02 4.37E-03 1.27E-03 3.54E-04 9.32E-05 2.34E-05 5.56E-06
   9.50  0.952  4.11E+04 3.32E+04 3.78E+05 1.56E+03 2.90E+03 3.86E+03 4.35E+03 4.37E+03 4.03E+03 3.43E+03 2.73E+03 2.04E+03 1.43E+03 9.51E+02 5.96E+02 3.53E+02 1.98E+02 1.06E+02 5.33E+01 2.56E+01 1.16E+01 5.04E+00 2.07E+00 8.09E-01 3.00E-01 1.06E-01 3.56E-02 1.14E-02 3.46E-03 1.00E-03 2.76E-04 7.23E-05 1.80E-05
  10.00  0.977  6.81E+04 5.39E+04 6.25E+05 2.46E+03 4.60E+03 6.13E+03 6.94E+03 7.03E+03 6.52E+03 5.61E+03 4.52E+03 3.41E+03 2.43E+03 1.64E+03 1.04E+03 6.30E+02 3.60E+02 1.96E+02 1.01E+02 4.97E+01 2.32E+01 1.03E+01 4.36E+00 1.75E+00 6.72E-01 2.45E-01 8.52E-02 2.82E-02 8.90E-03 2.68E-03 7.66E-04 2.09E-04 5.44E-05
  11.00  1.024  2.07E+05 1.38E+05 1.65E+06 5.99E+03 1.12E+04 1.51E+04 1.72E+04 1.76E+04 1.66E+04 1.45E+04 1.19E+04 9.19E+03 6.71E+03 4.64E+03 3.04E+03 1.89E+03 1.12E+03 6.33E+02 3.40E+02 1.74E+02 8.51E+01 3.96E+01 1.76E+01 7.46E+00 3.02E+00 1.17E+00 4.30E-01 1.52E-01 5.10E-02 1.64E-02 5.04E-03 1.48E-03 4.15E-04
  12.00  1.070  5.49E+05 3.43E+05 4.19E+06 1.41E+04 2.65E+04 3.58E+04 4.12E+04 4.26E+04 4.06E+04 3.60E+04 3.00E+04 2.36E+04 1.76E+04 1.24E+04 8.37E+03 5.36E+03 3.27E+03 1.90E+03 1.06E+03 5.62E+02 2.85E+02 1.38E+02 6.40E+01 2.84E+01 1.20E+01 4.89E+00 1.90E+00 7.05E-01 2.51E-01 8.55E-02 2.79E-02 8.71E-03 2.60E-03
  13.00  1.114  1.37E+06 8.21E+05 1.03E+07 3.23E+04 6.09E+04 8.26E+04 9.57E+04 9.98E+04 9.61E+04 8.63E+04 7.30E+04 5.84E+04 4.43E+04 3.19E+04 2.20E+04 1.44E+04 9.01E+03 5.39E+03 3.09E+03 1.69E+03 8.86E+02 4.45E+02 2.14E+02 9.86E+01 4.36E+01 1.84E+01 7.49E+00 2.92E+00 1.09E+00 3.90E-01 1.34E-01 4.42E-02 1.40E-02
  14.00  1.156  3.28E+06 1.91E+06 2.44E+07 7.22E+04 1.36E+05 1.86E+05 2.16E+05 2.28E+05 2.21E+05 2.01E+05 1.72E+05 1.39E+05 1.07E+05 7.89E+04 5.53E+04 3.70E+04 2.37E+04 1.45E+04 8.53E+03 4.80E+03 2.59E+03 1.34E+03 6.66E+02 3.18E+02 1.46E+02 6.40E+01 2.70E+01 1.10E+01 4.27E+00 1.60E+00 5.75E-01 1.99E-01 6.60E-02
  15.00  1.196  7.62E+06 4.34E+06 5.65E+07 1.58E+05 2.98E+05 4.08E+05 4.78E+05 5.06E+05 4.95E+05 4.54E+05 3.93E+05 3.23E+05 2.52E+05 1.88E+05 1.34E+05 9.14E+04 5.97E+04 3.74E+04 2.25E+04 1.30E+04 7.18E+03 3.82E+03 1.95E+03 9.61E+02 4.54E+02 2.06E+02 9.02E+01 3.79E+01 1.53E+01 5.97E+00 2.24E+00 8.07E-01 2.80E-01
  16.00  1.236  1.72E+07 9.61E+06 1.28E+08 3.37E+05 6.39E+05 8.77E+05 1.03E+06 1.10E+06 1.08E+06 1.00E+06 8.76E+05 7.28E+05 5.76E+05 4.35E+05 3.15E+05 2.18E+05 1.45E+05 9.28E+04 5.69E+04 3.35E+04 1.90E+04 1.04E+04 5.44E+03 2.75E+03 1.34E+03 6.26E+02 2.82E+02 1.23E+02 5.13E+01 2.07E+01 8.03E+00 3.01E+00 1.09E+00
  17.00  1.274  3.81E+07 2.08E+07 2.81E+08 7.07E+05 1.34E+06 1.85E+06 2.18E+06 2.34E+06 2.32E+06 2.16E+06 1.91E+06 1.60E+06 1.28E+06 9.81E+05 7.19E+05 5.06E+05 3.42E+05 2.22E+05 1.39E+05 8.35E+04 4.83E+04 2.70E+04 1.45E+04 7.49E+03 3.74E+03 1.80E+03 8.34E+02 3.73E+02 1.61E+02 6.70E+01 2.69E+01 1.04E+01 3.89E+00
  18.00  1.310  8.24E+07 4.43E+07 6.07E+08 1.46E+06 2.77E+06 3.82E+06 4.53E+06 4.87E+06 4.87E+06 4.57E+06 4.06E+06 3.44E+06 2.78E+06 2.16E+06 1.60E+06 1.14E+06 7.83E+05 5.17E+05 3.28E+05 2.01E+05 1.19E+05 6.75E+04 3.70E+04 1.96E+04 1.00E+04 4.93E+03 2.35E+03 1.08E+03 4.78E+02 2.05E+02 8.47E+01 3.38E+01 1.31E+01
  19.00  1.346  1.75E+08 9.24E+07 1.29E+09 2.95E+06 5.62E+06 7.77E+06 9.25E+06 9.99E+06 1.00E+07 9.47E+06 8.49E+06 7.25E+06 5.92E+06 4.63E+06 3.48E+06 2.51E+06 1.75E+06 1.17E+06 7.55E+05 4.70E+05 2.82E+05 1.63E+05 9.13E+04 4.93E+04 2.57E+04 1.30E+04 6.32E+03 2.97E+03 1.35E+03 5.94E+02 2.53E+02 1.04E+02 4.13E+01
  20.00  1.381  3.64E+08 1.89E+08 2.67E+09 5.88E+06 1.12E+07 1.55E+07 1.86E+07 2.01E+07 2.03E+07 1.93E+07 1.74E+07 1.50E+07 1.23E+07 9.75E+06 7.41E+06 5.41E+06 3.81E+06 2.58E+06 1.69E+06 1.07E+06 6.51E+05 3.84E+05 2.18E+05 1.20E+05 6.39E+04 3.29E+04 1.64E+04 7.87E+03 3.66E+03 1.65E+03 7.19E+02 3.03E+02 1.24E+02
  22.50  1.465  3.03E+09 1.07E+09 1.55E+10 3.10E+07 5.93E+07 8.26E+07 9.94E+07 1.09E+08 1.11E+08 1.07E+08 9.78E+07 8.56E+07 7.18E+07 5.80E+07 4.50E+07 3.37E+07 2.44E+07 1.70E+07 1.15E+07 7.49E+06 4.73E+06 2.89E+06 1.71E+06 9.80E+05 5.44E+05 2.93E+05 1.53E+05 7.71E+04 3.77E+04 1.79E+04 8.24E+03 3.68E+03 1.59E+03
  25.00  1.544  1.68E+10 5.50E+09 8.25E+10 1.51E+08 2.90E+08 4.06E+08 4.91E+08 5.41E+08 5.57E+08 5.42E+08 5.03E+08 4.46E+08 3.80E+08 3.12E+08 2.47E+08 1.89E+08 1.40E+08 9.98E+07 6.91E+07 4.64E+07 3.01E+07 1.90E+07 1.16E+07 6.88E+06 3.96E+06 2.21E+06 1.20E+06 6.30E+05 3.22E+05 1.60E+05 7.69E+04 3.60E+04 1.63E+04
  30.00  1.692  6.08E+11 1.18E+11 1.87E+12 2.95E+09 5.68E+09 8.00E+09 9.76E+09 1.09E+10 1.14E+10 1.13E+10 1.07E+10 9.67E+09 8.45E+09 7.13E+09 5.82E+09 4.60E+09 3.52E+09 2.61E+09 1.89E+09 1.32E+09 8.99E+08 5.94E+08 3.82E+08 2.39E+08 1.46E+08 8.62E+07 4.97E+07 2.79E+07 1.52E+07 8.10E+06 4.19E+06 2.11E+06 1.04E+06
  40.00  1.954  2.86E+14 2.85E+13 4.86E+14 6.11E+11 1.18E+12 1.68E+12 2.08E+12 2.36E+12 2.51E+12 2.54E+12 2.47E+12 2.31E+12 2.09E+12 1.83E+12 1.56E+12 1.29E+12 1.04E+12 8.11E+11 6.18E+11 4.59E+11 3.33E+11 2.36E+11 1.63E+11 1.09E+11 7.20E+10 4.63E+10 2.90E+10 1.78E+10 1.06E+10 6.23E+09 3.56E+09 1.99E+09 1.09E+09
  50.00  2.184  3.70E+16 3.67E+15 6.63E+16 6.99E+13 1.36E+14 1.94E+14 2.42E+14 2.78E+14 3.00E+14 3.08E+14 3.05E+14 2.91E+14 2.70E+14 2.42E+14 2.12E+14 1.81E+14 1.50E+14 1.22E+14 9.62E+13 7.44E+13 5.63E+13 4.16E+13 3.01E+13 2.13E+13 1.47E+13 1.00E+13 6.64E+12 4.32E+12 2.75E+12 1.71E+12 1.05E+12 6.26E+11 3.67E+11
  60.00  2.393  3.04E+18 3.00E+17 5.69E+18 5.20E+15 1.01E+16 1.46E+16 1.83E+16 2.11E+16 2.30E+16 2.39E+16 2.40E+16 2.33E+16 2.19E+16 2.00E+16 1.79E+16 1.56E+16 1.32E+16 1.10E+16 8.95E+15 7.13E+15 5.56E+15 4.24E+15 3.18E+15 2.33E+15 1.68E+15 1.18E+15 8.17E+14 5.55E+14 3.69E+14 2.41E+14 1.55E+14 9.73E+13 6.01E+13
  70.00  2.584  1.77E+20 1.74E+19 3.43E+20 2.78E+17 5.43E+17 7.82E+17 9.86E+17 1.15E+18 1.26E+18 1.32E+18 1.34E+18 1.31E+18 1.25E+18 1.16E+18 1.05E+18 9.32E+17 8.07E+17 6.84E+17 5.68E+17 4.63E+17 3.69E+17 2.89E+17 2.22E+17 1.67E+17 1.24E+17 9.01E+16 6.44E+16 4.51E+16 3.11E+16 2.11E+16 1.40E+16 9.16E+15 5.88E+15
  80.00  2.763  7.82E+21 7.64E+20 1.56E+22 1.14E+19 2.23E+19 3.23E+19 4.08E+19 4.77E+19 5.27E+19 5.57E+19 5.69E+19 5.63E+19 5.42E+19 5.09E+19 4.67E+19 4.19E+19 3.68E+19 3.17E+19 2.68E+19 2.22E+19 1.80E+19 1.44E+19 1.13E+19 8.72E+18 6.60E+18 4.92E+18 3.60E+18 2.59E+18 1.84E+18 1.28E+18 8.77E+17 5.91E+17 3.92E+17
  90.00  2.930  2.76E+23 2.68E+22 5.64E+23 3.78E+20 7.39E+20 1.07E+21 1.36E+21 1.59E+21 1.77E+21 1.88E+21 1.93E+21 1.93E+21 1.87E+21 1.77E+21 1.64E+21 1.49E+21 1.33E+21 1.16E+21 9.91E+20 8.33E+20 6.88E+20 5.59E+20 4.46E+20 3.50E+20 2.70E+20 2.06E+20 1.54E+20 1.13E+20 8.19E+19 5.84E+19 4.10E+19 2.84E+19 1.93E+19
 100.00  3.089  8.07E+24 7.80E+23 1.69E+25 1.04E+22 2.04E+22 2.96E+22 3.76E+22 4.43E+22 4.93E+22 5.28E+22 5.45E+22 5.47E+22 5.35E+22 5.11E+22 4.78E+22 4.38E+22 3.93E+22 3.47E+22 3.00E+22 2.56E+22 2.14E+22 1.76E+22 1.43E+22 1.14E+22 8.92E+21 6.90E+21 5.25E+21 3.93E+21 2.90E+21 2.11E+21 1.51E+21 1.07E+21 7.44E+20
 110.00  3.240  2.01E+26 1.93E+25 4.27E+26 2.45E+23 4.81E+23 6.99E+23 8.91E+23 1.05E+24 1.18E+24 1.26E+24 1.31E+24 1.32E+24 1.30E+24 1.25E+24 1.18E+24 1.09E+24 9.86E+23 8.78E+23 7.68E+23 6.60E+23 5.59E+23 4.66E+23 3.82E+23 3.09E+23 2.46E+23 1.92E+23 1.49E+23 1.13E+23 8.50E+22 6.29E+22 4.58E+22 3.30E+22 2.34E+22
 120.00  3.384  4.35E+27 4.15E+26 9.40E+27 5.05E+24 9.91E+24 1.44E+25 1.84E+25 2.18E+25 2.44E+25 2.63E+25 2.75E+25 2.78E+25 2.75E+25 2.66E+25 2.52E+25 2.35E+25 2.14E+25 1.92E+25 1.70E+25 1.47E+25 1.26E+25 1.06E+25 8.79E+24 7.18E+24 5.78E+24 4.59E+24 3.59E+24 2.77E+24 2.11E+24 1.58E+24 1.17E+24 8.57E+23 6.18E+23
