                    ************************************************************************************************
                    *  Z= 49 A=118: Positive-Parity Spin-dependent Level Density [MeV-1] for In118 and ldmodel= 1  *
 180.00  3.229  2.27E+40 2.13E+39 6.24E+40 7.65E+36 2.28E+37 3.74E+37 5.13E+37 6.41E+37 7.56E+37 8.55E+37 9.38E+37 1.00E+38 1.05E+38 1.08E+38 1.09E+38 1.09E+38 1.07E+38 1.04E+38 1.00E+38 9.49E+37 8.90E+37 8.27E+37 7.60E+37 6.92E+37 6.24E+37 5.57E+37 4.93E+37 4.32E+37 3.76E+37 3.24E+37 2.77E+37 2.35E+37 1.97E+37
 190.00  3.317  3.46E+41 3.24E+40 9.61E+41 1.13E+38 3.38E+38 5.55E+38 7.61E+38 9.51E+38 1.12E+39 1.27E+39 1.40E+39 1.50E+39 1.57E+39 1.62E+39 1.64E+39 1.64E+39 1.62E+39 1.57E+39 1.52E+39 1.44E+39 1.36E+39 1.26E+39 1.17E+39 1.07E+39 9.65E+38 8.66E+38 7.70E+38 6.78E+38 5.92E+38 5.13E+38 4.41E+38 3.75E+38 3.17E+38
 200.00  3.404  4.95E+42 4.60E+41 1.38E+43 1.57E+39 4.68E+39 7.70E+39 1.06E+40 1.32E+40 1.56E+40 1.77E+40 1.95E+40 2.09E+40 2.19E+40 2.27E+40 2.30E+40 2.30E+40 2.28E+40 2.22E+40 2.14E+40 2.05E+40 1.93E+40 1.81E+40 1.67E+40 1.53E+40 1.39E+40 1.25E+40 1.12E+40 9.91E+39 8.69E+39 7.56E+39 6.52E+39 5.58E+39 4.74E+39

                    ************************************************************************************************
                    *  Z= 49 A=118: Negative-Parity Spin-dependent Level Density [MeV-1] for In118 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.120  6.37E-01 2.55E+00 2.04E+01 1.23E-01 3.34E-01 4.58E-01 4.79E-01 4.16E-01 3.12E-01 2.05E-01 1.20E-01 6.20E-02 2.88E-02 1.20E-02 4.48E-03 1.51E-03 4.58E-04 1.25E-04 3.09E-05 6.90E-06 1.39E-06 2.53E-07 4.17E-08 6.22E-09 8.39E-10 1.02E-10 1.13E-11 1.13E-12 1.02E-13 8.39E-15 6.23E-16 4.19E-17 2.55E-18
   0.50  0.170  1.91E+00 5.08E+00 4.07E+01 2.45E-01 6.66E-01 9.13E-01 9.54E-01 8.30E-01 6.22E-01 4.09E-01 2.38E-01 1.24E-01 5.74E-02 2.39E-02 8.93E-03 3.01E-03 9.12E-04 2.50E-04 6.16E-05 1.37E-05 2.77E-06 5.05E-07 8.32E-08 1.24E-08 1.67E-09 2.04E-10 2.25E-11 2.25E-12 2.04E-13 1.67E-14 1.24E-15 8.35E-17 5.09E-18
   0.75  0.208  4.44E+00 1.01E+01 8.23E+01 4.75E-01 1.30E+00 1.79E+00 1.88E+00 1.65E+00 1.26E+00 8.40E-01 4.99E-01 2.65E-01 1.26E-01 5.38E-02 2.07E-02 7.21E-03 2.27E-03 6.45E-04 1.66E-04 3.87E-05 8.16E-06 1.56E-06 2.71E-07 4.27E-08 6.10E-09 7.90E-10 9.29E-11 9.92E-12 9.62E-13 8.47E-14 6.77E-15 4.92E-16 3.24E-17
   1.00  0.241  9.47E+00 2.01E+01 1.70E+02 8.78E-01 2.41E+00 3.37E+00 3.62E+00 3.27E+00 2.57E+00 1.79E+00 1.11E+00 6.23E-01 3.15E-01 1.44E-01 5.97E-02 2.25E-02 7.72E-03 2.41E-03 6.85E-04 1.78E-04 4.21E-05 9.08E-06 1.79E-06 3.22E-07 5.30E-08 7.95E-09 1.09E-09 1.37E-10 1.57E-11 1.64E-12 1.57E-13 1.38E-14 1.10E-15
   1.25  0.269  1.92E+01 3.88E+01 3.46E+02 1.52E+00 4.21E+00 5.98E+00 6.61E+00 6.20E+00 5.10E+00 3.75E+00 2.49E+00 1.50E+00 8.24E-01 4.13E-01 1.90E-01 7.99E-02 3.09E-02 1.10E-02 3.59E-03 1.08E-03 2.99E-04 7.62E-05 1.79E-05 3.87E-06 7.73E-07 1.42E-07 2.42E-08 3.78E-09 5.46E-10 7.27E-11 8.94E-12 1.01E-12 1.06E-13
   1.50  0.295  3.72E+01 7.21E+01 6.73E+02 2.58E+00 7.20E+00 1.04E+01 1.17E+01 1.13E+01 9.60E+00 7.36E+00 5.12E+00 3.26E+00 1.90E+00 1.02E+00 5.06E-01 2.31E-01 9.77E-02 3.82E-02 1.38E-02 4.63E-03 1.44E-03 4.15E-04 1.11E-04 2.76E-05 6.35E-06 1.36E-06 2.69E-07 4.96E-08 8.50E-09 1.35E-09 2.00E-10 2.74E-11 3.50E-12
   1.75  0.318  6.96E+01 1.30E+02 1.26E+03 4.31E+00 1.21E+01 1.76E+01 2.02E+01 1.98E+01 1.74E+01 1.37E+01 9.92E+00 6.58E+00 4.03E+00 2.28E+00 1.20E+00 5.83E-01 2.64E-01 1.11E-01 4.35E-02 1.59E-02 5.41E-03 1.71E-03 5.07E-04 1.40E-04 3.60E-05 8.64E-06 1.94E-06 4.06E-07 7.93E-08 1.45E-08 2.47E-09 3.93E-10 5.84E-11
   2.00  0.340  1.26E+02 2.27E+02 2.28E+03 7.06E+00 1.99E+01 2.93E+01 3.40E+01 3.40E+01 3.04E+01 2.46E+01 1.83E+01 1.26E+01 8.01E+00 4.73E+00 2.60E+00 1.33E+00 6.38E-01 2.85E-01 1.19E-01 4.66E-02 1.70E-02 5.83E-03 1.87E-03 5.61E-04 1.58E-04 4.17E-05 1.03E-05 2.39E-06 5.20E-07 1.06E-07 2.03E-08 3.64E-09 6.12E-10
   2.25  0.361  2.24E+02 3.88E+02 4.01E+03 1.14E+01 3.22E+01 4.77E+01 5.60E+01 5.68E+01 5.17E+01 4.28E+01 3.27E+01 2.31E+01 1.51E+01 9.27E+00 5.30E+00 2.83E+00 1.42E+00 6.67E-01 2.94E-01 1.21E-01 4.71E-02 1.72E-02 5.90E-03 1.90E-03 5.76E-04 1.64E-04 4.41E-05 1.11E-05 2.64E-06 5.90E-07 1.24E-07 2.46E-08 4.58E-09
   2.50  0.381  3.86E+02 6.50E+02 6.87E+03 1.81E+01 5.13E+01 7.65E+01 9.05E+01 9.30E+01 8.58E+01 7.24E+01 5.64E+01 4.08E+01 2.75E+01 1.74E+01 1.03E+01 5.68E+00 2.96E+00 1.45E+00 6.67E-01 2.89E-01 1.18E-01 4.55E-02 1.65E-02 5.65E-03 1.82E-03 5.55E-04 1.59E-04 4.32E-05 1.11E-05 2.67E-06 6.09E-07 1.31E-07 2.67E-08
   2.75  0.399  6.52E+02 1.07E+03 1.15E+04 2.84E+01 8.06E+01 1.21E+02 1.44E+02 1.49E+02 1.40E+02 1.20E+02 9.49E+01 7.01E+01 4.84E+01 3.13E+01 1.90E+01 1.09E+01 5.85E+00 2.97E+00 1.42E+00 6.42E-01 2.74E-01 1.10E-01 4.21E-02 1.52E-02 5.16E-03 1.66E-03 5.07E-04 1.46E-04 3.98E-05 1.03E-05 2.51E-06 5.82E-07 1.27E-07
   3.00  0.417  1.08E+03 1.72E+03 1.90E+04 4.38E+01 1.25E+02 1.88E+02 2.25E+02 2.36E+02 2.23E+02 1.94E+02 1.56E+02 1.17E+02 8.27E+01 5.47E+01 3.41E+01 2.00E+01 1.11E+01 5.80E+00 2.87E+00 1.34E+00 5.96E-01 2.50E-01 9.94E-02 3.75E-02 1.34E-02 4.52E-03 1.45E-03 4.41E-04 1.27E-04 3.48E-05 9.04E-06 2.23E-06 5.20E-07
   3.25  0.434  1.76E+03 2.73E+03 3.08E+04 6.69E+01 1.91E+02 2.88E+02 3.48E+02 3.67E+02 3.51E+02 3.08E+02 2.52E+02 1.92E+02 1.38E+02 9.30E+01 5.92E+01 3.56E+01 2.02E+01 1.09E+01 5.55E+00 2.68E+00 1.23E+00 5.35E-01 2.21E-01 8.65E-02 3.22E-02 1.14E-02 3.82E-03 1.22E-03 3.69E-04 1.06E-04 2.91E-05 7.57E-06 1.87E-06
   3.50  0.450  2.83E+03 4.27E+03 4.90E+04 1.01E+02 2.89E+02 4.37E+02 5.31E+02 5.64E+02 5.44E+02 4.83E+02 3.99E+02 3.09E+02 2.25E+02 1.55E+02 1.00E+02 6.16E+01 3.58E+01 1.98E+01 1.03E+01 5.14E+00 2.43E+00 1.09E+00 4.65E-01 1.89E-01 7.28E-02 2.67E-02 9.34E-03 3.11E-03 9.84E-04 2.97E-04 8.52E-05 2.33E-05 6.06E-06
   3.75  0.466  4.48E+03 6.58E+03 7.69E+04 1.51E+02 4.32E+02 6.56E+02 8.00E+02 8.56E+02 8.31E+02 7.45E+02 6.23E+02 4.89E+02 3.61E+02 2.52E+02 1.66E+02 1.04E+02 6.17E+01 3.48E+01 1.87E+01 9.51E+00 4.61E+00 2.13E+00 9.36E-01 3.92E-01 1.56E-01 5.95E-02 2.16E-02 7.44E-03 2.45E-03 7.70E-04 2.31E-04 6.59E-05 1.80E-05
   4.00  0.481  6.99E+03 1.00E+04 1.19E+05 2.23E+02 6.39E+02 9.74E+02 1.19E+03 1.28E+03 1.25E+03 1.13E+03 9.58E+02 7.60E+02 5.69E+02 4.02E+02 2.70E+02 1.72E+02 1.04E+02 5.98E+01 3.27E+01 1.71E+01 8.48E+00 4.02E+00 1.81E+00 7.82E-01 3.21E-01 1.26E-01 4.72E-02 1.69E-02 5.76E-03 1.88E-03 5.84E-04 1.74E-04 4.93E-05
   4.25  0.496  1.08E+04 1.51E+04 1.82E+05 3.26E+02 9.37E+02 1.43E+03 1.76E+03 1.90E+03 1.87E+03 1.71E+03 1.46E+03 1.17E+03 8.83E+02 6.33E+02 4.31E+02 2.78E+02 1.71E+02 1.00E+02 5.60E+01 2.98E+01 1.51E+01 7.34E+00 3.40E+00 1.50E+00 6.35E-01 2.56E-01 9.89E-02 3.65E-02 1.29E-02 4.33E-03 1.40E-03 4.31E-04 1.27E-04
   4.50  0.511  1.64E+04 2.26E+04 2.76E+05 4.74E+02 1.36E+03 2.09E+03 2.58E+03 2.80E+03 2.77E+03 2.54E+03 2.19E+03 1.77E+03 1.35E+03 9.81E+02 6.76E+02 4.43E+02 2.77E+02 1.65E+02 9.37E+01 5.09E+01 2.64E+01 1.31E+01 6.18E+00 2.80E+00 1.21E+00 5.02E-01 1.99E-01 7.56E-02 2.74E-02 9.54E-03 3.18E-03 1.01E-03 3.09E-04
   4.75  0.525  2.48E+04 3.34E+04 4.14E+05 6.82E+02 1.96E+03 3.02E+03 3.73E+03 4.07E+03 4.06E+03 3.75E+03 3.24E+03 2.65E+03 2.05E+03 1.50E+03 1.05E+03 6.95E+02 4.40E+02 2.66E+02 1.54E+02 8.50E+01 4.49E+01 2.27E+01 1.10E+01 5.07E+00 2.25E+00 9.53E-01 3.88E-01 1.51E-01 5.63E-02 2.01E-02 6.91E-03 2.27E-03 7.15E-04
   5.00  0.538  3.70E+04 4.90E+04 6.14E+05 9.75E+02 2.81E+03 4.32E+03 5.37E+03 5.88E+03 5.89E+03 5.47E+03 4.77E+03 3.93E+03 3.06E+03 2.27E+03 1.60E+03 1.07E+03 6.90E+02 4.23E+02 2.48E+02 1.39E+02 7.48E+01 3.85E+01 1.90E+01 8.95E+00 4.05E+00 1.76E+00 7.32E-01 2.92E-01 1.12E-01 4.10E-02 1.44E-02 4.88E-03 1.58E-03
   5.50  0.564  8.83E+04 1.03E+05 1.31E+06 1.95E+03 5.63E+03 8.70E+03 1.09E+04 1.20E+04 1.21E+04 1.14E+04 1.00E+04 8.38E+03 6.64E+03 5.01E+03 3.60E+03 2.47E+03 1.63E+03 1.02E+03 6.16E+02 3.56E+02 1.97E+02 1.05E+02 5.34E+01 2.61E+01 1.23E+01 5.55E+00 2.41E+00 1.00E+00 4.01E-01 1.54E-01 5.71E-02 2.03E-02 6.94E-03
   6.00  0.590  1.93E+05 2.08E+05 2.73E+06 3.80E+03 1.10E+04 1.70E+04 2.14E+04 2.37E+04 2.41E+04 2.29E+04 2.04E+04 1.73E+04 1.39E+04 1.06E+04 7.78E+03 5.45E+03 3.66E+03 2.35E+03 1.45E+03 8.59E+02 4.89E+02 2.67E+02 1.40E+02 7.09E+01 3.44E+01 1.61E+01 7.24E+00 3.13E+00 1.30E+00 5.22E-01 2.02E-01 7.49E-02 2.68E-02
   6.50  0.614  3.99E+05 4.12E+05 5.50E+06 7.24E+03 2.10E+04 3.25E+04 4.10E+04 4.58E+04 4.69E+04 4.49E+04 4.04E+04 3.46E+04 2.81E+04 2.19E+04 1.62E+04 1.16E+04 7.89E+03 5.18E+03 3.26E+03 1.97E+03 1.15E+03 6.44E+02 3.48E+02 1.81E+02 9.03E+01 4.35E+01 2.02E+01 9.03E+00 3.89E+00 1.62E+00 6.48E-01 2.50E-01 9.31E-02
   7.00  0.637  7.97E+05 7.96E+05 1.08E+07 1.35E+04 3.91E+04 6.09E+04 7.70E+04 8.64E+04 8.90E+04 8.58E+04 7.80E+04 6.73E+04 5.54E+04 4.36E+04 3.28E+04 2.37E+04 1.65E+04 1.10E+04 7.05E+03 4.35E+03 2.59E+03 1.48E+03 8.19E+02 4.36E+02 2.24E+02 1.11E+02 5.29E+01 2.44E+01 1.08E+01 4.65E+00 1.92E+00 7.69E-01 2.97E-01
   7.50  0.659  1.55E+06 1.50E+06 2.08E+07 2.47E+04 7.16E+04 1.12E+05 1.42E+05 1.60E+05 1.66E+05 1.61E+05 1.47E+05 1.28E+05 1.06E+05 8.47E+04 6.46E+04 4.73E+04 3.33E+04 2.26E+04 1.47E+04 9.25E+03 5.61E+03 3.28E+03 1.85E+03 1.01E+03 5.28E+02 2.68E+02 1.31E+02 6.21E+01 2.84E+01 1.25E+01 5.35E+00 2.21E+00 8.79E-01
   8.00  0.681  2.94E+06 2.79E+06 3.91E+07 4.43E+04 1.29E+05 2.01E+05 2.56E+05 2.90E+05 3.02E+05 2.95E+05 2.72E+05 2.39E+05 2.00E+05 1.61E+05 1.24E+05 9.18E+04 6.55E+04 4.50E+04 2.98E+04 1.90E+04 1.17E+04 6.99E+03 4.01E+03 2.23E+03 1.20E+03 6.20E+02 3.11E+02 1.51E+02 7.06E+01 3.20E+01 1.40E+01 5.95E+00 2.44E+00
   8.50  0.702  5.48E+06 5.07E+06 7.21E+07 7.83E+04 2.28E+05 3.57E+05 4.55E+05 5.17E+05 5.41E+05 5.31E+05 4.93E+05 4.36E+05 3.68E+05 2.99E+05 2.33E+05 1.74E+05 1.26E+05 8.75E+04 5.88E+04 3.81E+04 2.38E+04 1.44E+04 8.44E+03 4.77E+03 2.61E+03 1.38E+03 7.07E+02 3.50E+02 1.68E+02 7.79E+01 3.50E+01 1.52E+01 6.41E+00
   9.00  0.722  1.00E+07 9.06E+06 1.31E+08 1.36E+05 3.97E+05 6.22E+05 7.96E+05 9.07E+05 9.53E+05 9.40E+05 8.78E+05 7.82E+05 6.66E+05 5.44E+05 4.28E+05 3.24E+05 2.36E+05 1.66E+05 1.13E+05 7.43E+04 4.72E+04 2.90E+04 1.72E+04 9.89E+03 5.51E+03 2.97E+03 1.55E+03 7.83E+02 3.83E+02 1.82E+02 8.35E+01 3.72E+01 1.60E+01
   9.50  0.742  1.80E+07 1.60E+07 2.33E+08 2.34E+05 6.81E+05 1.07E+06 1.37E+06 1.57E+06 1.66E+06 1.64E+06 1.54E+06 1.38E+06 1.18E+06 9.75E+05 7.72E+05 5.90E+05 4.35E+05 3.09E+05 2.13E+05 1.42E+05 9.10E+04 5.67E+04 3.42E+04 2.00E+04 1.13E+04 6.19E+03 3.29E+03 1.69E+03 8.44E+02 4.08E+02 1.92E+02 8.72E+01 3.85E+01
  10.00  0.761  3.19E+07 2.77E+07 4.10E+08 3.96E+05 1.16E+06 1.82E+06 2.34E+06 2.68E+06 2.83E+06 2.82E+06 2.66E+06 2.40E+06 2.07E+06 1.72E+06 1.37E+06 1.06E+06 7.86E+05 5.65E+05 3.93E+05 2.64E+05 1.72E+05 1.08E+05 6.63E+04 3.92E+04 2.25E+04 1.25E+04 6.77E+03 3.55E+03 1.80E+03 8.87E+02 4.24E+02 1.97E+02 8.87E+01
  11.00  0.798  1.12E+08 8.04E+07 1.22E+09 1.10E+06 3.21E+06 5.06E+06 6.52E+06 7.51E+06 8.01E+06 8.03E+06 7.64E+06 6.96E+06 6.07E+06 5.10E+06 4.13E+06 3.23E+06 2.44E+06 1.79E+06 1.27E+06 8.70E+05 5.79E+05 3.73E+05 2.34E+05 1.42E+05 8.37E+04 4.79E+04 2.66E+04 1.44E+04 7.54E+03 3.84E+03 1.90E+03 9.14E+02 4.27E+02
  12.00  0.834  3.35E+08 2.22E+08 3.44E+09 2.92E+06 8.52E+06 1.35E+07 1.74E+07 2.02E+07 2.16E+07 2.18E+07 2.09E+07 1.92E+07 1.70E+07 1.44E+07 1.18E+07 9.36E+06 7.18E+06 5.34E+06 3.84E+06 2.69E+06 1.82E+06 1.20E+06 7.66E+05 4.76E+05 2.87E+05 1.68E+05 9.60E+04 5.32E+04 2.87E+04 1.50E+04 7.67E+03 3.81E+03 1.84E+03
  13.00  0.868  9.25E+08 5.91E+08 9.30E+09 7.46E+06 2.18E+07 3.46E+07 4.49E+07 5.21E+07 5.61E+07 5.70E+07 5.50E+07 5.09E+07 4.53E+07 3.89E+07 3.22E+07 2.58E+07 2.01E+07 1.51E+07 1.11E+07 7.84E+06 5.41E+06 3.62E+06 2.36E+06 1.49E+06 9.21E+05 5.52E+05 3.22E+05 1.83E+05 1.01E+05 5.42E+04 2.84E+04 1.45E+04 7.19E+03
  14.00  0.900  2.44E+09 1.51E+09 2.42E+10 1.84E+07 5.40E+07 8.57E+07 1.11E+08 1.30E+08 1.41E+08 1.43E+08 1.39E+08 1.30E+08 1.17E+08 1.01E+08 8.44E+07 6.84E+07 5.37E+07 4.10E+07 3.03E+07 2.18E+07 1.53E+07 1.04E+07 6.89E+06 4.44E+06 2.78E+06 1.70E+06 1.01E+06 5.86E+05 3.31E+05 1.82E+05 9.76E+04 5.10E+04 2.60E+04
  15.00  0.932  6.19E+09 3.75E+09 6.10E+10 4.43E+07 1.30E+08 2.06E+08 2.69E+08 3.14E+08 3.41E+08 3.50E+08 3.42E+08 3.21E+08 2.90E+08 2.53E+08 2.13E+08 1.74E+08 1.38E+08 1.07E+08 8.00E+07 5.83E+07 4.13E+07 2.85E+07 1.92E+07 1.25E+07 8.00E+06 4.97E+06 3.01E+06 1.78E+06 1.02E+06 5.75E+05 3.15E+05 1.68E+05 8.76E+04
  16.00  0.963  1.52E+10 9.02E+09 1.49E+11 1.03E+08 3.03E+08 4.82E+08 6.30E+08 7.39E+08 8.05E+08 8.29E+08 8.14E+08 7.68E+08 6.98E+08 6.13E+08 5.22E+08 4.30E+08 3.45E+08 2.68E+08 2.03E+08 1.50E+08 1.08E+08 7.52E+07 5.12E+07 3.40E+07 2.20E+07 1.39E+07 8.55E+06 5.14E+06 3.01E+06 1.72E+06 9.61E+05 5.23E+05 2.78E+05
  17.00  0.992  3.63E+10 2.11E+10 3.54E+11 2.35E+08 6.90E+08 1.10E+09 1.44E+09 1.69E+09 1.85E+09 1.91E+09 1.89E+09 1.79E+09 1.64E+09 1.45E+09 1.24E+09 1.03E+09 8.32E+08 6.54E+08 5.00E+08 3.72E+08 2.70E+08 1.91E+08 1.32E+08 8.87E+07 5.82E+07 3.73E+07 2.33E+07 1.42E+07 8.46E+06 4.92E+06 2.79E+06 1.55E+06 8.39E+05
  18.00  1.021  8.46E+10 4.83E+10 8.21E+11 5.24E+08 1.54E+09 2.45E+09 3.22E+09 3.79E+09 4.16E+09 4.31E+09 4.27E+09 4.07E+09 3.74E+09 3.33E+09 2.87E+09 2.40E+09 1.96E+09 1.55E+09 1.20E+09 8.99E+08 6.59E+08 4.71E+08 3.28E+08 2.23E+08 1.48E+08 9.63E+07 6.10E+07 3.78E+07 2.28E+07 1.35E+07 7.78E+06 4.38E+06 2.42E+06
  19.00  1.049  1.93E+11 1.08E+11 1.86E+12 1.14E+09 3.35E+09 5.35E+09 7.03E+09 8.31E+09 9.13E+09 9.51E+09 9.46E+09 9.05E+09 8.35E+09 7.47E+09 6.48E+09 5.46E+09 4.48E+09 3.58E+09 2.78E+09 2.11E+09 1.56E+09 1.13E+09 7.94E+08 5.46E+08 3.67E+08 2.41E+08 1.55E+08 9.69E+07 5.94E+07 3.56E+07 2.08E+07 1.19E+07 6.68E+06
  20.00  1.076  4.29E+11 2.36E+11 4.12E+12 2.44E+09 7.17E+09 1.15E+10 1.51E+10 1.79E+10 1.97E+10 2.05E+10 2.05E+10 1.97E+10 1.83E+10 1.64E+10 1.43E+10 1.21E+10 1.00E+10 8.06E+09 6.32E+09 4.83E+09 3.60E+09 2.63E+09 1.87E+09 1.30E+09 8.82E+08 5.85E+08 3.80E+08 2.41E+08 1.50E+08 9.08E+07 5.39E+07 3.13E+07 1.78E+07
  22.50  1.142  4.30E+12 1.55E+12 2.78E+13 1.51E+10 4.45E+10 7.13E+10 9.41E+10 1.12E+11 1.24E+11 1.30E+11 1.31E+11 1.27E+11 1.19E+11 1.08E+11 9.56E+10 8.21E+10 6.88E+10 5.62E+10 4.48E+10 3.48E+10 2.65E+10 1.97E+10 1.43E+10 1.02E+10 7.07E+09 4.81E+09 3.20E+09 2.09E+09 1.33E+09 8.32E+08 5.09E+08 3.05E+08 1.79E+08
  25.00  1.203  2.73E+13 9.19E+12 1.69E+14 8.54E+10 2.51E+11 4.04E+11 5.35E+11 6.38E+11 7.10E+11 7.51E+11 7.60E+11 7.42E+11 7.02E+11 6.44E+11 5.74E+11 4.99E+11 4.23E+11 3.50E+11 2.83E+11 2.24E+11 1.73E+11 1.31E+11 9.67E+10 7.00E+10 4.96E+10 3.45E+10 2.35E+10 1.56E+10 1.02E+10 6.54E+09 4.11E+09 2.53E+09 1.52E+09
  30.00  1.318  1.30E+15 2.54E+14 4.87E+15 2.17E+12 6.39E+12 1.03E+13 1.37E+13 1.64E+13 1.85E+13 1.97E+13 2.02E+13 1.99E+13 1.91E+13 1.78E+13 1.61E+13 1.43E+13 1.24E+13 1.04E+13 8.64E+12 6.99E+12 5.55E+12 4.31E+12 3.28E+12 2.45E+12 1.80E+12 1.29E+12 9.09E+11 6.29E+11 4.27E+11 2.84E+11 1.86E+11 1.19E+11 7.53E+10
  40.00  1.522  9.59E+17 9.58E+16 1.97E+18 7.14E+14 2.11E+15 3.41E+15 4.57E+15 5.53E+15 6.27E+15 6.78E+15 7.05E+15 7.09E+15 6.93E+15 6.59E+15 6.13E+15 5.57E+15 4.95E+15 4.32E+15 3.69E+15 3.09E+15 2.54E+15 2.06E+15 1.63E+15 1.27E+15 9.76E+14 7.35E+14 5.45E+14 3.97E+14 2.85E+14 2.01E+14 1.39E+14 9.49E+13 6.37E+13
  50.00  1.702  1.88E+20 1.87E+19 4.04E+20 1.25E+17 3.70E+17 6.01E+17 8.08E+17 9.84E+17 1.12E+18 1.23E+18 1.29E+18 1.31E+18 1.30E+18 1.26E+18 1.19E+18 1.10E+18 9.95E+17 8.86E+17 7.74E+17 6.65E+17 5.61E+17 4.66E+17 3.81E+17 3.06E+17 2.42E+17 1.89E+17 1.45E+17 1.09E+17 8.13E+16 5.96E+16 4.30E+16 3.06E+16 2.15E+16
  60.00  1.864  2.30E+22 2.28E+21 5.15E+22 1.40E+19 4.15E+19 6.75E+19 9.10E+19 1.11E+20 1.28E+20 1.41E+20 1.49E+20 1.53E+20 1.53E+20 1.49E+20 1.43E+20 1.34E+20 1.23E+20 1.12E+20 9.92E+19 8.67E+19 7.46E+19 6.32E+19 5.27E+19 4.33E+19 3.51E+19 2.80E+19 2.21E+19 1.71E+19 1.31E+19 9.89E+18 7.36E+18 5.41E+18 3.92E+18
  70.00  2.014  1.97E+24 1.95E+23 4.57E+24 1.11E+21 3.30E+21 5.37E+21 7.27E+21 8.92E+21 1.03E+22 1.14E+22 1.21E+22 1.25E+22 1.26E+22 1.25E+22 1.20E+22 1.14E+22 1.06E+22 9.72E+21 8.75E+21 7.76E+21 6.78E+21 5.83E+21 4.95E+21 4.14E+21 3.42E+21 2.78E+21 2.23E+21 1.77E+21 1.38E+21 1.07E+21 8.15E+20 6.14E+20 4.56E+20
  80.00  2.153  1.27E+26 1.25E+25 3.04E+26 6.71E+22 1.99E+23 3.25E+23 4.40E+23 5.42E+23 6.28E+23 6.96E+23 7.45E+23 7.75E+23 7.87E+23 7.81E+23 7.61E+23 7.27E+23 6.83E+23 6.32E+23 5.75E+23 5.16E+23 4.56E+23 3.98E+23 3.42E+23 2.90E+23 2.43E+23 2.01E+23 1.64E+23 1.32E+23 1.05E+23 8.29E+22 6.44E+22 4.95E+22 3.75E+22
  90.00  2.283  6.51E+27 6.38E+26 1.59E+28 3.22E+24 9.57E+24 1.56E+25 2.12E+25 2.62E+25 3.05E+25 3.39E+25 3.64E+25 3.81E+25 3.88E+25 3.88E+25 3.80E+25 3.66E+25 3.47E+25 3.23E+25 2.97E+25 2.69E+25 2.40E+25 2.12E+25 1.84E+25 1.58E+25 1.34E+25 1.12E+25 9.29E+24 7.60E+24 6.14E+24 4.91E+24 3.88E+24 3.03E+24 2.34E+24
 100.00  2.407  2.73E+29 2.66E+28 6.80E+29 1.28E+26 3.79E+26 6.20E+26 8.44E+26 1.04E+27 1.22E+27 1.36E+27 1.46E+27 1.54E+27 1.57E+27 1.58E+27 1.56E+27 1.51E+27 1.44E+27 1.35E+27 1.25E+27 1.14E+27 1.03E+27 9.14E+26 8.03E+26 6.96E+26 5.97E+26 5.06E+26 4.23E+26 3.51E+26 2.87E+26 2.32E+26 1.86E+26 1.47E+26 1.15E+26
 110.00  2.524  9.64E+30 9.36E+29 2.45E+31 4.29E+27 1.27E+28 2.09E+28 2.84E+28 3.52E+28 4.11E+28 4.60E+28 4.98E+28 5.24E+28 5.39E+28 5.44E+28 5.38E+28 5.24E+28 5.03E+28 4.75E+28 4.42E+28 4.07E+28 3.69E+28 3.31E+28 2.93E+28 2.56E+28 2.22E+28 1.90E+28 1.60E+28 1.34E+28 1.11E+28 9.09E+27 7.37E+27 5.91E+27 4.69E+27
 120.00  2.636  2.93E+32 2.84E+31 7.57E+32 1.25E+29 3.70E+29 6.07E+29 8.27E+29 1.03E+30 1.20E+30 1.35E+30 1.46E+30 1.54E+30 1.59E+30 1.61E+30 1.60E+30 1.57E+30 1.51E+30 1.44E+30 1.35E+30 1.24E+30 1.14E+30 1.03E+30 9.15E+29 8.07E+29 7.03E+29 6.07E+29 5.18E+29 4.37E+29 3.65E+29 3.02E+29 2.47E+29 2.00E+29 1.61E+29
 130.00  2.744  7.83E+33 7.54E+32 2.05E+34 3.18E+30 9.47E+30 1.55E+31 2.12E+31 2.63E+31 3.08E+31 3.46E+31 3.77E+31 3.99E+31 4.13E+31 4.20E+31 4.19E+31 4.12E+31 3.98E+31 3.80E+31 3.58E+31 3.33E+31 3.06E+31 2.78E+31 2.49E+31 2.21E+31 1.94E+31 1.69E+31 1.45E+31 1.24E+31 1.04E+31 8.69E+30 7.18E+30 5.87E+30 4.76E+30
 140.00  2.848  1.86E+35 1.78E+34 4.93E+35 7.25E+31 2.16E+32 3.54E+32 4.84E+32 6.02E+32 7.06E+32 7.95E+32 8.66E+32 9.20E+32 9.55E+32 9.73E+32 9.74E+32 9.61E+32 9.33E+32 8.94E+32 8.46E+32 7.90E+32 7.30E+32 6.66E+32 6.02E+32 5.37E+32 4.75E+32 4.15E+32 3.60E+32 3.08E+32 2.62E+32 2.20E+32 1.83E+32 1.51E+32 1.24E+32
