                    ************************************************************************************************
                    *  Z= 50 A=120: Positive-Parity Spin-dependent Level Density [MeV-1] for Sn120 and ldmodel= 1  *
 180.00  3.470  8.92E+38 8.36E+37 2.50E+39 2.89E+35 8.62E+35 1.42E+36 1.94E+36 2.43E+36 2.87E+36 3.25E+36 3.58E+36 3.83E+36 4.03E+36 4.15E+36 4.21E+36 4.21E+36 4.16E+36 4.05E+36 3.91E+36 3.72E+36 3.51E+36 3.27E+36 3.03E+36 2.77E+36 2.51E+36 2.26E+36 2.01E+36 1.77E+36 1.55E+36 1.35E+36 1.16E+36 9.90E+35 8.39E+35
 190.00  3.565  1.32E+40 1.23E+39 3.73E+40 4.15E+36 1.24E+37 2.03E+37 2.79E+37 3.49E+37 4.13E+37 4.69E+37 5.16E+37 5.54E+37 5.83E+37 6.02E+37 6.12E+37 6.14E+37 6.07E+37 5.93E+37 5.73E+37 5.48E+37 5.18E+37 4.85E+37 4.50E+37 4.13E+37 3.76E+37 3.39E+37 3.04E+37 2.69E+37 2.37E+37 2.06E+37 1.79E+37 1.53E+37 1.30E+37
 200.00  3.658  1.83E+41 1.70E+40 5.19E+41 5.57E+37 1.66E+38 2.73E+38 3.75E+38 4.70E+38 5.56E+38 6.31E+38 6.96E+38 7.48E+38 7.88E+38 8.15E+38 8.31E+38 8.35E+38 8.28E+38 8.11E+38 7.85E+38 7.53E+38 7.14E+38 6.71E+38 6.24E+38 5.75E+38 5.25E+38 4.76E+38 4.27E+38 3.80E+38 3.36E+38 2.94E+38 2.56E+38 2.21E+38 1.89E+38

                    ************************************************************************************************
                    *  Z= 50 A=120: Negative-Parity Spin-dependent Level Density [MeV-1] for Sn120 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.129  1.34E-01 5.38E-01 4.11E+00 2.85E-02 7.68E-02 1.03E-01 1.05E-01 8.76E-02 6.25E-02 3.88E-02 2.11E-02 1.01E-02 4.30E-03 1.62E-03 5.45E-04 1.63E-04 4.36E-05 1.04E-05 2.22E-06 4.24E-07 7.23E-08 1.11E-08 1.51E-09 1.86E-10 2.04E-11 2.01E-12 1.77E-13 1.40E-14 9.93E-16 6.32E-17 3.60E-18 1.84E-19 8.46E-21
   0.50  0.183  3.28E-01 7.75E-01 5.92E+00 4.11E-02 1.11E-01 1.49E-01 1.51E-01 1.26E-01 9.01E-02 5.59E-02 3.04E-02 1.46E-02 6.20E-03 2.34E-03 7.86E-04 2.35E-04 6.29E-05 1.50E-05 3.20E-06 6.11E-07 1.04E-07 1.59E-08 2.18E-09 2.67E-10 2.94E-11 2.89E-12 2.55E-13 2.02E-14 1.43E-15 9.10E-17 5.19E-18 2.66E-19 1.22E-20
   0.75  0.224  6.07E-01 1.12E+00 8.53E+00 5.91E-02 1.59E-01 2.14E-01 2.17E-01 1.82E-01 1.30E-01 8.05E-02 4.38E-02 2.10E-02 8.93E-03 3.37E-03 1.13E-03 3.39E-04 9.06E-05 2.16E-05 4.61E-06 8.80E-07 1.50E-07 2.30E-08 3.14E-09 3.85E-10 4.23E-11 4.16E-12 3.67E-13 2.91E-14 2.06E-15 1.31E-16 7.48E-18 3.83E-19 1.76E-20
   1.00  0.259  1.01E+00 1.61E+00 1.23E+01 8.52E-02 2.30E-01 3.09E-01 3.13E-01 2.62E-01 1.87E-01 1.16E-01 6.31E-02 3.03E-02 1.29E-02 4.86E-03 1.63E-03 4.88E-04 1.30E-04 3.11E-05 6.64E-06 1.27E-06 2.16E-07 3.31E-08 4.53E-09 5.55E-10 6.09E-11 6.00E-12 5.29E-13 4.19E-14 2.97E-15 1.89E-16 1.08E-17 5.51E-19 2.53E-20
   1.25  0.289  1.59E+00 2.32E+00 1.77E+01 1.23E-01 3.31E-01 4.45E-01 4.51E-01 3.77E-01 2.69E-01 1.67E-01 9.09E-02 4.36E-02 1.85E-02 7.00E-03 2.35E-03 7.04E-04 1.88E-04 4.49E-05 9.57E-06 1.83E-06 3.12E-07 4.76E-08 6.52E-09 7.99E-10 8.78E-11 8.64E-12 7.63E-13 6.03E-14 4.28E-15 2.72E-16 1.55E-17 7.94E-19 3.64E-20
   1.50  0.317  2.42E+00 3.34E+00 2.55E+01 1.77E-01 4.77E-01 6.41E-01 6.50E-01 5.44E-01 3.88E-01 2.41E-01 1.31E-01 6.28E-02 2.67E-02 1.01E-02 3.39E-03 1.01E-03 2.71E-04 6.46E-05 1.38E-05 2.63E-06 4.49E-07 6.86E-08 9.39E-09 1.15E-09 1.26E-10 1.25E-11 1.10E-12 8.69E-14 6.16E-15 3.92E-16 2.24E-17 1.14E-18 5.25E-20
   1.75  0.342  3.62E+00 4.81E+00 3.68E+01 2.55E-01 6.87E-01 9.23E-01 9.36E-01 7.83E-01 5.59E-01 3.47E-01 1.89E-01 9.05E-02 3.85E-02 1.45E-02 4.88E-03 1.46E-03 3.90E-04 9.31E-05 1.99E-05 3.79E-06 6.47E-07 9.89E-08 1.35E-08 1.66E-09 1.82E-10 1.79E-11 1.58E-12 1.25E-13 8.88E-15 5.65E-16 3.22E-17 1.65E-18 7.56E-20
   2.00  0.366  5.36E+00 6.93E+00 5.30E+01 3.67E-01 9.89E-01 1.33E+00 1.35E+00 1.13E+00 8.06E-01 5.00E-01 2.72E-01 1.30E-01 5.54E-02 2.09E-02 7.03E-03 2.10E-03 5.62E-04 1.34E-04 2.86E-05 5.46E-06 9.32E-07 1.42E-07 1.95E-08 2.39E-09 2.63E-10 2.58E-11 2.28E-12 1.80E-13 1.28E-14 8.14E-16 4.64E-17 2.37E-18 1.09E-19
   2.25  0.388  7.85E+00 9.98E+00 7.63E+01 5.29E-01 1.43E+00 1.92E+00 1.94E+00 1.63E+00 1.16E+00 7.20E-01 3.92E-01 1.88E-01 7.99E-02 3.01E-02 1.01E-02 3.03E-03 8.10E-04 1.93E-04 4.12E-05 7.87E-06 1.34E-06 2.05E-07 2.81E-08 3.44E-09 3.78E-10 3.72E-11 3.29E-12 2.60E-13 1.84E-14 1.17E-15 6.69E-17 3.42E-18 1.57E-19
   2.50  0.409  1.14E+01 1.44E+01 1.11E+02 7.45E-01 2.01E+00 2.72E+00 2.78E+00 2.35E+00 1.70E+00 1.07E+00 5.91E-01 2.89E-01 1.26E-01 4.86E-02 1.68E-02 5.18E-03 1.43E-03 3.53E-04 7.81E-05 1.55E-05 2.76E-06 4.41E-07 6.33E-08 8.15E-09 9.43E-10 9.80E-11 9.15E-12 7.68E-13 5.80E-14 3.93E-15 2.40E-16 1.31E-17 6.48E-19
   2.75  0.429  1.66E+01 2.07E+01 1.67E+02 9.87E-01 2.69E+00 3.70E+00 3.87E+00 3.39E+00 2.55E+00 1.69E+00 9.93E-01 5.20E-01 2.44E-01 1.03E-01 3.89E-02 1.33E-02 4.09E-03 1.14E-03 2.86E-04 6.51E-05 1.34E-05 2.49E-06 4.20E-07 6.40E-08 8.85E-09 1.11E-09 1.26E-10 1.29E-11 1.21E-12 1.02E-13 7.82E-15 5.44E-16 3.43E-17
   3.00  0.448  2.41E+01 2.98E+01 2.50E+02 1.32E+00 3.62E+00 5.04E+00 5.40E+00 4.86E+00 3.80E+00 2.63E+00 1.62E+00 9.00E-01 4.50E-01 2.04E-01 8.36E-02 3.11E-02 1.05E-02 3.24E-03 9.07E-04 2.31E-04 5.38E-05 1.14E-05 2.20E-06 3.88E-07 6.24E-08 9.16E-09 1.23E-09 1.50E-10 1.68E-11 1.71E-12 1.59E-13 1.35E-14 1.05E-15
   3.25  0.466  3.48E+01 4.30E+01 3.74E+02 1.77E+00 4.88E+00 6.89E+00 7.52E+00 6.93E+00 5.59E+00 4.01E+00 2.59E+00 1.51E+00 7.99E-01 3.85E-01 1.69E-01 6.77E-02 2.48E-02 8.34E-03 2.56E-03 7.22E-04 1.86E-04 4.42E-05 9.60E-06 1.92E-06 3.51E-07 5.91E-08 9.13E-09 1.30E-09 1.69E-10 2.02E-11 2.23E-12 2.25E-13 2.10E-14
   3.50  0.484  5.03E+01 6.19E+01 5.57E+02 2.38E+00 6.61E+00 9.44E+00 1.05E+01 9.86E+00 8.17E+00 6.06E+00 4.06E+00 2.47E+00 1.37E+00 6.98E-01 3.25E-01 1.39E-01 5.47E-02 1.98E-02 6.60E-03 2.03E-03 5.74E-04 1.50E-04 3.61E-05 8.03E-06 1.65E-06 3.12E-07 5.46E-08 8.82E-09 1.32E-09 1.81E-10 2.31E-11 2.72E-12 2.96E-13
   3.75  0.501  7.26E+01 8.92E+01 8.28E+02 3.23E+00 9.00E+00 1.30E+01 1.46E+01 1.40E+01 1.19E+01 9.06E+00 6.28E+00 3.97E+00 2.30E+00 1.23E+00 6.02E-01 2.73E-01 1.14E-01 4.41E-02 1.58E-02 5.23E-03 1.61E-03 4.56E-04 1.20E-04 2.94E-05 6.67E-06 1.40E-06 2.73E-07 4.95E-08 8.32E-09 1.30E-09 1.88E-10 2.52E-11 3.15E-12
   4.00  0.517  1.05E+02 1.29E+02 1.23E+03 4.38E+00 1.23E+01 1.78E+01 2.03E+01 1.98E+01 1.72E+01 1.34E+01 9.59E+00 6.27E+00 3.77E+00 2.10E+00 1.08E+00 5.14E-01 2.27E-01 9.31E-02 3.55E-02 1.26E-02 4.14E-03 1.27E-03 3.63E-04 9.64E-05 2.39E-05 5.50E-06 1.18E-06 2.37E-07 4.42E-08 7.68E-09 1.25E-09 1.88E-10 2.65E-11
   4.25  0.533  1.51E+02 1.85E+02 1.82E+03 5.97E+00 1.68E+01 2.46E+01 2.83E+01 2.81E+01 2.48E+01 1.98E+01 1.45E+01 9.78E+00 6.09E+00 3.51E+00 1.88E+00 9.37E-01 4.35E-01 1.88E-01 7.57E-02 2.85E-02 1.00E-02 3.28E-03 1.01E-03 2.88E-04 7.71E-05 1.93E-05 4.52E-06 9.90E-07 2.03E-07 3.89E-08 6.98E-09 1.17E-09 1.84E-10
   4.50  0.549  2.18E+02 2.67E+02 2.69E+03 8.17E+00 2.30E+01 3.39E+01 3.95E+01 3.97E+01 3.56E+01 2.91E+01 2.18E+01 1.51E+01 9.68E+00 5.77E+00 3.21E+00 1.66E+00 8.06E-01 3.65E-01 1.55E-01 6.15E-02 2.28E-02 7.96E-03 2.60E-03 7.96E-04 2.29E-04 6.17E-05 1.56E-05 3.70E-06 8.25E-07 1.72E-07 3.39E-08 6.25E-09 1.08E-09
   4.75  0.564  3.14E+02 3.85E+02 3.98E+03 1.12E+01 3.17E+01 4.69E+01 5.51E+01 5.60E+01 5.11E+01 4.25E+01 3.25E+01 2.30E+01 1.52E+01 9.34E+00 5.37E+00 2.89E+00 1.46E+00 6.88E-01 3.05E-01 1.27E-01 4.97E-02 1.83E-02 6.33E-03 2.06E-03 6.31E-04 1.82E-04 4.93E-05 1.26E-05 3.02E-06 6.83E-07 1.46E-07 2.92E-08 5.52E-09
   5.00  0.578  4.52E+02 5.54E+02 5.87E+03 1.54E+01 4.36E+01 6.50E+01 7.70E+01 7.91E+01 7.31E+01 6.18E+01 4.82E+01 3.49E+01 2.36E+01 1.49E+01 8.84E+00 4.91E+00 2.57E+00 1.26E+00 5.82E-01 2.53E-01 1.04E-01 4.02E-02 1.46E-02 5.03E-03 1.63E-03 4.99E-04 1.44E-04 3.93E-05 1.01E-05 2.46E-06 5.64E-07 1.22E-07 2.50E-08
   5.50  0.607  1.03E+03 1.15E+03 1.27E+04 2.92E+01 8.32E+01 1.25E+02 1.50E+02 1.58E+02 1.49E+02 1.30E+02 1.05E+02 7.88E+01 5.56E+01 3.69E+01 2.30E+01 1.35E+01 7.53E+00 3.95E+00 1.96E+00 9.22E-01 4.10E-01 1.73E-01 6.90E-02 2.61E-02 9.35E-03 3.18E-03 1.02E-03 3.13E-04 9.08E-05 2.50E-05 6.52E-06 1.62E-06 3.80E-07
   6.00  0.634  2.22E+03 2.39E+03 2.76E+04 5.59E+01 1.60E+02 2.43E+02 2.95E+02 3.14E+02 3.03E+02 2.70E+02 2.24E+02 1.74E+02 1.28E+02 8.80E+01 5.74E+01 3.55E+01 2.08E+01 1.15E+01 6.09E+00 3.05E+00 1.45E+00 6.58E-01 2.84E-01 1.16E-01 4.53E-02 1.68E-02 5.96E-03 2.01E-03 6.43E-04 1.96E-04 5.72E-05 1.59E-05 4.19E-06
   6.50  0.659  4.70E+03 4.95E+03 5.94E+04 1.08E+02 3.09E+02 4.72E+02 5.79E+02 6.26E+02 6.15E+02 5.59E+02 4.75E+02 3.80E+02 2.87E+02 2.05E+02 1.39E+02 8.93E+01 5.47E+01 3.19E+01 1.77E+01 9.37E+00 4.73E+00 2.28E+00 1.05E+00 4.61E-01 1.93E-01 7.74E-02 2.96E-02 1.08E-02 3.78E-03 1.26E-03 4.04E-04 1.23E-04 3.60E-05
   7.00  0.684  9.83E+03 1.03E+04 1.27E+05 2.09E+02 6.02E+02 9.24E+02 1.14E+03 1.25E+03 1.24E+03 1.15E+03 9.96E+02 8.13E+02 6.29E+02 4.62E+02 3.22E+02 2.14E+02 1.36E+02 8.23E+01 4.76E+01 2.63E+01 1.39E+01 7.04E+00 3.41E+00 1.58E+00 7.01E-01 2.98E-01 1.21E-01 4.74E-02 1.77E-02 6.35E-03 2.18E-03 7.18E-04 2.27E-04
   7.50  0.708  2.02E+04 2.07E+04 2.63E+05 4.02E+02 1.16E+03 1.79E+03 2.23E+03 2.45E+03 2.46E+03 2.31E+03 2.02E+03 1.68E+03 1.32E+03 9.89E+02 7.05E+02 4.80E+02 3.12E+02 1.94E+02 1.16E+02 6.60E+01 3.61E+01 1.89E+01 9.50E+00 4.58E+00 2.12E+00 9.40E-01 4.00E-01 1.64E-01 6.43E-02 2.42E-02 8.78E-03 3.05E-03 1.02E-03
   8.00  0.732  4.06E+04 4.08E+04 5.29E+05 7.57E+02 2.19E+03 3.38E+03 4.23E+03 4.69E+03 4.76E+03 4.49E+03 3.99E+03 3.36E+03 2.68E+03 2.04E+03 1.48E+03 1.03E+03 6.86E+02 4.37E+02 2.67E+02 1.56E+02 8.80E+01 4.75E+01 2.47E+01 1.23E+01 5.89E+00 2.71E+00 1.20E+00 5.12E-01 2.10E-01 8.27E-02 3.13E-02 1.14E-02 4.01E-03
   8.50  0.754  7.97E+04 7.82E+04 1.04E+06 1.39E+03 4.04E+03 6.26E+03 7.88E+03 8.77E+03 8.97E+03 8.55E+03 7.68E+03 6.53E+03 5.29E+03 4.09E+03 3.02E+03 2.13E+03 1.45E+03 9.42E+02 5.88E+02 3.53E+02 2.04E+02 1.13E+02 6.03E+01 3.10E+01 1.53E+01 7.29E+00 3.34E+00 1.48E+00 6.27E-01 2.57E-01 1.01E-01 3.85E-02 1.41E-02
   9.00  0.776  1.53E+05 1.47E+05 1.98E+06 2.52E+03 7.31E+03 1.14E+04 1.44E+04 1.61E+04 1.65E+04 1.59E+04 1.44E+04 1.24E+04 1.02E+04 7.95E+03 5.96E+03 4.28E+03 2.95E+03 1.96E+03 1.25E+03 7.64E+02 4.51E+02 2.56E+02 1.40E+02 7.40E+01 3.76E+01 1.84E+01 8.71E+00 3.97E+00 1.74E+00 7.39E-01 3.02E-01 1.19E-01 4.54E-02
   9.50  0.797  2.89E+05 2.71E+05 3.72E+06 4.49E+03 1.30E+04 2.03E+04 2.57E+04 2.90E+04 3.00E+04 2.90E+04 2.65E+04 2.30E+04 1.91E+04 1.51E+04 1.15E+04 8.35E+03 5.85E+03 3.94E+03 2.56E+03 1.60E+03 9.62E+02 5.58E+02 3.12E+02 1.69E+02 8.79E+01 4.42E+01 2.15E+01 1.01E+01 4.55E+00 1.99E+00 8.40E-01 3.43E-01 1.35E-01
  10.00  0.818  5.33E+05 4.90E+05 6.84E+06 7.86E+03 2.28E+04 3.57E+04 4.54E+04 5.13E+04 5.33E+04 5.19E+04 4.78E+04 4.19E+04 3.50E+04 2.80E+04 2.15E+04 1.59E+04 1.13E+04 7.72E+03 5.09E+03 3.23E+03 1.98E+03 1.17E+03 6.70E+02 3.70E+02 1.97E+02 1.01E+02 5.05E+01 2.43E+01 1.13E+01 5.07E+00 2.20E+00 9.26E-01 3.76E-01
  11.00  0.858  2.06E+06 1.53E+06 2.20E+07 2.31E+04 6.73E+04 1.06E+05 1.35E+05 1.54E+05 1.61E+05 1.59E+05 1.48E+05 1.32E+05 1.12E+05 9.13E+04 7.16E+04 5.40E+04 3.93E+04 2.76E+04 1.87E+04 1.22E+04 7.74E+03 4.74E+03 2.80E+03 1.60E+03 8.89E+02 4.77E+02 2.48E+02 1.24E+02 6.06E+01 2.86E+01 1.31E+01 5.78E+00 2.48E+00
  12.00  0.896  6.57E+06 4.51E+06 6.65E+07 6.47E+04 1.89E+05 2.97E+05 3.81E+05 4.36E+05 4.62E+05 4.59E+05 4.33E+05 3.90E+05 3.36E+05 2.78E+05 2.22E+05 1.71E+05 1.27E+05 9.10E+04 6.31E+04 4.24E+04 2.75E+04 1.73E+04 1.06E+04 6.23E+03 3.57E+03 1.98E+03 1.07E+03 5.57E+02 2.82E+02 1.38E+02 6.60E+01 3.05E+01 1.37E+01
  13.00  0.933  1.92E+07 1.27E+07 1.91E+08 1.73E+05 5.06E+05 7.98E+05 1.03E+06 1.19E+06 1.26E+06 1.27E+06 1.20E+06 1.10E+06 9.56E+05 8.03E+05 6.50E+05 5.08E+05 3.84E+05 2.81E+05 1.99E+05 1.36E+05 9.05E+04 5.84E+04 3.65E+04 2.21E+04 1.30E+04 7.45E+03 4.14E+03 2.23E+03 1.17E+03 5.94E+02 2.93E+02 1.41E+02 6.57E+01
  14.00  0.968  5.33E+07 3.41E+07 5.27E+08 4.47E+05 1.31E+06 2.07E+06 2.67E+06 3.09E+06 3.31E+06 3.35E+06 3.21E+06 2.95E+06 2.60E+06 2.21E+06 1.81E+06 1.44E+06 1.10E+06 8.18E+05 5.89E+05 4.12E+05 2.79E+05 1.84E+05 1.17E+05 7.30E+04 4.40E+04 2.58E+04 1.47E+04 8.16E+03 4.40E+03 2.31E+03 1.18E+03 5.83E+02 2.82E+02
  15.00  1.002  1.42E+08 8.84E+07 1.39E+09 1.11E+06 3.26E+06 5.17E+06 6.71E+06 7.79E+06 8.39E+06 8.52E+06 8.24E+06 7.63E+06 6.79E+06 5.83E+06 4.83E+06 3.88E+06 3.01E+06 2.27E+06 1.66E+06 1.18E+06 8.14E+05 5.46E+05 3.56E+05 2.26E+05 1.39E+05 8.35E+04 4.87E+04 2.77E+04 1.53E+04 8.25E+03 4.32E+03 2.21E+03 1.10E+03
  16.00  1.035  3.64E+08 2.22E+08 3.56E+09 2.70E+06 7.89E+06 1.25E+07 1.63E+07 1.90E+07 2.06E+07 2.10E+07 2.04E+07 1.91E+07 1.71E+07 1.48E+07 1.24E+07 1.01E+07 7.92E+06 6.05E+06 4.48E+06 3.23E+06 2.27E+06 1.54E+06 1.02E+06 6.61E+05 4.16E+05 2.54E+05 1.52E+05 8.81E+04 4.99E+04 2.75E+04 1.48E+04 7.74E+03 3.95E+03
  17.00  1.066  9.04E+08 5.40E+08 8.82E+09 6.34E+06 1.86E+07 2.96E+07 3.86E+07 4.51E+07 4.90E+07 5.03E+07 4.92E+07 4.62E+07 4.18E+07 3.65E+07 3.08E+07 2.53E+07 2.01E+07 1.55E+07 1.16E+07 8.50E+06 6.04E+06 4.18E+06 2.82E+06 1.85E+06 1.18E+06 7.37E+05 4.48E+05 2.65E+05 1.53E+05 8.62E+04 4.74E+04 2.54E+04 1.33E+04
  18.00  1.097  2.18E+09 1.28E+09 2.12E+10 1.46E+07 4.27E+07 6.80E+07 8.89E+07 1.04E+08 1.14E+08 1.17E+08 1.15E+08 1.09E+08 9.91E+07 8.72E+07 7.43E+07 6.14E+07 4.93E+07 3.85E+07 2.92E+07 2.16E+07 1.55E+07 1.09E+07 7.44E+06 4.95E+06 3.22E+06 2.04E+06 1.26E+06 7.60E+05 4.47E+05 2.57E+05 1.44E+05 7.87E+04 4.20E+04
  19.00  1.127  5.14E+09 2.96E+09 4.98E+10 3.26E+07 9.58E+07 1.53E+08 2.00E+08 2.35E+08 2.58E+08 2.67E+08 2.63E+08 2.50E+08 2.29E+08 2.03E+08 1.74E+08 1.45E+08 1.18E+08 9.26E+07 7.10E+07 5.30E+07 3.86E+07 2.74E+07 1.90E+07 1.28E+07 8.43E+06 5.42E+06 3.40E+06 2.09E+06 1.25E+06 7.29E+05 4.16E+05 2.32E+05 1.26E+05
  20.00  1.157  1.18E+10 6.68E+09 1.14E+11 7.17E+07 2.10E+08 3.36E+08 4.41E+08 5.20E+08 5.71E+08 5.93E+08 5.89E+08 5.62E+08 5.17E+08 4.61E+08 3.98E+08 3.34E+08 2.73E+08 2.17E+08 1.68E+08 1.27E+08 9.32E+07 6.69E+07 4.68E+07 3.20E+07 2.14E+07 1.39E+07 8.86E+06 5.51E+06 3.35E+06 1.99E+06 1.15E+06 6.55E+05 3.63E+05
  22.50  1.227  1.29E+11 4.69E+10 8.27E+11 4.72E+08 1.39E+09 2.22E+09 2.93E+09 3.47E+09 3.84E+09 4.02E+09 4.02E+09 3.88E+09 3.62E+09 3.27E+09 2.87E+09 2.44E+09 2.03E+09 1.64E+09 1.30E+09 1.00E+09 7.53E+08 5.54E+08 3.98E+08 2.79E+08 1.92E+08 1.29E+08 8.44E+07 5.42E+07 3.41E+07 2.10E+07 1.26E+07 7.42E+06 4.28E+06
  25.00  1.293  8.67E+11 2.95E+11 5.36E+12 2.81E+09 8.27E+09 1.33E+10 1.75E+10 2.09E+10 2.32E+10 2.45E+10 2.47E+10 2.40E+10 2.26E+10 2.07E+10 1.84E+10 1.59E+10 1.34E+10 1.10E+10 8.83E+09 6.93E+09 5.31E+09 3.99E+09 2.92E+09 2.10E+09 1.47E+09 1.01E+09 6.83E+08 4.51E+08 2.91E+08 1.84E+08 1.14E+08 6.94E+07 4.13E+07
  30.00  1.417  4.59E+13 9.01E+12 1.72E+14 7.79E+10 2.30E+11 3.70E+11 4.91E+11 5.89E+11 6.61E+11 7.04E+11 7.19E+11 7.10E+11 6.79E+11 6.31E+11 5.71E+11 5.04E+11 4.35E+11 3.67E+11 3.02E+11 2.44E+11 1.93E+11 1.49E+11 1.13E+11 8.42E+10 6.14E+10 4.39E+10 3.08E+10 2.12E+10 1.43E+10 9.48E+09 6.16E+09 3.93E+09 2.46E+09
  40.00  1.636  3.90E+16 3.90E+15 8.00E+16 2.90E+13 8.56E+13 1.38E+14 1.85E+14 2.25E+14 2.55E+14 2.75E+14 2.86E+14 2.88E+14 2.81E+14 2.68E+14 2.49E+14 2.27E+14 2.02E+14 1.76E+14 1.50E+14 1.26E+14 1.04E+14 8.39E+13 6.67E+13 5.20E+13 3.99E+13 3.01E+13 2.23E+13 1.63E+13 1.17E+13 8.23E+12 5.72E+12 3.90E+12 2.62E+12
  50.00  1.829  8.30E+18 8.26E+17 1.80E+19 5.47E+15 1.62E+16 2.63E+16 3.54E+16 4.31E+16 4.93E+16 5.38E+16 5.66E+16 5.77E+16 5.72E+16 5.54E+16 5.24E+16 4.86E+16 4.41E+16 3.94E+16 3.45E+16 2.97E+16 2.51E+16 2.09E+16 1.71E+16 1.38E+16 1.10E+16 8.57E+15 6.59E+15 5.00E+15 3.73E+15 2.75E+15 1.99E+15 1.42E+15 1.00E+15
  60.00  2.003  1.07E+21 1.06E+20 2.42E+21 6.40E+17 1.90E+18 3.08E+18 4.16E+18 5.10E+18 5.87E+18 6.45E+18 6.84E+18 7.04E+18 7.05E+18 6.91E+18 6.62E+18 6.23E+18 5.75E+18 5.21E+18 4.65E+18 4.08E+18 3.52E+18 2.99E+18 2.51E+18 2.07E+18 1.69E+18 1.35E+18 1.07E+18 8.34E+17 6.42E+17 4.87E+17 3.65E+17 2.69E+17 1.96E+17
  70.00  2.164  9.42E+22 9.31E+21 2.21E+23 5.19E+19 1.54E+20 2.51E+20 3.40E+20 4.18E+20 4.83E+20 5.34E+20 5.70E+20 5.90E+20 5.97E+20 5.90E+20 5.71E+20 5.43E+20 5.07E+20 4.66E+20 4.21E+20 3.75E+20 3.29E+20 2.84E+20 2.42E+20 2.04E+20 1.69E+20 1.38E+20 1.12E+20 8.91E+19 7.01E+19 5.45E+19 4.18E+19 3.17E+19 2.37E+19
  80.00  2.313  6.15E+24 6.05E+23 1.48E+25 3.16E+21 9.37E+21 1.53E+22 2.08E+22 2.56E+22 2.97E+22 3.30E+22 3.53E+22 3.68E+22 3.75E+22 3.73E+22 3.64E+22 3.49E+22 3.30E+22 3.06E+22 2.80E+22 2.52E+22 2.24E+22 1.96E+22 1.69E+22 1.44E+22 1.22E+22 1.01E+22 8.32E+21 6.75E+21 5.41E+21 4.29E+21 3.36E+21 2.60E+21 1.99E+21
  90.00  2.454  3.14E+26 3.08E+25 7.78E+26 1.51E+23 4.49E+23 7.34E+23 9.98E+23 1.23E+24 1.43E+24 1.60E+24 1.72E+24 1.80E+24 1.85E+24 1.85E+24 1.82E+24 1.76E+24 1.67E+24 1.56E+24 1.44E+24 1.31E+24 1.18E+24 1.04E+24 9.10E+23 7.86E+23 6.71E+23 5.65E+23 4.71E+23 3.88E+23 3.16E+23 2.54E+23 2.02E+23 1.59E+23 1.24E+23
 100.00  2.586  1.30E+28 1.27E+27 3.30E+28 5.93E+24 1.76E+25 2.88E+25 3.92E+25 4.86E+25 5.67E+25 6.34E+25 6.85E+25 7.21E+25 7.40E+25 7.46E+25 7.37E+25 7.16E+25 6.85E+25 6.46E+25 6.00E+25 5.51E+25 4.98E+25 4.45E+25 3.93E+25 3.43E+25 2.96E+25 2.52E+25 2.13E+25 1.77E+25 1.46E+25 1.19E+25 9.62E+24 7.68E+24 6.06E+24
 110.00  2.713  4.54E+29 4.41E+28 1.17E+30 1.96E+26 5.82E+26 9.53E+26 1.30E+27 1.61E+27 1.89E+27 2.11E+27 2.29E+27 2.42E+27 2.49E+27 2.52E+27 2.51E+27 2.45E+27 2.36E+27 2.23E+27 2.09E+27 1.93E+27 1.76E+27 1.59E+27 1.41E+27 1.24E+27 1.08E+27 9.31E+26 7.93E+26 6.68E+26 5.57E+26 4.59E+26 3.75E+26 3.03E+26 2.42E+26
 120.00  2.833  1.36E+31 1.31E+30 3.56E+31 5.57E+27 1.66E+28 2.72E+28 3.71E+28 4.61E+28 5.40E+28 6.06E+28 6.59E+28 6.98E+28 7.22E+28 7.33E+28 7.31E+28 7.18E+28 6.94E+28 6.62E+28 6.23E+28 5.79E+28 5.31E+28 4.82E+28 4.32E+28 3.83E+28 3.36E+28 2.92E+28 2.51E+28 2.13E+28 1.79E+28 1.49E+28 1.23E+28 1.01E+28 8.15E+27
 130.00  2.949  3.55E+32 3.41E+31 9.43E+32 1.39E+29 4.14E+29 6.79E+29 9.27E+29 1.15E+30 1.35E+30 1.52E+30 1.66E+30 1.76E+30 1.83E+30 1.86E+30 1.87E+30 1.84E+30 1.79E+30 1.71E+30 1.62E+30 1.51E+30 1.40E+30 1.27E+30 1.15E+30 1.03E+30 9.07E+29 7.93E+29 6.87E+29 5.89E+29 5.00E+29 4.20E+29 3.50E+29 2.88E+29 2.35E+29
 140.00  3.060  8.22E+33 7.86E+32 2.21E+34 3.09E+30 9.19E+30 1.51E+31 2.06E+31 2.57E+31 3.02E+31 3.40E+31 3.72E+31 3.96E+31 4.12E+31 4.21E+31 4.23E+31 4.18E+31 4.08E+31 3.92E+31 3.73E+31 3.50E+31 3.25E+31 2.98E+31 2.70E+31 2.43E+31 2.16E+31 1.90E+31 1.66E+31 1.43E+31 1.22E+31 1.04E+31 8.69E+30 7.23E+30 5.96E+30
