                    ************************************************************************************************
                    *  Z= 49 A=120: Positive-Parity Spin-dependent Level Density [MeV-1] for In120 and ldmodel= 1  *
 180.00  3.236  9.27E+40 8.74E+39 2.58E+41 3.11E+37 9.26E+37 1.52E+38 2.08E+38 2.60E+38 3.07E+38 3.48E+38 3.82E+38 4.09E+38 4.29E+38 4.41E+38 4.47E+38 4.46E+38 4.39E+38 4.27E+38 4.10E+38 3.89E+38 3.66E+38 3.40E+38 3.13E+38 2.86E+38 2.58E+38 2.31E+38 2.05E+38 1.80E+38 1.57E+38 1.35E+38 1.16E+38 9.83E+37 8.28E+37
 190.00  3.325  1.49E+42 1.39E+41 4.16E+42 4.83E+38 1.44E+39 2.36E+39 3.24E+39 4.05E+39 4.79E+39 5.43E+39 5.97E+39 6.40E+39 6.72E+39 6.93E+39 7.03E+39 7.03E+39 6.94E+39 6.76E+39 6.51E+39 6.21E+39 5.85E+39 5.46E+39 5.04E+39 4.62E+39 4.19E+39 3.76E+39 3.35E+39 2.96E+39 2.59E+39 2.25E+39 1.93E+39 1.65E+39 1.40E+39
 200.00  3.411  2.22E+43 2.08E+42 6.27E+43 7.01E+39 2.09E+40 3.44E+40 4.71E+40 5.90E+40 6.97E+40 7.91E+40 8.70E+40 9.34E+40 9.83E+40 1.02E+41 1.03E+41 1.03E+41 1.02E+41 1.00E+41 9.66E+40 9.23E+40 8.72E+40 8.17E+40 7.57E+40 6.95E+40 6.33E+40 5.71E+40 5.10E+40 4.52E+40 3.97E+40 3.46E+40 3.00E+40 2.57E+40 2.19E+40

                    ************************************************************************************************
                    *  Z= 49 A=120: Negative-Parity Spin-dependent Level Density [MeV-1] for In120 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.121  5.07E+00 2.03E+01 1.54E+02 1.09E+00 2.94E+00 3.93E+00 3.97E+00 3.30E+00 2.34E+00 1.44E+00 7.72E-01 3.66E-01 1.53E-01 5.69E-02 1.88E-02 5.51E-03 1.44E-03 3.36E-04 7.00E-05 1.30E-05 2.16E-06 3.21E-07 4.26E-08 5.05E-09 5.36E-10 5.09E-11 4.33E-12 3.29E-13 2.24E-14 1.37E-15 7.46E-17 3.65E-18 1.60E-19
   0.50  0.171  1.27E+01 3.05E+01 2.42E+02 1.50E+00 4.08E+00 5.57E+00 5.79E+00 4.99E+00 3.71E+00 2.41E+00 1.38E+00 7.06E-01 3.22E-01 1.31E-01 4.80E-02 1.58E-02 4.67E-03 1.24E-03 2.98E-04 6.43E-05 1.25E-05 2.20E-06 3.49E-07 5.00E-08 6.46E-09 7.55E-10 7.96E-11 7.59E-12 6.53E-13 5.08E-14 3.58E-15 2.27E-16 1.31E-17
   0.75  0.209  2.42E+01 4.60E+01 3.80E+02 2.09E+00 5.71E+00 7.92E+00 8.42E+00 7.50E+00 5.79E+00 3.95E+00 2.40E+00 1.30E+00 6.37E-01 2.81E-01 1.12E-01 4.06E-02 1.33E-02 3.95E-03 1.07E-03 2.61E-04 5.82E-05 1.18E-05 2.17E-06 3.64E-07 5.56E-08 7.73E-09 9.78E-10 1.13E-10 1.18E-11 1.13E-12 9.84E-14 7.80E-15 5.64E-16
   1.00  0.241  4.15E+01 6.92E+01 5.95E+02 2.91E+00 8.02E+00 1.13E+01 1.22E+01 1.12E+01 8.95E+00 6.35E+00 4.04E+00 2.32E+00 1.21E+00 5.69E-01 2.45E-01 9.58E-02 3.43E-02 1.12E-02 3.34E-03 9.12E-04 2.28E-04 5.21E-05 1.09E-05 2.10E-06 3.68E-07 5.94E-08 8.77E-09 1.19E-09 1.48E-10 1.68E-11 1.75E-12 1.68E-13 1.48E-14
   1.25  0.270  6.76E+01 1.04E+02 9.28E+02 4.09E+00 1.13E+01 1.61E+01 1.78E+01 1.67E+01 1.37E+01 1.01E+01 6.67E+00 4.01E+00 2.20E+00 1.10E+00 5.04E-01 2.12E-01 8.17E-02 2.89E-02 9.42E-03 2.82E-03 7.79E-04 1.98E-04 4.63E-05 9.98E-06 1.98E-06 3.63E-07 6.13E-08 9.55E-09 1.37E-09 1.82E-10 2.22E-11 2.50E-12 2.61E-13
   1.50  0.295  1.07E+02 1.57E+02 1.44E+03 5.76E+00 1.61E+01 2.31E+01 2.59E+01 2.47E+01 2.08E+01 1.58E+01 1.08E+01 6.79E+00 3.89E+00 2.05E+00 9.93E-01 4.44E-01 1.83E-01 6.95E-02 2.44E-02 7.94E-03 2.39E-03 6.64E-04 1.71E-04 4.08E-05 9.03E-06 1.85E-06 3.51E-07 6.17E-08 1.01E-08 1.52E-09 2.13E-10 2.77E-11 3.34E-12
   1.75  0.319  1.66E+02 2.36E+02 2.24E+03 8.16E+00 2.28E+01 3.31E+01 3.76E+01 3.66E+01 3.16E+01 2.46E+01 1.74E+01 1.13E+01 6.74E+00 3.71E+00 1.89E+00 8.89E-01 3.88E-01 1.57E-01 5.91E-02 2.06E-02 6.69E-03 2.02E-03 5.66E-04 1.48E-04 3.58E-05 8.09E-06 1.70E-06 3.33E-07 6.07E-08 1.03E-08 1.63E-09 2.40E-10 3.29E-11
   2.00  0.341  2.55E+02 3.56E+02 3.48E+03 1.16E+01 3.26E+01 4.76E+01 5.47E+01 5.41E+01 4.76E+01 3.79E+01 2.76E+01 1.85E+01 1.14E+01 6.55E+00 3.48E+00 1.72E+00 7.91E-01 3.38E-01 1.35E-01 5.02E-02 1.74E-02 5.64E-03 1.70E-03 4.81E-04 1.27E-04 3.13E-05 7.20E-06 1.55E-06 3.12E-07 5.87E-08 1.03E-08 1.70E-09 2.62E-10
   2.25  0.362  3.89E+02 5.36E+02 5.38E+03 1.65E+01 4.66E+01 6.86E+01 7.97E+01 7.99E+01 7.15E+01 5.82E+01 4.34E+01 2.99E+01 1.91E+01 1.13E+01 6.27E+00 3.23E+00 1.55E+00 6.99E-01 2.94E-01 1.16E-01 4.26E-02 1.47E-02 4.75E-03 1.44E-03 4.09E-04 1.09E-04 2.72E-05 6.38E-06 1.40E-06 2.89E-07 5.59E-08 1.02E-08 1.73E-09
   2.50  0.381  5.90E+02 8.06E+02 8.32E+03 2.36E+01 6.68E+01 9.89E+01 1.16E+02 1.18E+02 1.07E+02 8.89E+01 6.79E+01 4.80E+01 3.15E+01 1.93E+01 1.10E+01 5.91E+00 2.96E+00 1.39E+00 6.14E-01 2.54E-01 9.89E-02 3.61E-02 1.24E-02 4.00E-03 1.22E-03 3.47E-04 9.33E-05 2.36E-05 5.61E-06 1.26E-06 2.65E-07 5.26E-08 9.83E-09
   2.75  0.400  8.94E+02 1.21E+03 1.28E+04 3.39E+01 9.60E+01 1.43E+02 1.69E+02 1.74E+02 1.60E+02 1.35E+02 1.05E+02 7.62E+01 5.14E+01 3.24E+01 1.91E+01 1.06E+01 5.51E+00 2.70E+00 1.24E+00 5.38E-01 2.20E-01 8.45E-02 3.06E-02 1.05E-02 3.38E-03 1.03E-03 2.95E-04 7.98E-05 2.04E-05 4.92E-06 1.12E-06 2.41E-07 4.90E-08
   3.00  0.418  1.35E+03 1.83E+03 1.98E+04 4.86E+01 1.38E+02 2.07E+02 2.47E+02 2.56E+02 2.40E+02 2.05E+02 1.63E+02 1.20E+02 8.29E+01 5.37E+01 3.26E+01 1.86E+01 1.00E+01 5.09E+00 2.44E+00 1.10E+00 4.69E-01 1.89E-01 7.21E-02 2.60E-02 8.84E-03 2.85E-03 8.67E-04 2.50E-04 6.82E-05 1.76E-05 4.30E-06 9.94E-07 2.18E-07
   3.25  0.435  2.04E+03 2.75E+03 3.05E+04 7.00E+01 2.00E+02 3.00E+02 3.60E+02 3.78E+02 3.57E+02 3.11E+02 2.50E+02 1.88E+02 1.33E+02 8.80E+01 5.49E+01 3.23E+01 1.79E+01 9.39E+00 4.66E+00 2.19E+00 9.71E-01 4.08E-01 1.63E-01 6.14E-02 2.20E-02 7.46E-03 2.40E-03 7.32E-04 2.12E-04 5.82E-05 1.52E-05 3.74E-06 8.78E-07
   3.50  0.451  3.07E+03 4.14E+03 4.69E+04 1.01E+02 2.88E+02 4.36E+02 5.27E+02 5.56E+02 5.32E+02 4.69E+02 3.84E+02 2.94E+02 2.11E+02 1.43E+02 9.13E+01 5.51E+01 3.15E+01 1.70E+01 8.71E+00 4.23E+00 1.95E+00 8.53E-01 3.54E-01 1.40E-01 5.23E-02 1.86E-02 6.30E-03 2.02E-03 6.18E-04 1.80E-04 4.96E-05 1.30E-05 3.25E-06
   3.75  0.467  4.63E+03 6.24E+03 7.21E+04 1.46E+02 4.17E+02 6.33E+02 7.70E+02 8.20E+02 7.92E+02 7.06E+02 5.86E+02 4.56E+02 3.34E+02 2.30E+02 1.50E+02 9.30E+01 5.45E+01 3.03E+01 1.60E+01 8.02E+00 3.82E+00 1.73E+00 7.47E-01 3.07E-01 1.20E-01 4.45E-02 1.58E-02 5.31E-03 1.71E-03 5.22E-04 1.52E-04 4.22E-05 1.12E-05
   4.00  0.482  6.98E+03 9.39E+03 1.11E+05 2.11E+02 6.05E+02 9.21E+02 1.13E+03 1.21E+03 1.18E+03 1.06E+03 8.93E+02 7.05E+02 5.25E+02 3.69E+02 2.46E+02 1.55E+02 9.32E+01 5.32E+01 2.88E+01 1.49E+01 7.33E+00 3.43E+00 1.53E+00 6.53E-01 2.65E-01 1.03E-01 3.79E-02 1.33E-02 4.49E-03 1.44E-03 4.41E-04 1.29E-04 3.59E-05
   4.25  0.497  1.05E+04 1.41E+04 1.70E+05 3.07E+02 8.80E+02 1.34E+03 1.65E+03 1.78E+03 1.75E+03 1.59E+03 1.36E+03 1.08E+03 8.18E+02 5.85E+02 3.97E+02 2.55E+02 1.56E+02 9.13E+01 5.07E+01 2.69E+01 1.36E+01 6.55E+00 3.01E+00 1.32E+00 5.56E-01 2.23E-01 8.54E-02 3.13E-02 1.09E-02 3.66E-03 1.17E-03 3.58E-04 1.04E-04
   4.50  0.512  1.58E+04 2.11E+04 2.57E+05 4.45E+02 1.28E+03 1.96E+03 2.42E+03 2.62E+03 2.59E+03 2.38E+03 2.04E+03 1.65E+03 1.26E+03 9.08E+02 6.24E+02 4.08E+02 2.54E+02 1.50E+02 8.51E+01 4.60E+01 2.37E+01 1.17E+01 5.50E+00 2.48E+00 1.07E+00 4.39E-01 1.73E-01 6.52E-02 2.35E-02 8.11E-03 2.68E-03 8.46E-04 2.56E-04
   4.75  0.526  2.36E+04 3.13E+04 3.86E+05 6.42E+02 1.85E+03 2.84E+03 3.51E+03 3.82E+03 3.80E+03 3.51E+03 3.03E+03 2.47E+03 1.90E+03 1.39E+03 9.67E+02 6.40E+02 4.04E+02 2.44E+02 1.40E+02 7.70E+01 4.05E+01 2.04E+01 9.79E+00 4.51E+00 1.98E+00 8.37E-01 3.38E-01 1.31E-01 4.85E-02 1.72E-02 5.86E-03 1.91E-03 5.97E-04
   5.00  0.539  3.51E+04 4.58E+04 5.73E+05 9.19E+02 2.65E+03 4.07E+03 5.05E+03 5.53E+03 5.52E+03 5.13E+03 4.46E+03 3.66E+03 2.85E+03 2.11E+03 1.48E+03 9.92E+02 6.35E+02 3.88E+02 2.27E+02 1.27E+02 6.77E+01 3.47E+01 1.70E+01 7.99E+00 3.60E+00 1.55E+00 6.41E-01 2.54E-01 9.67E-02 3.53E-02 1.23E-02 4.14E-03 1.33E-03
   5.50  0.566  8.32E+04 9.63E+04 1.23E+06 1.84E+03 5.32E+03 8.21E+03 1.02E+04 1.13E+04 1.14E+04 1.07E+04 9.41E+03 7.84E+03 6.20E+03 4.67E+03 3.35E+03 2.29E+03 1.50E+03 9.42E+02 5.66E+02 3.26E+02 1.80E+02 9.50E+01 4.82E+01 2.35E+01 1.10E+01 4.94E+00 2.13E+00 8.82E-01 3.51E-01 1.34E-01 4.94E-02 1.74E-02 5.91E-03
   6.00  0.591  1.81E+05 1.96E+05 2.56E+06 3.60E+03 1.04E+04 1.61E+04 2.02E+04 2.24E+04 2.28E+04 2.16E+04 1.92E+04 1.62E+04 1.30E+04 9.96E+03 7.27E+03 5.08E+03 3.40E+03 2.18E+03 1.34E+03 7.91E+02 4.48E+02 2.44E+02 1.28E+02 6.42E+01 3.11E+01 1.44E+01 6.46E+00 2.78E+00 1.15E+00 4.59E-01 1.76E-01 6.51E-02 2.31E-02
   6.50  0.615  3.76E+05 3.90E+05 5.19E+06 6.88E+03 1.99E+04 3.09E+04 3.89E+04 4.34E+04 4.45E+04 4.25E+04 3.82E+04 3.26E+04 2.65E+04 2.06E+04 1.52E+04 1.08E+04 7.38E+03 4.82E+03 3.03E+03 1.83E+03 1.06E+03 5.93E+02 3.19E+02 1.65E+02 8.21E+01 3.94E+01 1.82E+01 8.10E+00 3.48E+00 1.44E+00 5.73E-01 2.20E-01 8.14E-02
   7.00  0.638  7.54E+05 7.56E+05 1.03E+07 1.29E+04 3.73E+04 5.81E+04 7.34E+04 8.23E+04 8.48E+04 8.16E+04 7.41E+04 6.39E+04 5.25E+04 4.12E+04 3.10E+04 2.23E+04 1.55E+04 1.03E+04 6.59E+03 4.06E+03 2.41E+03 1.37E+03 7.56E+02 4.01E+02 2.05E+02 1.01E+02 4.81E+01 2.21E+01 9.77E+00 4.17E+00 1.72E+00 6.84E-01 2.63E-01
   7.50  0.661  1.47E+06 1.44E+06 1.98E+07 2.37E+04 6.86E+04 1.07E+05 1.36E+05 1.53E+05 1.58E+05 1.53E+05 1.41E+05 1.22E+05 1.01E+05 8.05E+04 6.13E+04 4.48E+04 3.15E+04 2.13E+04 1.38E+04 8.68E+03 5.25E+03 3.06E+03 1.72E+03 9.33E+02 4.88E+02 2.47E+02 1.21E+02 5.68E+01 2.59E+01 1.14E+01 4.83E+00 1.98E+00 7.86E-01
   8.00  0.682  2.81E+06 2.67E+06 3.74E+07 4.27E+04 1.24E+05 1.94E+05 2.47E+05 2.79E+05 2.90E+05 2.83E+05 2.61E+05 2.29E+05 1.92E+05 1.54E+05 1.18E+05 8.75E+04 6.23E+04 4.27E+04 2.82E+04 1.80E+04 1.11E+04 6.57E+03 3.76E+03 2.08E+03 1.11E+03 5.76E+02 2.88E+02 1.39E+02 6.49E+01 2.93E+01 1.28E+01 5.41E+00 2.21E+00
   8.50  0.703  5.25E+06 4.89E+06 6.95E+07 7.58E+04 2.21E+05 3.45E+05 4.40E+05 5.00E+05 5.23E+05 5.13E+05 4.76E+05 4.20E+05 3.55E+05 2.87E+05 2.23E+05 1.67E+05 1.20E+05 8.36E+04 5.60E+04 3.62E+04 2.26E+04 1.37E+04 7.97E+03 4.50E+03 2.45E+03 1.29E+03 6.60E+02 3.26E+02 1.56E+02 7.21E+01 3.23E+01 1.40E+01 5.87E+00
   9.00  0.724  9.65E+06 8.80E+06 1.27E+08 1.33E+05 3.86E+05 6.06E+05 7.75E+05 8.82E+05 9.27E+05 9.13E+05 8.53E+05 7.58E+05 6.45E+05 5.27E+05 4.14E+05 3.12E+05 2.28E+05 1.60E+05 1.09E+05 7.12E+04 4.51E+04 2.76E+04 1.64E+04 9.40E+03 5.22E+03 2.81E+03 1.46E+03 7.36E+02 3.59E+02 1.70E+02 7.78E+01 3.45E+01 1.48E+01
   9.50  0.744  1.74E+07 1.56E+07 2.27E+08 2.29E+05 6.68E+05 1.05E+06 1.34E+06 1.54E+06 1.62E+06 1.60E+06 1.50E+06 1.35E+06 1.15E+06 9.49E+05 7.52E+05 5.73E+05 4.22E+05 3.00E+05 2.06E+05 1.37E+05 8.78E+04 5.45E+04 3.28E+04 1.91E+04 1.08E+04 5.90E+03 3.12E+03 1.60E+03 7.99E+02 3.85E+02 1.80E+02 8.17E+01 3.60E+01
  10.00  0.763  3.11E+07 2.72E+07 4.02E+08 3.91E+05 1.14E+06 1.79E+06 2.30E+06 2.64E+06 2.79E+06 2.77E+06 2.62E+06 2.36E+06 2.03E+06 1.68E+06 1.34E+06 1.03E+06 7.68E+05 5.51E+05 3.83E+05 2.57E+05 1.67E+05 1.05E+05 6.41E+04 3.79E+04 2.17E+04 1.21E+04 6.50E+03 3.39E+03 1.72E+03 8.45E+02 4.03E+02 1.87E+02 8.38E+01
  11.00  0.800  1.11E+08 8.00E+07 1.21E+09 1.10E+06 3.20E+06 5.05E+06 6.51E+06 7.49E+06 7.98E+06 8.00E+06 7.61E+06 6.92E+06 6.04E+06 5.07E+06 4.11E+06 3.21E+06 2.42E+06 1.77E+06 1.25E+06 8.59E+05 5.71E+05 3.68E+05 2.30E+05 1.39E+05 8.21E+04 4.69E+04 2.60E+04 1.40E+04 7.34E+03 3.73E+03 1.84E+03 8.84E+02 4.12E+02
  12.00  0.836  3.36E+08 2.24E+08 3.46E+09 2.95E+06 8.62E+06 1.36E+07 1.76E+07 2.04E+07 2.18E+07 2.20E+07 2.11E+07 1.94E+07 1.71E+07 1.45E+07 1.19E+07 9.42E+06 7.22E+06 5.36E+06 3.86E+06 2.69E+06 1.82E+06 1.20E+06 7.66E+05 4.75E+05 2.86E+05 1.68E+05 9.55E+04 5.29E+04 2.85E+04 1.49E+04 7.58E+03 3.75E+03 1.81E+03
  13.00  0.870  9.40E+08 6.05E+08 9.51E+09 7.65E+06 2.24E+07 3.54E+07 4.60E+07 5.34E+07 5.75E+07 5.84E+07 5.64E+07 5.21E+07 4.64E+07 3.98E+07 3.29E+07 2.64E+07 2.05E+07 1.54E+07 1.13E+07 7.99E+06 5.51E+06 3.69E+06 2.40E+06 1.52E+06 9.34E+05 5.59E+05 3.26E+05 1.85E+05 1.02E+05 5.47E+04 2.86E+04 1.46E+04 7.22E+03
  14.00  0.903  2.51E+09 1.57E+09 2.52E+10 1.92E+07 5.62E+07 8.91E+07 1.16E+08 1.35E+08 1.46E+08 1.49E+08 1.45E+08 1.35E+08 1.21E+08 1.05E+08 8.76E+07 7.09E+07 5.57E+07 4.25E+07 3.14E+07 2.26E+07 1.58E+07 1.08E+07 7.11E+06 4.58E+06 2.87E+06 1.75E+06 1.04E+06 6.04E+05 3.40E+05 1.87E+05 1.00E+05 5.23E+04 2.66E+04
  15.00  0.934  6.46E+09 3.95E+09 6.43E+10 4.67E+07 1.37E+08 2.17E+08 2.83E+08 3.32E+08 3.60E+08 3.69E+08 3.61E+08 3.38E+08 3.05E+08 2.66E+08 2.25E+08 1.84E+08 1.46E+08 1.12E+08 8.41E+07 6.13E+07 4.34E+07 3.00E+07 2.01E+07 1.32E+07 8.40E+06 5.22E+06 3.16E+06 1.86E+06 1.07E+06 6.02E+05 3.29E+05 1.76E+05 9.15E+04
  16.00  0.965  1.61E+10 9.65E+09 1.60E+11 1.11E+08 3.24E+08 5.16E+08 6.74E+08 7.91E+08 8.62E+08 8.87E+08 8.71E+08 8.22E+08 7.47E+08 6.56E+08 5.58E+08 4.60E+08 3.69E+08 2.87E+08 2.17E+08 1.60E+08 1.15E+08 8.03E+07 5.47E+07 3.63E+07 2.35E+07 1.48E+07 9.13E+06 5.48E+06 3.21E+06 1.84E+06 1.02E+06 5.57E+05 2.96E+05
  17.00  0.995  3.91E+10 2.29E+10 3.85E+11 2.56E+08 7.50E+08 1.19E+09 1.56E+09 1.84E+09 2.01E+09 2.08E+09 2.05E+09 1.94E+09 1.78E+09 1.57E+09 1.35E+09 1.12E+09 9.04E+08 7.10E+08 5.43E+08 4.04E+08 2.93E+08 2.08E+08 1.43E+08 9.63E+07 6.32E+07 4.04E+07 2.53E+07 1.54E+07 9.18E+06 5.34E+06 3.03E+06 1.68E+06 9.10E+05
  18.00  1.023  9.23E+10 5.33E+10 9.06E+11 5.77E+08 1.69E+09 2.70E+09 3.55E+09 4.18E+09 4.58E+09 4.75E+09 4.71E+09 4.49E+09 4.12E+09 3.67E+09 3.16E+09 2.65E+09 2.16E+09 1.71E+09 1.32E+09 9.91E+08 7.27E+08 5.20E+08 3.62E+08 2.47E+08 1.64E+08 1.06E+08 6.74E+07 4.17E+07 2.52E+07 1.49E+07 8.59E+06 4.84E+06 2.67E+06
  19.00  1.051  2.13E+11 1.21E+11 2.08E+12 1.28E+09 3.75E+09 5.99E+09 7.87E+09 9.30E+09 1.02E+10 1.06E+10 1.06E+10 1.01E+10 9.35E+09 8.37E+09 7.26E+09 6.12E+09 5.02E+09 4.01E+09 3.12E+09 2.36E+09 1.75E+09 1.26E+09 8.90E+08 6.13E+08 4.12E+08 2.71E+08 1.74E+08 1.09E+08 6.67E+07 4.00E+07 2.34E+07 1.34E+07 7.51E+06
  20.00  1.079  4.82E+11 2.69E+11 4.69E+12 2.77E+09 8.14E+09 1.30E+10 1.71E+10 2.03E+10 2.24E+10 2.33E+10 2.33E+10 2.24E+10 2.08E+10 1.87E+10 1.63E+10 1.38E+10 1.14E+10 9.17E+09 7.19E+09 5.50E+09 4.11E+09 2.99E+09 2.13E+09 1.48E+09 1.01E+09 6.68E+08 4.34E+08 2.75E+08 1.71E+08 1.04E+08 6.17E+07 3.58E+07 2.04E+07
  22.50  1.144  5.06E+12 1.83E+12 3.28E+13 1.78E+10 5.24E+10 8.41E+10 1.11E+11 1.32E+11 1.46E+11 1.54E+11 1.55E+11 1.50E+11 1.41E+11 1.28E+11 1.13E+11 9.71E+10 8.13E+10 6.64E+10 5.30E+10 4.13E+10 3.14E+10 2.33E+10 1.70E+10 1.21E+10 8.40E+09 5.72E+09 3.81E+09 2.49E+09 1.59E+09 9.93E+08 6.08E+08 3.64E+08 2.14E+08
  25.00  1.206  3.32E+13 1.13E+13 2.07E+14 1.04E+11 3.07E+11 4.94E+11 6.54E+11 7.80E+11 8.69E+11 9.19E+11 9.31E+11 9.09E+11 8.60E+11 7.89E+11 7.04E+11 6.13E+11 5.20E+11 4.30E+11 3.48E+11 2.75E+11 2.13E+11 1.61E+11 1.19E+11 8.64E+10 6.14E+10 4.27E+10 2.91E+10 1.94E+10 1.27E+10 8.13E+09 5.11E+09 3.15E+09 1.90E+09
  30.00  1.321  1.71E+15 3.35E+14 6.43E+15 2.85E+12 8.39E+12 1.35E+13 1.80E+13 2.16E+13 2.42E+13 2.59E+13 2.65E+13 2.62E+13 2.51E+13 2.34E+13 2.13E+13 1.88E+13 1.63E+13 1.38E+13 1.14E+13 9.26E+12 7.35E+12 5.72E+12 4.36E+12 3.26E+12 2.39E+12 1.72E+12 1.21E+12 8.41E+11 5.72E+11 3.82E+11 2.50E+11 1.61E+11 1.02E+11
  40.00  1.526  1.44E+18 1.44E+17 2.96E+18 1.07E+15 3.15E+15 5.10E+15 6.83E+15 8.27E+15 9.39E+15 1.02E+16 1.06E+16 1.06E+16 1.04E+16 9.90E+15 9.21E+15 8.38E+15 7.46E+15 6.51E+15 5.57E+15 4.68E+15 3.85E+15 3.12E+15 2.48E+15 1.94E+15 1.49E+15 1.12E+15 8.33E+14 6.09E+14 4.37E+14 3.09E+14 2.15E+14 1.47E+14 9.88E+13
  50.00  1.706  3.17E+20 3.15E+19 6.84E+20 2.10E+17 6.21E+17 1.01E+18 1.36E+18 1.65E+18 1.89E+18 2.06E+18 2.17E+18 2.21E+18 2.19E+18 2.12E+18 2.00E+18 1.85E+18 1.68E+18 1.50E+18 1.31E+18 1.13E+18 9.55E+17 7.94E+17 6.50E+17 5.23E+17 4.15E+17 3.24E+17 2.49E+17 1.88E+17 1.40E+17 1.03E+17 7.47E+16 5.33E+16 3.75E+16
  60.00  1.869  4.30E+22 4.27E+21 9.68E+22 2.60E+19 7.70E+19 1.25E+20 1.69E+20 2.07E+20 2.38E+20 2.61E+20 2.77E+20 2.85E+20 2.85E+20 2.79E+20 2.67E+20 2.51E+20 2.31E+20 2.09E+20 1.86E+20 1.63E+20 1.41E+20 1.19E+20 9.97E+19 8.21E+19 6.66E+19 5.33E+19 4.21E+19 3.27E+19 2.51E+19 1.90E+19 1.42E+19 1.04E+19 7.58E+18
  70.00  2.018  4.04E+24 4.00E+23 9.42E+24 2.26E+21 6.71E+21 1.09E+22 1.48E+22 1.82E+22 2.10E+22 2.32E+22 2.47E+22 2.56E+22 2.58E+22 2.55E+22 2.46E+22 2.34E+22 2.18E+22 2.00E+22 1.80E+22 1.60E+22 1.40E+22 1.21E+22 1.03E+22 8.60E+21 7.11E+21 5.80E+21 4.67E+21 3.71E+21 2.91E+21 2.25E+21 1.72E+21 1.30E+21 9.68E+20
  80.00  2.158  2.84E+26 2.80E+25 6.81E+26 1.48E+23 4.40E+23 7.19E+23 9.75E+23 1.20E+24 1.39E+24 1.54E+24 1.65E+24 1.72E+24 1.75E+24 1.74E+24 1.69E+24 1.62E+24 1.53E+24 1.41E+24 1.29E+24 1.16E+24 1.02E+24 8.94E+23 7.71E+23 6.55E+23 5.50E+23 4.56E+23 3.73E+23 3.01E+23 2.41E+23 1.90E+23 1.48E+23 1.14E+23 8.66E+22
  90.00  2.288  1.57E+28 1.54E+27 3.85E+28 7.70E+24 2.29E+25 3.74E+25 5.08E+25 6.27E+25 7.29E+25 8.11E+25 8.73E+25 9.13E+25 9.32E+25 9.32E+25 9.15E+25 8.82E+25 8.36E+25 7.80E+25 7.18E+25 6.51E+25 5.82E+25 5.14E+25 4.48E+25 3.85E+25 3.27E+25 2.75E+25 2.28E+25 1.87E+25 1.51E+25 1.21E+25 9.60E+24 7.52E+24 5.82E+24
 100.00  2.412  7.06E+29 6.90E+28 1.77E+30 3.28E+26 9.75E+26 1.59E+27 2.17E+27 2.68E+27 3.13E+27 3.49E+27 3.77E+27 3.96E+27 4.06E+27 4.08E+27 4.03E+27 3.90E+27 3.73E+27 3.50E+27 3.25E+27 2.97E+27 2.68E+27 2.39E+27 2.10E+27 1.82E+27 1.57E+27 1.33E+27 1.12E+27 9.26E+26 7.60E+26 6.17E+26 4.95E+26 3.93E+26 3.09E+26
 110.00  2.530  2.67E+31 2.60E+30 6.83E+31 1.18E+28 3.50E+28 5.73E+28 7.81E+28 9.68E+28 1.13E+29 1.27E+29 1.37E+29 1.44E+29 1.49E+29 1.50E+29 1.49E+29 1.45E+29 1.39E+29 1.32E+29 1.23E+29 1.13E+29 1.03E+29 9.23E+28 8.19E+28 7.18E+28 6.22E+28 5.33E+28 4.52E+28 3.79E+28 3.14E+28 2.58E+28 2.10E+28 1.68E+28 1.34E+28
 120.00  2.643  8.66E+32 8.40E+31 2.25E+33 3.65E+29 1.08E+30 1.78E+30 2.42E+30 3.01E+30 3.52E+30 3.95E+30 4.29E+30 4.53E+30 4.69E+30 4.75E+30 4.73E+30 4.63E+30 4.46E+30 4.24E+30 3.98E+30 3.69E+30 3.37E+30 3.05E+30 2.72E+30 2.41E+30 2.10E+30 1.82E+30 1.55E+30 1.31E+30 1.10E+30 9.13E+29 7.49E+29 6.08E+29 4.89E+29
 130.00  2.750  2.46E+34 2.37E+33 6.48E+34 9.90E+30 2.95E+31 4.83E+31 6.59E+31 8.20E+31 9.61E+31 1.08E+32 1.18E+32 1.25E+32 1.29E+32 1.31E+32 1.31E+32 1.29E+32 1.25E+32 1.19E+32 1.13E+32 1.05E+32 9.64E+31 8.77E+31 7.88E+31 7.01E+31 6.17E+31 5.37E+31 4.63E+31 3.95E+31 3.33E+31 2.79E+31 2.31E+31 1.89E+31 1.54E+31
 140.00  2.854  6.18E+35 5.94E+34 1.65E+36 2.39E+32 7.12E+32 1.17E+33 1.59E+33 1.99E+33 2.33E+33 2.62E+33 2.86E+33 3.04E+33 3.16E+33 3.22E+33 3.23E+33 3.19E+33 3.10E+33 2.97E+33 2.82E+33 2.64E+33 2.44E+33 2.23E+33 2.02E+33 1.80E+33 1.60E+33 1.40E+33 1.21E+33 1.04E+33 8.87E+32 7.48E+32 6.24E+32 5.16E+32 4.23E+32
