                    ************************************************************************************************
                    *  Z= 50 A=118: Positive-Parity Spin-dependent Level Density [MeV-1] for Sn118 and ldmodel= 1  *
 180.00  3.451  6.96E+38 6.52E+37 1.92E+39 2.31E+35 6.88E+35 1.13E+36 1.55E+36 1.94E+36 2.28E+36 2.59E+36 2.84E+36 3.04E+36 3.19E+36 3.28E+36 3.33E+36 3.32E+36 3.27E+36 3.18E+36 3.06E+36 2.90E+36 2.73E+36 2.54E+36 2.34E+36 2.13E+36 1.93E+36 1.73E+36 1.53E+36 1.35E+36 1.17E+36 1.01E+36 8.69E+35 7.38E+35 6.22E+35
 190.00  3.546  1.02E+40 9.50E+38 2.84E+40 3.28E+36 9.76E+36 1.60E+37 2.20E+37 2.75E+37 3.25E+37 3.68E+37 4.05E+37 4.34E+37 4.56E+37 4.71E+37 4.78E+37 4.78E+37 4.72E+37 4.60E+37 4.44E+37 4.23E+37 3.99E+37 3.72E+37 3.44E+37 3.15E+37 2.86E+37 2.57E+37 2.29E+37 2.02E+37 1.77E+37 1.54E+37 1.33E+37 1.13E+37 9.59E+36
 200.00  3.638  1.40E+41 1.29E+40 3.91E+41 4.35E+37 1.30E+38 2.13E+38 2.92E+38 3.66E+38 4.32E+38 4.91E+38 5.40E+38 5.80E+38 6.10E+38 6.31E+38 6.42E+38 6.43E+38 6.37E+38 6.22E+38 6.01E+38 5.75E+38 5.44E+38 5.09E+38 4.72E+38 4.34E+38 3.95E+38 3.57E+38 3.19E+38 2.83E+38 2.49E+38 2.17E+38 1.88E+38 1.61E+38 1.37E+38

                    ************************************************************************************************
                    *  Z= 50 A=118: Negative-Parity Spin-dependent Level Density [MeV-1] for Sn118 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.129  1.00E-01 4.01E-01 2.88E+00 2.41E-02 6.40E-02 8.35E-02 8.11E-02 6.40E-02 4.25E-02 2.41E-02 1.18E-02 5.05E-03 1.88E-03 6.14E-04 1.76E-04 4.41E-05 9.74E-06 1.89E-06 3.24E-07 4.90E-08 6.52E-09 7.65E-10 7.93E-11 7.25E-12 5.86E-13 4.18E-14 2.63E-15 1.47E-16 7.21E-18 3.14E-19 1.20E-20 4.09E-22 1.23E-23
   0.50  0.182  2.47E-01 5.86E-01 4.21E+00 3.52E-02 9.36E-02 1.22E-01 1.19E-01 9.36E-02 6.21E-02 3.53E-02 1.73E-02 7.39E-03 2.75E-03 8.98E-04 2.57E-04 6.45E-05 1.42E-05 2.77E-06 4.74E-07 7.16E-08 9.53E-09 1.12E-09 1.16E-10 1.06E-11 8.57E-13 6.11E-14 3.85E-15 2.14E-16 1.05E-17 4.59E-19 1.76E-20 5.98E-22 1.80E-23
   0.75  0.223  4.61E-01 8.57E-01 6.15E+00 5.15E-02 1.37E-01 1.79E-01 1.73E-01 1.37E-01 9.08E-02 5.16E-02 2.53E-02 1.08E-02 4.03E-03 1.31E-03 3.75E-04 9.43E-05 2.08E-05 4.05E-06 6.94E-07 1.05E-07 1.39E-08 1.64E-09 1.70E-10 1.55E-11 1.25E-12 8.94E-14 5.63E-15 3.14E-16 1.54E-17 6.71E-19 2.58E-20 8.75E-22 2.63E-23
   1.00  0.257  7.74E-01 1.25E+00 8.99E+00 7.54E-02 2.00E-01 2.61E-01 2.54E-01 2.00E-01 1.33E-01 7.55E-02 3.70E-02 1.58E-02 5.89E-03 1.92E-03 5.49E-04 1.38E-04 3.05E-05 5.92E-06 1.01E-06 1.53E-07 2.04E-08 2.39E-09 2.48E-10 2.27E-11 1.83E-12 1.31E-13 8.24E-15 4.59E-16 2.26E-17 9.81E-19 3.77E-20 1.28E-21 3.84E-23
   1.25  0.288  1.23E+00 1.83E+00 1.32E+01 1.10E-01 2.93E-01 3.82E-01 3.71E-01 2.93E-01 1.94E-01 1.10E-01 5.42E-02 2.31E-02 8.61E-03 2.81E-03 8.03E-04 2.02E-04 4.45E-05 8.66E-06 1.48E-06 2.24E-07 2.98E-08 3.50E-09 3.63E-10 3.32E-11 2.68E-12 1.91E-13 1.20E-14 6.71E-16 3.30E-17 1.43E-18 5.51E-20 1.87E-21 5.62E-23
   1.50  0.315  1.90E+00 2.68E+00 1.92E+01 1.61E-01 4.28E-01 5.59E-01 5.42E-01 4.28E-01 2.84E-01 1.61E-01 7.92E-02 3.38E-02 1.26E-02 4.11E-03 1.17E-03 2.95E-04 6.51E-05 1.27E-05 2.17E-06 3.27E-07 4.36E-08 5.12E-09 5.30E-10 4.85E-11 3.92E-12 2.80E-13 1.76E-14 9.81E-16 4.82E-17 2.10E-18 8.06E-20 2.74E-21 8.21E-23
   1.75  0.340  2.88E+00 3.92E+00 2.81E+01 2.36E-01 6.26E-01 8.17E-01 7.93E-01 6.26E-01 4.15E-01 2.36E-01 1.16E-01 4.94E-02 1.84E-02 6.00E-03 1.72E-03 4.31E-04 9.53E-05 1.85E-05 3.17E-06 4.79E-07 6.37E-08 7.48E-09 7.76E-10 7.10E-11 5.73E-12 4.09E-13 2.58E-14 1.43E-15 7.06E-17 3.07E-18 1.18E-19 4.00E-21 1.20E-22
   2.00  0.364  4.32E+00 5.73E+00 4.11E+01 3.45E-01 9.15E-01 1.19E+00 1.16E+00 9.15E-01 6.07E-01 3.45E-01 1.69E-01 7.23E-02 2.69E-02 8.78E-03 2.51E-03 6.31E-04 1.39E-04 2.71E-05 4.64E-06 7.00E-07 9.32E-08 1.09E-08 1.13E-09 1.04E-10 8.38E-12 5.98E-13 3.77E-14 2.10E-15 1.03E-16 4.49E-18 1.72E-19 5.85E-21 1.76E-22
   2.25  0.386  6.41E+00 8.39E+00 6.02E+01 5.04E-01 1.34E+00 1.75E+00 1.70E+00 1.34E+00 8.88E-01 5.05E-01 2.48E-01 1.06E-01 3.94E-02 1.28E-02 3.67E-03 9.22E-04 2.04E-04 3.96E-05 6.78E-06 1.02E-06 1.36E-07 1.60E-08 1.66E-09 1.52E-10 1.23E-11 8.74E-13 5.51E-14 3.07E-15 1.51E-16 6.56E-18 2.52E-19 8.56E-21 2.57E-22
   2.50  0.407  9.48E+00 1.23E+01 8.80E+01 7.37E-01 1.96E+00 2.56E+00 2.48E+00 1.96E+00 1.30E+00 7.38E-01 3.62E-01 1.55E-01 5.76E-02 1.88E-02 5.37E-03 1.35E-03 2.98E-04 5.79E-05 9.92E-06 1.50E-06 1.99E-07 2.34E-08 2.43E-09 2.22E-10 1.79E-11 1.28E-12 8.06E-14 4.49E-15 2.21E-16 9.59E-18 3.69E-19 1.25E-20 3.76E-22
   2.75  0.427  1.40E+01 1.79E+01 1.31E+02 1.03E+00 2.76E+00 3.64E+00 3.59E+00 2.89E+00 1.97E+00 1.15E+00 5.87E-01 2.61E-01 1.02E-01 3.50E-02 1.06E-02 2.83E-03 6.68E-04 1.40E-04 2.58E-05 4.24E-06 6.16E-07 7.93E-08 9.07E-09 9.20E-10 8.28E-11 6.62E-12 4.70E-13 2.96E-14 1.66E-15 8.23E-17 3.64E-18 1.43E-19 4.98E-21
   3.00  0.446  2.05E+01 2.62E+01 2.03E+02 1.36E+00 3.68E+00 4.96E+00 5.07E+00 4.28E+00 3.09E+00 1.94E+00 1.07E+00 5.24E-01 2.27E-01 8.77E-02 3.02E-02 9.29E-03 2.56E-03 6.29E-04 1.39E-04 2.74E-05 4.87E-06 7.74E-07 1.11E-07 1.42E-08 1.63E-09 1.69E-10 1.57E-11 1.31E-12 9.82E-14 6.62E-15 4.01E-16 2.18E-17 1.07E-18
   3.25  0.464  3.01E+01 3.84E+01 3.11E+02 1.81E+00 4.94E+00 6.80E+00 7.15E+00 6.27E+00 4.75E+00 3.16E+00 1.87E+00 9.85E-01 4.66E-01 1.98E-01 7.56E-02 2.61E-02 8.13E-03 2.29E-03 5.83E-04 1.34E-04 2.80E-05 5.30E-06 9.08E-07 1.41E-07 1.99E-08 2.53E-09 2.93E-10 3.08E-11 2.94E-12 2.54E-13 1.99E-14 1.42E-15 9.18E-17
   3.50  0.481  4.41E+01 5.61E+01 4.75E+02 2.43E+00 6.68E+00 9.34E+00 1.01E+01 9.11E+00 7.18E+00 5.02E+00 3.13E+00 1.76E+00 8.95E-01 4.12E-01 1.72E-01 6.53E-02 2.26E-02 7.10E-03 2.04E-03 5.34E-04 1.28E-04 2.78E-05 5.55E-06 1.01E-06 1.68E-07 2.56E-08 3.56E-09 4.53E-10 5.27E-11 5.61E-12 5.46E-13 4.86E-14 3.96E-15
   3.75  0.498  6.46E+01 8.20E+01 7.23E+02 3.28E+00 9.09E+00 1.29E+01 1.41E+01 1.32E+01 1.07E+01 7.81E+00 5.11E+00 3.03E+00 1.64E+00 8.06E-01 3.62E-01 1.49E-01 5.63E-02 1.95E-02 6.19E-03 1.81E-03 4.84E-04 1.19E-04 2.70E-05 5.64E-06 1.08E-06 1.91E-07 3.10E-08 4.64E-09 6.39E-10 8.10E-11 9.47E-12 1.02E-12 1.01E-13
   4.00  0.514  9.46E+01 1.20E+02 1.10E+03 4.46E+00 1.24E+01 1.78E+01 1.99E+01 1.89E+01 1.59E+01 1.20E+01 8.17E+00 5.08E+00 2.89E+00 1.51E+00 7.22E-01 3.18E-01 1.30E-01 4.86E-02 1.68E-02 5.39E-03 1.59E-03 4.36E-04 1.10E-04 2.58E-05 5.59E-06 1.12E-06 2.08E-07 3.58E-08 5.69E-09 8.39E-10 1.15E-10 1.45E-11 1.70E-12
   4.25  0.530  1.38E+02 1.75E+02 1.66E+03 6.09E+00 1.70E+01 2.47E+01 2.80E+01 2.72E+01 2.34E+01 1.82E+01 1.28E+01 8.31E+00 4.94E+00 2.71E+00 1.37E+00 6.43E-01 2.79E-01 1.12E-01 4.20E-02 1.46E-02 4.69E-03 1.40E-03 3.90E-04 1.01E-04 2.43E-05 5.44E-06 1.13E-06 2.20E-07 3.96E-08 6.66E-09 1.04E-09 1.51E-10 2.05E-11
   4.50  0.546  2.03E+02 2.57E+02 2.51E+03 8.36E+00 2.35E+01 3.43E+01 3.94E+01 3.90E+01 3.43E+01 2.73E+01 1.99E+01 1.33E+01 8.25E+00 4.73E+00 2.51E+00 1.24E+00 5.71E-01 2.44E-01 9.74E-02 3.62E-02 1.26E-02 4.07E-03 1.23E-03 3.48E-04 9.18E-05 2.26E-05 5.22E-06 1.12E-06 2.26E-07 4.26E-08 7.49E-09 1.23E-09 1.90E-10
   4.75  0.561  2.96E+02 3.75E+02 3.78E+03 1.15E+01 3.25E+01 4.78E+01 5.56E+01 5.58E+01 5.01E+01 4.08E+01 3.06E+01 2.11E+01 1.35E+01 8.05E+00 4.47E+00 2.31E+00 1.12E+00 5.05E-01 2.13E-01 8.45E-02 3.13E-02 1.09E-02 3.54E-03 1.08E-03 3.09E-04 8.30E-05 2.09E-05 4.94E-06 1.09E-06 2.28E-07 4.45E-08 8.17E-09 1.41E-09
   5.00  0.575  4.34E+02 5.49E+02 5.69E+03 1.59E+01 4.50E+01 6.67E+01 7.84E+01 7.98E+01 7.28E+01 6.06E+01 4.65E+01 3.30E+01 2.18E+01 1.34E+01 7.75E+00 4.18E+00 2.11E+00 1.00E+00 4.46E-01 1.86E-01 7.32E-02 2.70E-02 9.40E-03 3.07E-03 9.45E-04 2.74E-04 7.46E-05 1.91E-05 4.63E-06 1.05E-06 2.26E-07 4.56E-08 8.67E-09
   5.50  0.603  1.02E+03 1.17E+03 1.28E+04 3.06E+01 8.72E+01 1.31E+02 1.56E+02 1.63E+02 1.53E+02 1.32E+02 1.05E+02 7.85E+01 5.47E+01 3.57E+01 2.19E+01 1.27E+01 6.92E+00 3.56E+00 1.73E+00 7.95E-01 3.45E-01 1.42E-01 5.50E-02 2.02E-02 7.02E-03 2.31E-03 7.21E-04 2.13E-04 5.96E-05 1.58E-05 3.96E-06 9.42E-07 2.12E-07
   6.00  0.630  2.27E+03 2.51E+03 2.88E+04 5.96E+01 1.70E+02 2.58E+02 3.13E+02 3.33E+02 3.20E+02 2.84E+02 2.35E+02 1.81E+02 1.32E+02 9.04E+01 5.85E+01 3.59E+01 2.08E+01 1.14E+01 5.98E+00 2.96E+00 1.39E+00 6.24E-01 2.65E-01 1.07E-01 4.12E-02 1.51E-02 5.25E-03 1.74E-03 5.48E-04 1.64E-04 4.70E-05 1.28E-05 3.31E-06
   6.50  0.656  4.96E+03 5.36E+03 6.41E+04 1.17E+02 3.37E+02 5.14E+02 6.30E+02 6.80E+02 6.67E+02 6.06E+02 5.14E+02 4.10E+02 3.08E+02 2.20E+02 1.48E+02 9.51E+01 5.80E+01 3.37E+01 1.86E+01 9.81E+00 4.93E+00 2.36E+00 1.08E+00 4.71E-01 1.96E-01 7.82E-02 2.97E-02 1.08E-02 3.74E-03 1.24E-03 3.93E-04 1.19E-04 3.44E-05
   7.00  0.681  1.06E+04 1.12E+04 1.38E+05 2.32E+02 6.69E+02 1.03E+03 1.27E+03 1.38E+03 1.37E+03 1.26E+03 1.09E+03 8.83E+02 6.78E+02 4.94E+02 3.43E+02 2.26E+02 1.42E+02 8.52E+01 4.88E+01 2.67E+01 1.39E+01 6.96E+00 3.33E+00 1.52E+00 6.66E-01 2.79E-01 1.12E-01 4.29E-02 1.58E-02 5.55E-03 1.87E-03 6.05E-04 1.87E-04
   7.50  0.704  2.19E+04 2.28E+04 2.86E+05 4.49E+02 1.29E+03 1.99E+03 2.48E+03 2.72E+03 2.72E+03 2.54E+03 2.22E+03 1.83E+03 1.43E+03 1.06E+03 7.54E+02 5.09E+02 3.29E+02 2.03E+02 1.19E+02 6.74E+01 3.65E+01 1.89E+01 9.37E+00 4.46E+00 2.03E+00 8.90E-01 3.73E-01 1.50E-01 5.81E-02 2.15E-02 7.66E-03 2.62E-03 8.58E-04
   8.00  0.728  4.44E+04 4.49E+04 5.78E+05 8.47E+02 2.45E+03 3.78E+03 4.72E+03 5.22E+03 5.27E+03 4.96E+03 4.39E+03 3.68E+03 2.92E+03 2.21E+03 1.59E+03 1.10E+03 7.25E+02 4.58E+02 2.77E+02 1.61E+02 8.95E+01 4.78E+01 2.45E+01 1.21E+01 5.71E+00 2.59E+00 1.13E+00 4.75E-01 1.92E-01 7.43E-02 2.77E-02 9.93E-03 3.42E-03
   8.50  0.750  8.75E+04 8.63E+04 1.13E+06 1.56E+03 4.53E+03 7.01E+03 8.80E+03 9.78E+03 9.97E+03 9.47E+03 8.47E+03 7.17E+03 5.77E+03 4.43E+03 3.25E+03 2.28E+03 1.54E+03 9.92E+02 6.14E+02 3.65E+02 2.08E+02 1.14E+02 6.04E+01 3.06E+01 1.50E+01 7.03E+00 3.18E+00 1.38E+00 5.79E-01 2.33E-01 9.06E-02 3.39E-02 1.22E-02
   9.00  0.772  1.69E+05 1.62E+05 2.17E+06 2.84E+03 8.22E+03 1.28E+04 1.61E+04 1.80E+04 1.84E+04 1.77E+04 1.59E+04 1.36E+04 1.11E+04 8.65E+03 6.44E+03 4.60E+03 3.15E+03 2.07E+03 1.31E+03 7.94E+02 4.64E+02 2.61E+02 1.41E+02 7.36E+01 3.70E+01 1.79E+01 8.33E+00 3.74E+00 1.62E+00 6.77E-01 2.73E-01 1.06E-01 3.96E-02
   9.50  0.793  3.19E+05 3.00E+05 4.08E+06 5.05E+03 1.47E+04 2.28E+04 2.89E+04 3.24E+04 3.34E+04 3.23E+04 2.94E+04 2.54E+04 2.09E+04 1.65E+04 1.24E+04 9.00E+03 6.26E+03 4.18E+03 2.69E+03 1.67E+03 9.93E+02 5.71E+02 3.16E+02 1.69E+02 8.69E+01 4.32E+01 2.07E+01 9.56E+00 4.27E+00 1.84E+00 7.64E-01 3.07E-01 1.19E-01
  10.00  0.813  5.90E+05 5.43E+05 7.51E+06 8.86E+03 2.57E+04 4.02E+04 5.10E+04 5.75E+04 5.96E+04 5.79E+04 5.31E+04 4.63E+04 3.85E+04 3.07E+04 2.34E+04 1.72E+04 1.21E+04 8.22E+03 5.37E+03 3.38E+03 2.05E+03 1.20E+03 6.80E+02 3.71E+02 1.96E+02 9.95E+01 4.89E+01 2.32E+01 1.06E+01 4.71E+00 2.02E+00 8.35E-01 3.34E-01
  11.00  0.853  2.29E+06 1.70E+06 2.42E+07 2.61E+04 7.59E+04 1.19E+05 1.52E+05 1.72E+05 1.81E+05 1.77E+05 1.65E+05 1.46E+05 1.23E+05 1.00E+05 7.80E+04 5.85E+04 4.23E+04 2.95E+04 1.98E+04 1.29E+04 8.07E+03 4.89E+03 2.86E+03 1.62E+03 8.89E+02 4.71E+02 2.42E+02 1.20E+02 5.77E+01 2.68E+01 1.21E+01 5.27E+00 2.23E+00
  12.00  0.891  7.29E+06 5.00E+06 7.32E+07 7.31E+04 2.13E+05 3.35E+05 4.29E+05 4.90E+05 5.18E+05 5.13E+05 4.82E+05 4.32E+05 3.71E+05 3.06E+05 2.43E+05 1.85E+05 1.37E+05 9.74E+04 6.71E+04 4.47E+04 2.88E+04 1.79E+04 1.08E+04 6.34E+03 3.59E+03 1.97E+03 1.05E+03 5.41E+02 2.70E+02 1.31E+02 6.16E+01 2.81E+01 1.24E+01
  13.00  0.927  2.13E+07 1.40E+07 2.11E+08 1.96E+05 5.71E+05 9.00E+05 1.16E+06 1.33E+06 1.42E+06 1.41E+06 1.34E+06 1.22E+06 1.06E+06 8.83E+05 7.11E+05 5.52E+05 4.15E+05 3.01E+05 2.12E+05 1.44E+05 9.49E+04 6.06E+04 3.76E+04 2.26E+04 1.32E+04 7.44E+03 4.09E+03 2.18E+03 1.13E+03 5.66E+02 2.76E+02 1.31E+02 6.01E+01
  14.00  0.962  5.91E+07 3.78E+07 5.79E+08 5.04E+05 1.47E+06 2.33E+06 3.01E+06 3.47E+06 3.71E+06 3.74E+06 3.57E+06 3.27E+06 2.87E+06 2.43E+06 1.98E+06 1.56E+06 1.19E+06 8.78E+05 6.28E+05 4.36E+05 2.93E+05 1.91E+05 1.21E+05 7.46E+04 4.46E+04 2.59E+04 1.46E+04 8.00E+03 4.26E+03 2.21E+03 1.11E+03 5.44E+02 2.59E+02
  15.00  0.996  1.57E+08 9.78E+07 1.53E+09 1.26E+06 3.67E+06 5.81E+06 7.53E+06 8.73E+06 9.39E+06 9.50E+06 9.16E+06 8.45E+06 7.49E+06 6.40E+06 5.28E+06 4.21E+06 3.26E+06 2.44E+06 1.77E+06 1.25E+06 8.55E+05 5.69E+05 3.68E+05 2.31E+05 1.41E+05 8.38E+04 4.84E+04 2.72E+04 1.49E+04 7.91E+03 4.10E+03 2.07E+03 1.01E+03
  16.00  1.029  4.02E+08 2.45E+08 3.90E+09 3.03E+06 8.87E+06 1.41E+07 1.83E+07 2.13E+07 2.30E+07 2.34E+07 2.27E+07 2.11E+07 1.88E+07 1.62E+07 1.35E+07 1.09E+07 8.55E+06 6.49E+06 4.78E+06 3.42E+06 2.38E+06 1.61E+06 1.06E+06 6.77E+05 4.22E+05 2.56E+05 1.51E+05 8.67E+04 4.85E+04 2.64E+04 1.40E+04 7.26E+03 3.66E+03
  17.00  1.061  9.97E+08 5.95E+08 9.62E+09 7.11E+06 2.08E+07 3.31E+07 4.31E+07 5.04E+07 5.46E+07 5.59E+07 5.45E+07 5.10E+07 4.59E+07 3.99E+07 3.36E+07 2.74E+07 2.16E+07 1.66E+07 1.24E+07 8.99E+06 6.34E+06 4.35E+06 2.91E+06 1.89E+06 1.20E+06 7.40E+05 4.45E+05 2.61E+05 1.49E+05 8.30E+04 4.51E+04 2.39E+04 1.23E+04
  18.00  1.091  2.40E+09 1.40E+09 2.31E+10 1.63E+07 4.77E+07 7.59E+07 9.91E+07 1.16E+08 1.26E+08 1.30E+08 1.27E+08 1.20E+08 1.09E+08 9.52E+07 8.08E+07 6.64E+07 5.30E+07 4.11E+07 3.10E+07 2.28E+07 1.63E+07 1.13E+07 7.67E+06 5.07E+06 3.26E+06 2.05E+06 1.25E+06 7.48E+05 4.35E+05 2.47E+05 1.37E+05 7.41E+04 3.91E+04
  19.00  1.121  5.64E+09 3.24E+09 5.40E+10 3.64E+07 1.07E+08 1.70E+08 2.23E+08 2.61E+08 2.85E+08 2.95E+08 2.90E+08 2.75E+08 2.51E+08 2.21E+08 1.89E+08 1.57E+08 1.26E+08 9.88E+07 7.53E+07 5.59E+07 4.04E+07 2.84E+07 1.95E+07 1.31E+07 8.54E+06 5.44E+06 3.38E+06 2.05E+06 1.22E+06 7.03E+05 3.97E+05 2.19E+05 1.18E+05
  20.00  1.150  1.29E+10 7.29E+09 1.23E+11 7.97E+07 2.34E+08 3.73E+08 4.89E+08 5.76E+08 6.31E+08 6.54E+08 6.47E+08 6.15E+08 5.64E+08 5.01E+08 4.31E+08 3.60E+08 2.92E+08 2.31E+08 1.78E+08 1.33E+08 9.73E+07 6.93E+07 4.82E+07 3.26E+07 2.16E+07 1.40E+07 8.80E+06 5.42E+06 3.26E+06 1.92E+06 1.10E+06 6.16E+05 3.38E+05
  22.50  1.220  1.40E+11 5.07E+10 8.86E+11 5.20E+08 1.53E+09 2.45E+09 3.22E+09 3.81E+09 4.20E+09 4.39E+09 4.39E+09 4.22E+09 3.92E+09 3.52E+09 3.08E+09 2.61E+09 2.16E+09 1.74E+09 1.37E+09 1.05E+09 7.82E+08 5.71E+08 4.07E+08 2.83E+08 1.93E+08 1.28E+08 8.35E+07 5.31E+07 3.31E+07 2.01E+07 1.20E+07 6.98E+06 3.98E+06
  25.00  1.286  9.31E+11 3.16E+11 5.69E+12 3.07E+09 9.03E+09 1.45E+10 1.91E+10 2.27E+10 2.52E+10 2.65E+10 2.67E+10 2.59E+10 2.43E+10 2.21E+10 1.96E+10 1.68E+10 1.41E+10 1.15E+10 9.22E+09 7.19E+09 5.48E+09 4.08E+09 2.97E+09 2.12E+09 1.48E+09 1.01E+09 6.73E+08 4.40E+08 2.81E+08 1.76E+08 1.08E+08 6.51E+07 3.83E+07
  30.00  1.409  4.83E+13 9.47E+12 1.79E+14 8.35E+10 2.46E+11 3.96E+11 5.26E+11 6.30E+11 7.05E+11 7.49E+11 7.64E+11 7.51E+11 7.16E+11 6.64E+11 5.98E+11 5.26E+11 4.52E+11 3.79E+11 3.11E+11 2.49E+11 1.96E+11 1.51E+11 1.14E+11 8.38E+10 6.07E+10 4.30E+10 2.99E+10 2.04E+10 1.37E+10 8.98E+09 5.78E+09 3.65E+09 2.27E+09
  40.00  1.627  3.95E+16 3.94E+15 8.02E+16 2.99E+13 8.85E+13 1.43E+14 1.91E+14 2.31E+14 2.62E+14 2.83E+14 2.93E+14 2.94E+14 2.87E+14 2.72E+14 2.52E+14 2.29E+14 2.03E+14 1.76E+14 1.50E+14 1.25E+14 1.02E+14 8.22E+13 6.49E+13 5.03E+13 3.83E+13 2.87E+13 2.11E+13 1.53E+13 1.09E+13 7.62E+12 5.24E+12 3.55E+12 2.36E+12
  50.00  1.819  8.13E+18 8.09E+17 1.74E+19 5.48E+15 1.62E+16 2.63E+16 3.53E+16 4.30E+16 4.92E+16 5.36E+16 5.62E+16 5.71E+16 5.65E+16 5.46E+16 5.15E+16 4.75E+16 4.30E+16 3.82E+16 3.33E+16 2.86E+16 2.41E+16 1.99E+16 1.62E+16 1.30E+16 1.03E+16 7.97E+15 6.09E+15 4.59E+15 3.40E+15 2.48E+15 1.79E+15 1.27E+15 8.84E+14
  60.00  1.992  1.02E+21 1.01E+20 2.27E+21 6.23E+17 1.84E+18 3.00E+18 4.05E+18 4.95E+18 5.69E+18 6.24E+18 6.61E+18 6.78E+18 6.78E+18 6.62E+18 6.33E+18 5.94E+18 5.46E+18 4.93E+18 4.38E+18 3.83E+18 3.29E+18 2.78E+18 2.32E+18 1.90E+18 1.54E+18 1.23E+18 9.65E+17 7.48E+17 5.72E+17 4.31E+17 3.20E+17 2.35E+17 1.70E+17
  70.00  2.152  8.74E+22 8.64E+21 2.03E+23 4.93E+19 1.46E+20 2.38E+20 3.22E+20 3.96E+20 4.57E+20 5.04E+20 5.37E+20 5.55E+20 5.60E+20 5.52E+20 5.33E+20 5.05E+20 4.71E+20 4.31E+20 3.88E+20 3.44E+20 3.00E+20 2.58E+20 2.19E+20 1.83E+20 1.51E+20 1.23E+20 9.89E+19 7.83E+19 6.13E+19 4.73E+19 3.61E+19 2.71E+19 2.02E+19
  80.00  2.301  5.58E+24 5.49E+23 1.33E+25 2.93E+21 8.70E+21 1.42E+22 1.92E+22 2.37E+22 2.75E+22 3.04E+22 3.26E+22 3.39E+22 3.44E+22 3.42E+22 3.33E+22 3.18E+22 2.99E+22 2.77E+22 2.52E+22 2.26E+22 2.00E+22 1.75E+22 1.50E+22 1.28E+22 1.07E+22 8.84E+21 7.22E+21 5.83E+21 4.64E+21 3.66E+21 2.84E+21 2.19E+21 1.66E+21
  90.00  2.440  2.79E+26 2.74E+25 6.84E+26 1.38E+23 4.09E+23 6.67E+23 9.07E+23 1.12E+24 1.30E+24 1.45E+24 1.56E+24 1.63E+24 1.66E+24 1.66E+24 1.63E+24 1.57E+24 1.49E+24 1.39E+24 1.27E+24 1.16E+24 1.03E+24 9.11E+23 7.93E+23 6.82E+23 5.79E+23 4.85E+23 4.02E+23 3.29E+23 2.67E+23 2.13E+23 1.69E+23 1.32E+23 1.02E+23
 100.00  2.572  1.14E+28 1.11E+27 2.85E+28 5.30E+24 1.57E+25 2.57E+25 3.50E+25 4.33E+25 5.05E+25 5.63E+25 6.08E+25 6.39E+25 6.55E+25 6.58E+25 6.49E+25 6.29E+25 6.00E+25 5.64E+25 5.22E+25 4.77E+25 4.31E+25 3.83E+25 3.37E+25 2.93E+25 2.51E+25 2.13E+25 1.79E+25 1.48E+25 1.22E+25 9.86E+24 7.91E+24 6.27E+24 4.92E+24
 110.00  2.698  3.90E+29 3.79E+28 9.94E+29 1.72E+26 5.11E+26 8.37E+26 1.14E+27 1.41E+27 1.65E+27 1.85E+27 2.00E+27 2.11E+27 2.17E+27 2.19E+27 2.17E+27 2.12E+27 2.03E+27 1.92E+27 1.79E+27 1.65E+27 1.50E+27 1.34E+27 1.19E+27 1.04E+27 9.05E+26 7.75E+26 6.57E+26 5.51E+26 4.57E+26 3.75E+26 3.04E+26 2.44E+26 1.94E+26
 120.00  2.818  1.15E+31 1.11E+30 2.97E+31 4.82E+27 1.43E+28 2.35E+28 3.20E+28 3.97E+28 4.65E+28 5.22E+28 5.66E+28 5.99E+28 6.19E+28 6.27E+28 6.24E+28 6.11E+28 5.89E+28 5.60E+28 5.25E+28 4.87E+28 4.45E+28 4.02E+28 3.59E+28 3.18E+28 2.77E+28 2.40E+28 2.05E+28 1.73E+28 1.45E+28 1.20E+28 9.87E+27 8.02E+27 6.45E+27
 130.00  2.933  2.95E+32 2.84E+31 7.75E+32 1.18E+29 3.52E+29 5.77E+29 7.88E+29 9.80E+29 1.15E+30 1.29E+30 1.41E+30 1.49E+30 1.54E+30 1.57E+30 1.57E+30 1.54E+30 1.49E+30 1.43E+30 1.35E+30 1.25E+30 1.15E+30 1.05E+30 9.44E+29 8.39E+29 7.38E+29 6.43E+29 5.54E+29 4.73E+29 3.99E+29 3.34E+29 2.76E+29 2.27E+29 1.84E+29
 140.00  3.043  6.74E+33 6.45E+32 1.79E+34 2.59E+30 7.71E+30 1.27E+31 1.73E+31 2.15E+31 2.53E+31 2.85E+31 3.10E+31 3.30E+31 3.43E+31 3.50E+31 3.50E+31 3.46E+31 3.36E+31 3.23E+31 3.06E+31 2.86E+31 2.65E+31 2.42E+31 2.19E+31 1.96E+31 1.74E+31 1.52E+31 1.32E+31 1.13E+31 9.66E+30 8.14E+30 6.80E+30 5.62E+30 4.61E+30
