                    ************************************************************************************************
                    *  Z= 49 A=119: Positive-Parity Spin-dependent Level Density [MeV-1] for In119 and ldmodel= 1  *
 170.00  3.040  1.00E+41 9.52E+39 2.71E+41 7.28E+37 1.44E+38 2.12E+38 2.75E+38 3.32E+38 3.82E+38 4.24E+38 4.57E+38 4.82E+38 4.98E+38 5.05E+38 5.04E+38 4.96E+38 4.82E+38 4.62E+38 4.37E+38 4.10E+38 3.79E+38 3.47E+38 3.15E+38 2.82E+38 2.51E+38 2.20E+38 1.92E+38 1.66E+38 1.42E+38 1.20E+38 1.01E+38 8.39E+37 6.92E+37
 180.00  3.128  1.91E+42 1.81E+41 5.21E+42 1.34E+39 2.66E+39 3.91E+39 5.08E+39 6.14E+39 7.07E+39 7.86E+39 8.49E+39 8.97E+39 9.28E+39 9.44E+39 9.45E+39 9.33E+39 9.08E+39 8.73E+39 8.30E+39 7.79E+39 7.24E+39 6.66E+39 6.06E+39 5.46E+39 4.87E+39 4.30E+39 3.77E+39 3.27E+39 2.81E+39 2.40E+39 2.02E+39 1.69E+39 1.41E+39
 190.00  3.214  3.36E+43 3.17E+42 9.27E+43 2.30E+40 4.54E+40 6.69E+40 8.69E+40 1.05E+41 1.21E+41 1.35E+41 1.46E+41 1.54E+41 1.60E+41 1.63E+41 1.64E+41 1.62E+41 1.58E+41 1.53E+41 1.45E+41 1.37E+41 1.28E+41 1.18E+41 1.08E+41 9.74E+40 8.73E+40 7.75E+40 6.82E+40 5.95E+40 5.14E+40 4.40E+40 3.74E+40 3.15E+40 2.63E+40
 200.00  3.297  5.51E+44 5.18E+43 1.53E+45 3.65E+41 7.23E+41 1.07E+42 1.39E+42 1.68E+42 1.94E+42 2.16E+42 2.34E+42 2.48E+42 2.57E+42 2.63E+42 2.64E+42 2.62E+42 2.56E+42 2.48E+42 2.37E+42 2.24E+42 2.10E+42 1.94E+42 1.78E+42 1.62E+42 1.45E+42 1.30E+42 1.14E+42 1.00E+42 8.70E+41 7.49E+41 6.39E+41 5.41E+41 4.54E+41

                    ************************************************************************************************
                    *  Z= 49 A=119: Negative-Parity Spin-dependent Level Density [MeV-1] for In119 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.117  2.57E-01 1.03E+00 7.36E+00 1.19E-01 1.98E-01 2.18E-01 1.89E-01 1.36E-01 8.31E-02 4.36E-02 1.98E-02 7.85E-03 2.71E-03 8.21E-04 2.18E-04 5.08E-05 1.04E-05 1.88E-06 2.98E-07 4.17E-08 5.14E-09 5.58E-10 5.35E-11 4.52E-12 3.37E-13 2.22E-14 1.29E-15 6.62E-17 3.00E-18 1.20E-19 4.23E-21 1.32E-22 3.64E-24
   0.50  0.165  6.88E-01 1.72E+00 1.23E+01 1.99E-01 3.31E-01 3.65E-01 3.17E-01 2.28E-01 1.39E-01 7.30E-02 3.32E-02 1.31E-02 4.54E-03 1.37E-03 3.65E-04 8.50E-05 1.74E-05 3.14E-06 4.99E-07 6.98E-08 8.60E-09 9.34E-10 8.95E-11 7.57E-12 5.64E-13 3.72E-14 2.16E-15 1.11E-16 5.01E-18 2.01E-19 7.08E-21 2.21E-22 6.09E-24
   0.75  0.202  1.41E+00 2.88E+00 2.06E+01 3.33E-01 5.54E-01 6.11E-01 5.30E-01 3.81E-01 2.33E-01 1.22E-01 5.55E-02 2.20E-02 7.60E-03 2.30E-03 6.10E-04 1.42E-04 2.92E-05 5.26E-06 8.35E-07 1.17E-07 1.44E-08 1.56E-09 1.50E-10 1.27E-11 9.45E-13 6.22E-14 3.61E-15 1.85E-16 8.39E-18 3.36E-19 1.19E-20 3.70E-22 1.02E-23
   1.00  0.233  2.62E+00 4.82E+00 3.45E+01 5.58E-01 9.28E-01 1.02E+00 8.87E-01 6.38E-01 3.89E-01 2.04E-01 9.29E-02 3.68E-02 1.27E-02 3.85E-03 1.02E-03 2.38E-04 4.88E-05 8.80E-06 1.40E-06 1.95E-07 2.41E-08 2.62E-09 2.51E-10 2.12E-11 1.58E-12 1.04E-13 6.05E-15 3.10E-16 1.40E-17 5.62E-19 1.98E-20 6.19E-22 1.71E-23
   1.25  0.261  4.63E+00 8.07E+00 5.92E+01 8.91E-01 1.50E+00 1.67E+00 1.48E+00 1.09E+00 6.90E-01 3.76E-01 1.79E-01 7.43E-02 2.72E-02 8.74E-03 2.48E-03 6.22E-04 1.38E-04 2.71E-05 4.71E-06 7.25E-07 9.90E-08 1.20E-08 1.29E-09 1.23E-10 1.04E-11 7.79E-13 5.19E-14 3.07E-15 1.62E-16 7.55E-18 3.13E-19 1.15E-20 3.78E-22
   1.50  0.286  8.01E+00 1.35E+01 1.04E+02 1.36E+00 2.32E+00 2.67E+00 2.45E+00 1.90E+00 1.28E+00 7.48E-01 3.86E-01 1.77E-01 7.17E-02 2.59E-02 8.37E-03 2.41E-03 6.22E-04 1.43E-04 2.96E-05 5.49E-06 9.10E-07 1.35E-07 1.81E-08 2.16E-09 2.32E-10 2.24E-11 1.94E-12 1.51E-13 1.05E-14 6.61E-16 3.72E-17 1.88E-18 8.57E-20
   1.75  0.308  1.37E+01 2.26E+01 1.82E+02 2.08E+00 3.61E+00 4.25E+00 4.04E+00 3.26E+00 2.30E+00 1.43E+00 7.92E-01 3.92E-01 1.74E-01 6.92E-02 2.48E-02 8.02E-03 2.34E-03 6.17E-04 1.47E-04 3.17E-05 6.17E-06 1.09E-06 1.74E-07 2.51E-08 3.29E-09 3.90E-10 4.19E-11 4.08E-12 3.61E-13 2.89E-14 2.09E-15 1.38E-16 8.21E-18
   2.00  0.330  2.31E+01 3.78E+01 3.18E+02 3.22E+00 5.64E+00 6.77E+00 6.61E+00 5.54E+00 4.07E+00 2.66E+00 1.56E+00 8.25E-01 3.93E-01 1.70E-01 6.67E-02 2.37E-02 7.69E-03 2.27E-03 6.09E-04 1.49E-04 3.32E-05 6.76E-06 1.25E-06 2.13E-07 3.29E-08 4.64E-09 5.98E-10 7.04E-11 7.57E-12 7.43E-13 6.67E-14 5.47E-15 4.10E-16
   2.25  0.350  3.90E+01 6.33E+01 5.53E+02 5.01E+00 8.85E+00 1.08E+01 1.08E+01 9.32E+00 7.11E+00 4.85E+00 2.99E+00 1.67E+00 8.48E-01 3.92E-01 1.66E-01 6.42E-02 2.27E-02 7.37E-03 2.19E-03 5.98E-04 1.50E-04 3.44E-05 7.26E-06 1.41E-06 2.51E-07 4.10E-08 6.17E-09 8.54E-10 1.09E-10 1.27E-11 1.37E-12 1.35E-13 1.23E-14
   2.50  0.369  6.55E+01 1.06E+02 9.59E+02 7.83E+00 1.40E+01 1.73E+01 1.76E+01 1.56E+01 1.23E+01 8.69E+00 5.58E+00 3.27E+00 1.75E+00 8.62E-01 3.89E-01 1.62E-01 6.18E-02 2.17E-02 7.06E-03 2.12E-03 5.85E-04 1.49E-04 3.52E-05 7.67E-06 1.54E-06 2.87E-07 4.93E-08 7.84E-09 1.15E-09 1.57E-10 1.97E-11 2.29E-12 2.46E-13
   2.75  0.387  1.10E+02 1.77E+02 1.66E+03 1.23E+01 2.21E+01 2.77E+01 2.87E+01 2.60E+01 2.10E+01 1.54E+01 1.02E+01 6.26E+00 3.52E+00 1.82E+00 8.70E-01 3.84E-01 1.57E-01 5.94E-02 2.08E-02 6.77E-03 2.04E-03 5.71E-04 1.48E-04 3.57E-05 7.99E-06 1.66E-06 3.21E-07 5.76E-08 9.60E-09 1.49E-09 2.14E-10 2.87E-11 3.57E-12
   3.00  0.404  1.84E+02 2.97E+02 2.87E+03 1.94E+01 3.50E+01 4.43E+01 4.67E+01 4.31E+01 3.57E+01 2.69E+01 1.85E+01 1.17E+01 6.87E+00 3.72E+00 1.87E+00 8.72E-01 3.78E-01 1.52E-01 5.71E-02 1.99E-02 6.49E-03 1.97E-03 5.56E-04 1.46E-04 3.60E-05 8.25E-06 1.76E-06 3.52E-07 6.56E-08 1.14E-08 1.85E-09 2.81E-10 3.97E-11
   3.25  0.420  3.08E+02 4.97E+02 4.94E+03 3.06E+01 5.56E+01 7.12E+01 7.60E+01 7.13E+01 6.03E+01 4.66E+01 3.30E+01 2.16E+01 1.31E+01 7.42E+00 3.89E+00 1.91E+00 8.70E-01 3.71E-01 1.48E-01 5.49E-02 1.91E-02 6.22E-03 1.89E-03 5.40E-04 1.44E-04 3.60E-05 8.44E-06 1.85E-06 3.80E-07 7.33E-08 1.32E-08 2.24E-09 3.54E-10
   3.50  0.436  5.16E+02 8.32E+02 8.50E+03 4.85E+01 8.87E+01 1.14E+02 1.24E+02 1.18E+02 1.02E+02 8.02E+01 5.84E+01 3.94E+01 2.47E+01 1.45E+01 7.89E+00 4.03E+00 1.93E+00 8.63E-01 3.62E-01 1.43E-01 5.27E-02 1.83E-02 5.96E-03 1.82E-03 5.24E-04 1.42E-04 3.59E-05 8.57E-06 1.92E-06 4.06E-07 8.04E-08 1.50E-08 2.63E-09
   3.75  0.451  8.64E+02 1.39E+03 1.46E+04 7.72E+01 1.42E+02 1.84E+02 2.01E+02 1.95E+02 1.71E+02 1.37E+02 1.02E+02 7.08E+01 4.58E+01 2.77E+01 1.56E+01 8.31E+00 4.14E+00 1.94E+00 8.54E-01 3.54E-01 1.38E-01 5.07E-02 1.75E-02 5.71E-03 1.75E-03 5.08E-04 1.39E-04 3.57E-05 8.65E-06 1.98E-06 4.28E-07 8.71E-08 1.67E-08
   4.00  0.466  1.44E+03 2.31E+03 2.48E+04 1.23E+02 2.26E+02 2.96E+02 3.26E+02 3.19E+02 2.83E+02 2.32E+02 1.76E+02 1.24E+02 8.23E+01 5.10E+01 2.97E+01 1.63E+01 8.39E+00 4.07E+00 1.86E+00 8.05E-01 3.28E-01 1.26E-01 4.58E-02 1.57E-02 5.08E-03 1.56E-03 4.50E-04 1.23E-04 3.18E-05 7.78E-06 1.80E-06 3.93E-07 8.13E-08
   4.25  0.481  2.38E+03 3.77E+03 4.13E+04 1.92E+02 3.56E+02 4.68E+02 5.20E+02 5.13E+02 4.61E+02 3.83E+02 2.95E+02 2.13E+02 1.44E+02 9.12E+01 5.44E+01 3.06E+01 1.63E+01 8.15E+00 3.86E+00 1.73E+00 7.30E-01 2.92E-01 1.11E-01 3.97E-02 1.35E-02 4.33E-03 1.32E-03 3.80E-04 1.04E-04 2.69E-05 6.60E-06 1.54E-06 3.38E-07
   4.50  0.495  3.90E+03 6.05E+03 6.75E+04 2.98E+02 5.53E+02 7.31E+02 8.16E+02 8.13E+02 7.39E+02 6.21E+02 4.86E+02 3.56E+02 2.45E+02 1.58E+02 9.68E+01 5.58E+01 3.04E+01 1.57E+01 7.63E+00 3.53E+00 1.54E+00 6.40E-01 2.52E-01 9.39E-02 3.32E-02 1.12E-02 3.55E-03 1.07E-03 3.08E-04 8.40E-05 2.17E-05 5.34E-06 1.25E-06
   4.75  0.508  6.29E+03 9.59E+03 1.09E+05 4.56E+02 8.48E+02 1.13E+03 1.27E+03 1.27E+03 1.17E+03 9.91E+02 7.85E+02 5.84E+02 4.08E+02 2.69E+02 1.68E+02 9.87E+01 5.50E+01 2.91E+01 1.46E+01 6.92E+00 3.12E+00 1.34E+00 5.43E-01 2.10E-01 7.71E-02 2.69E-02 8.93E-03 2.82E-03 8.44E-04 2.41E-04 6.53E-05 1.69E-05 4.14E-06
   5.00  0.521  1.00E+04 1.50E+04 1.73E+05 6.91E+02 1.29E+03 1.72E+03 1.94E+03 1.96E+03 1.81E+03 1.56E+03 1.25E+03 9.41E+02 6.67E+02 4.47E+02 2.84E+02 1.70E+02 9.69E+01 5.24E+01 2.69E+01 1.31E+01 6.07E+00 2.68E+00 1.12E+00 4.48E-01 1.70E-01 6.14E-02 2.11E-02 6.93E-03 2.16E-03 6.42E-04 1.82E-04 4.90E-05 1.26E-05
   5.50  0.547  2.77E+04 3.53E+04 4.20E+05 1.54E+03 2.88E+03 3.86E+03 4.41E+03 4.51E+03 4.23E+03 3.70E+03 3.03E+03 2.33E+03 1.70E+03 1.17E+03 7.66E+02 4.75E+02 2.81E+02 1.58E+02 8.44E+01 4.30E+01 2.09E+01 9.69E+00 4.28E+00 1.81E+00 7.26E-01 2.79E-01 1.02E-01 3.58E-02 1.20E-02 3.82E-03 1.17E-03 3.39E-04 9.44E-05
   6.00  0.571  6.77E+04 7.99E+04 9.75E+05 3.30E+03 6.20E+03 8.37E+03 9.63E+03 9.95E+03 9.47E+03 8.39E+03 6.99E+03 5.49E+03 4.08E+03 2.88E+03 1.94E+03 1.24E+03 7.53E+02 4.37E+02 2.42E+02 1.28E+02 6.49E+01 3.13E+01 1.45E+01 6.40E+00 2.70E+00 1.09E+00 4.23E-01 1.56E-01 5.54E-02 1.88E-02 6.10E-03 1.90E-03 5.64E-04
   6.50  0.594  1.55E+05 1.74E+05 2.18E+06 6.88E+03 1.30E+04 1.76E+04 2.04E+04 2.12E+04 2.04E+04 1.83E+04 1.55E+04 1.24E+04 9.37E+03 6.75E+03 4.63E+03 3.03E+03 1.90E+03 1.13E+03 6.47E+02 3.54E+02 1.85E+02 9.27E+01 4.45E+01 2.05E+01 9.01E+00 3.81E+00 1.54E+00 5.98E-01 2.23E-01 7.95E-02 2.72E-02 8.95E-03 2.82E-03
   7.00  0.617  3.39E+05 3.68E+05 4.70E+06 1.39E+04 2.63E+04 3.59E+04 4.18E+04 4.39E+04 4.26E+04 3.87E+04 3.31E+04 2.68E+04 2.06E+04 1.51E+04 1.06E+04 7.09E+03 4.53E+03 2.78E+03 1.63E+03 9.15E+02 4.93E+02 2.55E+02 1.26E+02 6.02E+01 2.75E+01 1.21E+01 5.08E+00 2.06E+00 7.99E-01 2.99E-01 1.07E-01 3.69E-02 1.22E-02
   7.50  0.638  7.17E+05 7.57E+05 9.85E+06 2.76E+04 5.21E+04 7.13E+04 8.35E+04 8.83E+04 8.64E+04 7.92E+04 6.85E+04 5.62E+04 4.39E+04 3.27E+04 2.33E+04 1.59E+04 1.04E+04 6.48E+03 3.89E+03 2.24E+03 1.24E+03 6.59E+02 3.36E+02 1.65E+02 7.79E+01 3.53E+01 1.54E+01 6.47E+00 2.61E+00 1.01E+00 3.79E-01 1.37E-01 4.73E-02
   8.00  0.659  1.47E+06 1.51E+06 2.01E+07 5.32E+04 1.01E+05 1.38E+05 1.63E+05 1.73E+05 1.71E+05 1.58E+05 1.38E+05 1.15E+05 9.06E+04 6.84E+04 4.95E+04 3.43E+04 2.28E+04 1.45E+04 8.90E+03 5.24E+03 2.97E+03 1.62E+03 8.46E+02 4.27E+02 2.07E+02 9.68E+01 4.36E+01 1.89E+01 7.89E+00 3.18E+00 1.23E+00 4.60E-01 1.66E-01
   8.50  0.680  2.96E+06 2.96E+06 3.99E+07 1.01E+05 1.91E+05 2.63E+05 3.11E+05 3.33E+05 3.30E+05 3.08E+05 2.71E+05 2.27E+05 1.82E+05 1.39E+05 1.02E+05 7.17E+04 4.84E+04 3.14E+04 1.96E+04 1.18E+04 6.80E+03 3.79E+03 2.03E+03 1.05E+03 5.22E+02 2.51E+02 1.16E+02 5.18E+01 2.23E+01 9.26E+00 3.71E+00 1.43E+00 5.35E-01
   9.00  0.699  5.80E+06 5.68E+06 7.77E+07 1.87E+05 3.56E+05 4.91E+05 5.82E+05 6.26E+05 6.25E+05 5.86E+05 5.21E+05 4.41E+05 3.56E+05 2.76E+05 2.04E+05 1.46E+05 9.98E+04 6.58E+04 4.17E+04 2.55E+04 1.50E+04 8.53E+03 4.67E+03 2.47E+03 1.26E+03 6.18E+02 2.93E+02 1.34E+02 5.95E+01 2.54E+01 1.05E+01 4.18E+00 1.61E+00
   9.50  0.719  1.11E+07 1.07E+07 1.48E+08 3.42E+05 6.51E+05 9.00E+05 1.07E+06 1.16E+06 1.16E+06 1.10E+06 9.81E+05 8.37E+05 6.82E+05 5.33E+05 4.00E+05 2.89E+05 2.00E+05 1.34E+05 8.63E+04 5.36E+04 3.21E+04 1.86E+04 1.04E+04 5.58E+03 2.90E+03 1.46E+03 7.09E+02 3.33E+02 1.51E+02 6.62E+01 2.80E+01 1.15E+01 4.55E+00
  10.00  0.737  2.10E+07 1.97E+07 2.78E+08 6.14E+05 1.17E+06 1.62E+06 1.94E+06 2.10E+06 2.12E+06 2.01E+06 1.81E+06 1.56E+06 1.28E+06 1.01E+06 7.66E+05 5.59E+05 3.93E+05 2.66E+05 1.74E+05 1.09E+05 6.66E+04 3.91E+04 2.22E+04 1.22E+04 6.47E+03 3.32E+03 1.65E+03 7.90E+02 3.66E+02 1.64E+02 7.14E+01 3.00E+01 1.22E+01
  11.00  0.773  8.50E+07 6.40E+07 9.26E+08 1.90E+06 3.63E+06 5.05E+06 6.06E+06 6.61E+06 6.73E+06 6.45E+06 5.89E+06 5.13E+06 4.28E+06 3.43E+06 2.65E+06 1.97E+06 1.42E+06 9.81E+05 6.56E+05 4.24E+05 2.66E+05 1.61E+05 9.41E+04 5.33E+04 2.93E+04 1.56E+04 8.01E+03 3.99E+03 1.93E+03 9.02E+02 4.09E+02 1.80E+02 7.66E+01
  12.00  0.808  2.82E+08 1.97E+08 2.91E+09 5.57E+06 1.07E+07 1.49E+07 1.80E+07 1.97E+07 2.02E+07 1.96E+07 1.80E+07 1.59E+07 1.34E+07 1.09E+07 8.58E+06 6.49E+06 4.74E+06 3.35E+06 2.29E+06 1.51E+06 9.70E+05 6.02E+05 3.62E+05 2.11E+05 1.19E+05 6.53E+04 3.47E+04 1.79E+04 8.94E+03 4.34E+03 2.04E+03 9.33E+02 4.14E+02
  13.00  0.841  8.58E+08 5.76E+08 8.70E+09 1.56E+07 3.00E+07 4.20E+07 5.09E+07 5.62E+07 5.80E+07 5.65E+07 5.26E+07 4.68E+07 4.00E+07 3.30E+07 2.62E+07 2.01E+07 1.49E+07 1.07E+07 7.47E+06 5.04E+06 3.30E+06 2.09E+06 1.29E+06 7.68E+05 4.45E+05 2.50E+05 1.37E+05 7.25E+04 3.74E+04 1.87E+04 9.10E+03 4.30E+03 1.97E+03
  14.00  0.872  2.47E+09 1.61E+09 2.49E+10 4.22E+07 8.11E+07 1.14E+08 1.38E+08 1.54E+08 1.59E+08 1.56E+08 1.47E+08 1.32E+08 1.14E+08 9.47E+07 7.62E+07 5.92E+07 4.46E+07 3.25E+07 2.30E+07 1.58E+07 1.05E+07 6.80E+06 4.27E+06 2.60E+06 1.54E+06 8.89E+05 4.97E+05 2.71E+05 1.43E+05 7.37E+04 3.69E+04 1.79E+04 8.49E+03
  15.00  0.903  6.83E+09 4.35E+09 6.82E+10 1.10E+08 2.12E+08 2.98E+08 3.63E+08 4.04E+08 4.22E+08 4.16E+08 3.93E+08 3.56E+08 3.10E+08 2.61E+08 2.12E+08 1.67E+08 1.27E+08 9.40E+07 6.75E+07 4.70E+07 3.18E+07 2.09E+07 1.34E+07 8.31E+06 5.02E+06 2.95E+06 1.69E+06 9.41E+05 5.10E+05 2.69E+05 1.38E+05 6.89E+04 3.35E+04
  16.00  0.933  1.82E+10 1.13E+10 1.81E+11 2.77E+08 5.34E+08 7.53E+08 9.21E+08 1.03E+09 1.08E+09 1.07E+09 1.02E+09 9.27E+08 8.15E+08 6.91E+08 5.67E+08 4.51E+08 3.48E+08 2.60E+08 1.89E+08 1.34E+08 9.17E+07 6.13E+07 3.98E+07 2.52E+07 1.55E+07 9.28E+06 5.41E+06 3.08E+06 1.70E+06 9.17E+05 4.82E+05 2.46E+05 1.23E+05
  17.00  0.961  4.68E+10 2.87E+10 4.64E+11 6.79E+08 1.31E+09 1.85E+09 2.27E+09 2.55E+09 2.68E+09 2.67E+09 2.55E+09 2.34E+09 2.07E+09 1.77E+09 1.47E+09 1.18E+09 9.17E+08 6.94E+08 5.10E+08 3.65E+08 2.54E+08 1.72E+08 1.13E+08 7.28E+07 4.55E+07 2.77E+07 1.65E+07 9.53E+06 5.37E+06 2.96E+06 1.58E+06 8.28E+05 4.22E+05
  18.00  0.989  1.17E+11 7.04E+10 1.16E+12 1.62E+09 3.13E+09 4.43E+09 5.45E+09 6.13E+09 6.47E+09 6.49E+09 6.22E+09 5.74E+09 5.11E+09 4.40E+09 3.68E+09 2.98E+09 2.34E+09 1.79E+09 1.33E+09 9.61E+08 6.77E+08 4.64E+08 3.10E+08 2.02E+08 1.28E+08 7.93E+07 4.79E+07 2.82E+07 1.62E+07 9.05E+06 4.94E+06 2.64E+06 1.37E+06
  19.00  1.016  2.86E+11 1.68E+11 2.80E+12 3.78E+09 7.30E+09 1.04E+10 1.27E+10 1.44E+10 1.52E+10 1.53E+10 1.48E+10 1.37E+10 1.23E+10 1.07E+10 8.96E+09 7.31E+09 5.79E+09 4.47E+09 3.35E+09 2.45E+09 1.74E+09 1.21E+09 8.19E+08 5.40E+08 3.47E+08 2.18E+08 1.34E+08 7.98E+07 4.65E+07 2.65E+07 1.47E+07 7.99E+06 4.23E+06
  20.00  1.043  6.80E+11 3.94E+11 6.64E+12 8.61E+09 1.67E+10 2.36E+10 2.92E+10 3.30E+10 3.51E+10 3.55E+10 3.43E+10 3.20E+10 2.88E+10 2.51E+10 2.13E+10 1.75E+10 1.40E+10 1.09E+10 8.23E+09 6.07E+09 4.37E+09 3.06E+09 2.09E+09 1.40E+09 9.10E+08 5.79E+08 3.59E+08 2.18E+08 1.29E+08 7.45E+07 4.21E+07 2.32E+07 1.25E+07
  22.50  1.106  8.19E+12 3.01E+12 5.22E+13 6.20E+10 1.20E+11 1.71E+11 2.12E+11 2.41E+11 2.58E+11 2.63E+11 2.57E+11 2.42E+11 2.21E+11 1.95E+11 1.68E+11 1.40E+11 1.14E+11 9.01E+10 6.96E+10 5.24E+10 3.85E+10 2.77E+10 1.94E+10 1.33E+10 8.89E+09 5.82E+09 3.72E+09 2.33E+09 1.42E+09 8.50E+08 4.97E+08 2.84E+08 1.59E+08
  25.00  1.166  5.94E+13 2.05E+13 3.65E+14 4.01E+11 7.79E+11 1.11E+12 1.38E+12 1.58E+12 1.70E+12 1.75E+12 1.72E+12 1.64E+12 1.51E+12 1.35E+12 1.17E+12 9.91E+11 8.17E+11 6.57E+11 5.16E+11 3.96E+11 2.96E+11 2.17E+11 1.55E+11 1.09E+11 7.44E+10 4.99E+10 3.27E+10 2.10E+10 1.32E+10 8.10E+09 4.88E+09 2.88E+09 1.66E+09
  30.00  1.277  3.70E+15 7.27E+14 1.36E+16 1.30E+13 2.54E+13 3.64E+13 4.55E+13 5.24E+13 5.70E+13 5.91E+13 5.90E+13 5.69E+13 5.33E+13 4.85E+13 4.29E+13 3.71E+13 3.13E+13 2.58E+13 2.08E+13 1.64E+13 1.27E+13 9.57E+12 7.08E+12 5.13E+12 3.65E+12 2.54E+12 1.73E+12 1.16E+12 7.60E+11 4.89E+11 3.09E+11 1.91E+11 1.16E+11
  40.00  1.474  4.16E+18 4.16E+17 8.32E+18 6.48E+15 1.26E+16 1.82E+16 2.30E+16 2.68E+16 2.95E+16 3.11E+16 3.16E+16 3.11E+16 2.98E+16 2.78E+16 2.53E+16 2.25E+16 1.96E+16 1.68E+16 1.40E+16 1.15E+16 9.25E+15 7.30E+15 5.66E+15 4.31E+15 3.22E+15 2.37E+15 1.71E+15 1.21E+15 8.45E+14 5.79E+14 3.90E+14 2.58E+14 1.68E+14
  50.00  1.649  1.15E+21 1.15E+20 2.43E+21 1.60E+18 3.14E+18 4.54E+18 5.77E+18 6.77E+18 7.52E+18 8.00E+18 8.23E+18 8.22E+18 7.99E+18 7.58E+18 7.04E+18 6.39E+18 5.70E+18 4.98E+18 4.27E+18 3.60E+18 2.98E+18 2.42E+18 1.94E+18 1.53E+18 1.18E+18 9.00E+17 6.75E+17 4.98E+17 3.62E+17 2.59E+17 1.83E+17 1.27E+17 8.65E+16
  60.00  1.806  1.91E+23 1.90E+22 4.19E+23 2.42E+20 4.75E+20 6.90E+20 8.80E+20 1.04E+21 1.16E+21 1.25E+21 1.29E+21 1.30E+21 1.28E+21 1.23E+21 1.16E+21 1.07E+21 9.69E+20 8.61E+20 7.53E+20 6.47E+20 5.47E+20 4.55E+20 3.73E+20 3.01E+20 2.39E+20 1.87E+20 1.44E+20 1.10E+20 8.22E+19 6.08E+19 4.42E+19 3.18E+19 2.25E+19
  70.00  1.951  2.15E+25 2.13E+24 4.88E+25 2.52E+22 4.95E+22 7.21E+22 9.21E+22 1.09E+23 1.23E+23 1.32E+23 1.38E+23 1.41E+23 1.40E+23 1.36E+23 1.29E+23 1.20E+23 1.10E+23 9.95E+22 8.82E+22 7.70E+22 6.62E+22 5.60E+22 4.68E+22 3.85E+22 3.12E+22 2.49E+22 1.97E+22 1.53E+22 1.17E+22 8.89E+21 6.65E+21 4.90E+21 3.57E+21
  80.00  2.085  1.77E+27 1.75E+26 4.16E+27 1.94E+24 3.82E+24 5.57E+24 7.15E+24 8.50E+24 9.59E+24 1.04E+25 1.09E+25 1.12E+25 1.12E+25 1.09E+25 1.05E+25 9.89E+24 9.17E+24 8.35E+24 7.50E+24 6.63E+24 5.77E+24 4.96E+24 4.20E+24 3.51E+24 2.89E+24 2.35E+24 1.89E+24 1.50E+24 1.17E+24 9.04E+23 6.90E+23 5.20E+23 3.87E+23
  90.00  2.212  1.14E+29 1.12E+28 2.73E+29 1.17E+26 2.31E+26 3.37E+26 4.33E+26 5.16E+26 5.85E+26 6.37E+26 6.73E+26 6.92E+26 6.96E+26 6.85E+26 6.62E+26 6.29E+26 5.88E+26 5.41E+26 4.90E+26 4.37E+26 3.85E+26 3.35E+26 2.87E+26 2.43E+26 2.03E+26 1.67E+26 1.36E+26 1.10E+26 8.73E+25 6.86E+25 5.32E+25 4.09E+25 3.10E+25
 100.00  2.331  5.89E+30 5.77E+29 1.45E+31 5.74E+27 1.13E+28 1.65E+28 2.13E+28 2.55E+28 2.89E+28 3.16E+28 3.35E+28 3.46E+28 3.50E+28 3.47E+28 3.37E+28 3.22E+28 3.03E+28 2.81E+28 2.57E+28 2.31E+28 2.06E+28 1.81E+28 1.56E+28 1.34E+28 1.13E+28 9.44E+27 7.79E+27 6.35E+27 5.12E+27 4.08E+27 3.22E+27 2.51E+27 1.93E+27
 110.00  2.445  2.54E+32 2.48E+31 6.36E+32 2.35E+29 4.64E+29 6.79E+29 8.76E+29 1.05E+30 1.19E+30 1.31E+30 1.39E+30 1.45E+30 1.47E+30 1.46E+30 1.43E+30 1.37E+30 1.30E+30 1.21E+30 1.12E+30 1.01E+30 9.08E+29 8.04E+29 7.03E+29 6.07E+29 5.18E+29 4.37E+29 3.65E+29 3.01E+29 2.45E+29 1.98E+29 1.58E+29 1.25E+29 9.73E+28
 120.00  2.554  9.33E+33 9.08E+32 2.38E+34 8.25E+30 1.63E+31 2.39E+31 3.08E+31 3.70E+31 4.22E+31 4.64E+31 4.95E+31 5.15E+31 5.25E+31 5.25E+31 5.16E+31 4.98E+31 4.74E+31 4.45E+31 4.12E+31 3.77E+31 3.40E+31 3.03E+31 2.67E+31 2.33E+31 2.00E+31 1.70E+31 1.44E+31 1.20E+31 9.85E+30 8.03E+30 6.48E+30 5.17E+30 4.09E+30
